cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization
1759186,0001213900-20-041892,10-Q,2020-12-10,2020-12-11,2020,Q3,2020-09-30,quarterly,BHSE,BULL HORN HOLDINGS CORP.,215234,15195,,,,,,307,,,,,,,,-50,,,-50,,,1875000,,,,,,,,,,,,15195,,,,,6770,2156250,2020-09-30,single,,,,
1759186,0001213900-21-019200,10-K,2021-03-31,2021-04-01,2020,FY,2020-12-31,annual,BHSE,BULL HORN HOLDINGS CORP.,76710203,5000005,,,,,,907184,,,,,,,,-68430,,,-67226,,,1972758,,,,,,-115695,,,,,,5000005,,,,,6770,2498357,2020-12-31,single,,,,
1759186,0001213900-21-019200,10-K,2021-03-31,2021-04-01,2020,FY,2020-12-31,quarterly,BHSE,BULL HORN HOLDINGS CORP.,76710203,5000005,,,,,,907184,,,,,,,,-67930,,,-66728,,,,,,,,,-114747,,,,,,5000005,,,,,6770,2498357,2020-12-31,single,,,,
1759186,0001213900-21-039082,10-K/A,2021-07-28,2021-07-29,2020,FY,2020-12-31,annual,BHSE,BULL HORN HOLDINGS CORP.,76710203,5000001,,,,,,907184,,,,,,,,-68430,,,-17279776,,,2029242,,,,,,-115695,,,,,,5000001,,,,,6770,4547829,2020-12-31,single,,,,
1759186,0001213900-21-039082,10-K/A,2021-07-28,2021-07-29,2020,FY,2020-12-31,quarterly,BHSE,BULL HORN HOLDINGS CORP.,76710203,5000001,,,,,,907184,,,,,,,,-67930,,,-17279278,,,,,,,,,-114747,,,,,,5000001,,,,,6770,4547829,2020-12-31,single,,,,
1759186,0001213900-21-039612,10-Q,2021-07-30,2021-07-31,2021,Q1,2021-03-31,quarterly,BHSE,BULL HORN HOLDINGS CORP.,76597369,5000001,,,,,,766686,,,,,,,,-141518,,,14072850,,,4547829,,,,,,-140498,,,,,,5000001,,,,,6770,3154653,2021-03-31,single,,,,
1759186,0001213900-21-048028,10-Q,2021-09-14,2021-09-15,2021,Q2,2021-06-30,quarterly,,BULL HORN HOLDINGS CORP.,76446235,5000008,,,,,,644481,,,,,,,,-155688,,,-1803758,,,3154653,,,,,,-122205,,,,,,5000008,,,,,6770,3333387,2021-06-30,single,,,,
1759186,0001213900-21-060017,10-Q,2021-11-16,2021-11-17,2021,Q3,2021-09-30,quarterly,,BULL HORN HOLDINGS CORP.,76360175,-5555667,,,,,,584634,,,,,,,,-100017,,,4176909,,,,,,,,,-59847,,,,,,-5555667,,,,,6770,1875000,2021-09-30,single,,,,
1759186,0001213900-22-005048,10-K/A,2022-02-02,2022-02-03,2020,FY,2020-12-31,annual,BHSE,BULL HORN HOLDINGS CORP.,76710203,-21996001,,,,,,907184,,,,,,,,-68430,,,-17279776,,,1191781,,,,,,-115695,,,,,,-21996001,,,,,6770,1875000,2020-12-31,single,,,,
1759186,0001213900-22-005048,10-K/A,2022-02-02,2022-02-03,2020,FY,2020-12-31,quarterly,BHSE,BULL HORN HOLDINGS CORP.,76710203,-21996001,,,,,,907184,,,,,,,,-67930,,,-17279278,,,,,,,,,-114747,,,,,,-21996001,,,,,6770,1875000,2020-12-31,single,,,,
