cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda
2041047,0001213900-25-074296,10-Q,2025-08-11,2025-08-12,2025,Q2,2025-06-30,quarterly,,DUNE ACQUISITION CORP II,145652820,-5169085,,,,,,589755,,,,,,,,-112445,,,761019,,,,873464,,,,,,,,,,,-5169085,,,,
2041047,0001213900-25-111055,10-Q,2025-11-14,2025-11-15,2025,Q3,2025-09-30,quarterly,,DUNE ACQUISITION CORP II,146975580,-5348367,,,,,,401902,,,,,,,,-179282,,,1335424,,,,1514706,,,,,-187853,,,,,,-5348367,,,,
2041047,0001213900-26-027746,10-K,2026-03-13,2026-03-14,2025,FY,2025-12-31,annual,,DUNE ACQUISITION CORP II,148297791,-5460461,,,,,,365751,,,,,,,,-451915,,,3349485,,,,3801400,,,,,-429113,,,,,,-5460461,,,,
2041047,0001213900-26-027746,10-K,2026-03-13,2026-03-14,2025,FY,2025-12-31,quarterly,,DUNE ACQUISITION CORP II,148297791,-5460461,,,,,,365751,,,,,,,,-112094,,,1301136,,,,1413230,,,,,-36151,,,,,,-5460461,,,,
2041047,0001213900-26-055238,10-Q,2026-05-13,2026-05-14,2026,Q1,2026-03-31,quarterly,,COLLECTIVE ACQUISITION CORP.,149422911,-6046436,,,,,,84207,,,,,,,,-585975,,,714594,,,,1300569,,,,,-281544,,,,,,-6046436,,,,
