cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization
1357787,0001193125-11-223280,10-Q,2011-08-15,2011-08-16,2011,Q2,2011-06-30,quarterly,,FLAG INTERMEDIATE HOLDINGS CORP,951700000,190900000,83100000,55100000,28000000,480600000,1500000,9200000,356000000,,,,,505600000,,43400000,31500000,11500000,20000000,,11900000,,,,,,5600000,,,,,,,107800000,482100000,673000000,43400000,49000000,5051,100,2011-06-30,single,,,,
1357787,0001193125-11-311003,10-Q,2011-11-14,2011-11-15,2011,Q3,2011-09-30,quarterly,,FLAG INTERMEDIATE HOLDINGS CORP,977500000,207000000,80800000,53600000,27200000,483600000,1000000,8300000,383700000,,,,,492300000,,35300000,24800000,8800000,16000000,,10400000,,,,,,5500000,4600000,-6400000,400000,,,-1800000,126200000,484600000,691600000,35200000,40800000,5051,100,2011-09-30,single,,,,
1357787,0001193125-12-156471,10-K,2012-04-10,2012-04-11,2011,FY,2011-12-31,annual,,FLAG INTERMEDIATE HOLDINGS CORP,978600000,220700000,79400000,52800000,26600000,467600000,1000000,5900000,402500000,,,,,1885900000,,135300000,93000000,31800000,61200000,,42200000,,,,,,23300000,-17100000,-21800000,1500000,,,-38900000,141300000,468600000,689300000,135200000,158600000,5051,100,2011-12-31,single,,,,
1357787,0001193125-12-156471,10-K,2012-04-10,2012-04-11,2011,FY,2011-12-31,quarterly,,FLAG INTERMEDIATE HOLDINGS CORP,978600000,220700000,79400000,52800000,26600000,467600000,1000000,5900000,402500000,,,,,455700000,,26800000,16700000,3400000,13300000,,10100000,,,,,,6400000,25200000,-11700000,300000,,,13500000,141300000,468600000,689300000,26800000,33200000,5051,100,2011-12-31,single,,,,
1357787,0001193125-12-222093,10-Q,2012-05-09,2012-05-10,2012,Q1,2012-03-31,quarterly,,FLAG INTERMEDIATE HOLDINGS CORP,1036500000,237500000,90100000,55900000,34200000,497200000,1000000,7800000,420400000,,,,,525300000,,34300000,24000000,7900000,16100000,,10300000,,,,,,5800000,-6100000,-4500000,600000,,,-10600000,147400000,498200000,735700000,34300000,40100000,5051,100,2012-03-31,single,,,,
1357787,0001193125-12-337748,10-Q,2012-08-06,2012-08-07,2012,Q2,2012-06-30,quarterly,,FLAG INTERMEDIATE HOLDINGS CORP,1032800000,255900000,88300000,56000000,32300000,501600000,1000000,6800000,411700000,,,,,537100000,,38300000,28000000,10100000,17900000,,10300000,,,,,,6200000,-1600000,-4000000,600000,,,-5600000,167600000,502600000,758500000,38300000,44500000,5051,100,2012-06-30,single,,,,
1357787,0001193125-12-460531,10-Q,2012-11-08,2012-11-09,2012,Q3,2012-09-30,quarterly,,FLAG INTERMEDIATE HOLDINGS CORP,1021800000,270000000,86000000,54800000,31200000,452800000,1000000,7700000,426400000,,,,,483700000,,28000000,17900000,4600000,13300000,,10200000,,,,,,6200000,54400000,-4800000,600000,,,49600000,184000000,453800000,723800000,28100000,34200000,5051,100,2012-09-30,single,,,,
