cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda
1625941,0001193125-16-586567,10-Q,2016-05-11,2016-05-12,2016,Q1,2016-03-31,quarterly,,LOGISTICS PROPERTY TRUST INC.,201000,200000,,,,,,201000,,,,,,0,,,,,0,,,,,,,0,,0,,,,,,200000,,,,
1625941,0001193125-16-680567,10-Q,2016-08-12,2016-08-13,2016,Q2,2016-06-30,quarterly,,INDUSTRIAL LOGISTICS REALTY TRUST INC.,201000,111237,,,,,,201000,,,0,,,0,,,,,-88763,,,,,,,88763,,0,,,,,,111237,,,,
1625941,0001193125-16-765799,10-Q,2016-11-10,2016-11-11,2016,Q3,2016-09-30,quarterly,,INDUSTRIAL LOGISTICS REALTY TRUST INC.,112237,51862,,,,,,112237,,,,,,0,,,,,-59375,,,,,,,59375,,-88763,,,,,,51862,,,,
1625941,0001193125-17-083248,10-K,2017-03-15,2017-03-16,2016,FY,2016-12-31,annual,,INDUSTRIAL LOGISTICS REALTY TRUST INC.,2529898,2113487,,,,,,1639961,,,,,,0,,-309612,,,-175298,,15267,,,82,,,,-480853,,,,,,2113487,,,,
1625941,0001193125-17-083248,10-K,2017-03-15,2017-03-16,2016,FY,2016-12-31,quarterly,,INDUSTRIAL LOGISTICS REALTY TRUST INC.,2529898,2113487,,,,,,1639961,,,,,,0,,,,,-27160,,,,,,,,,-392090,,,,,,2113487,,,,
1625941,0001193125-17-163917,10-Q,2017-05-09,2017-05-10,2017,Q1,2017-03-31,quarterly,,INDUSTRIAL LOGISTICS REALTY TRUST INC.,2626919,2107576,,,,,,1637651,,,,,,0,,-251928,,,33044,,33224,,,,,,,5207,,,,,,2107576,,,,
1625941,0001628280-17-008428,10-Q,2017-08-09,2017-08-10,2017,Q2,2017-06-30,quarterly,,BLACK CREEK INDUSTRIAL REIT IV INC.,2680571,2117231,,,,,,1854428,,,0,,,0,,-306376,,,33173,,33224,,,,,,,239853,,,,,,2117231,,,,
1625941,0001625941-17-000005,10-Q,2017-11-09,2017-11-10,2017,Q3,2017-09-30,quarterly,,BLACK CREEK INDUSTRIAL REIT IV INC.,2756906,1947725,,,,,,1009619,,,0,,,0,,-377557,,,35413,,56477,,,,,,,155012,,,,,,1947725,,,,
1625941,0001625941-18-000008,10-K,2018-03-09,2018-03-10,2017,FY,2017-12-31,annual,,BLACK CREEK INDUSTRIAL REIT IV INC.,12548855,10604904,,,,,,10565337,,,0,,,0,,-1223169,,,203127,,308898,,,263,,,,263837,,,-101724,,,10604904,,,,
1625941,0001625941-18-000008,10-K,2018-03-09,2018-03-10,2017,FY,2017-12-31,quarterly,,BLACK CREEK INDUSTRIAL REIT IV INC.,12548855,10604904,,,,,,10565337,,,0,,,0,,-287308,,,101497,,185973,,,,,,,-136235,,,,,,10604904,,,,
