cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization,ticker_source,ticker_asof
1699126,0001640334-17-001960,10-Q,2017-09-14,2017-09-15,2017,Q2,2017-07-31,quarterly,,CICLET HOLDINGS INC.,6530,-3886,,,,,,6446,,,,,,,,,,,-13682,,,,,,,13682,,,,,,,,-3886,,,,,7372,10000000,2017-07-31,single,,,,,,
1699126,0001640334-17-002698,10-Q,2017-12-20,2017-12-21,2017,Q3,2017-10-31,quarterly,,CICLET HOLDINGS INC.,9079,-3959,,,,,,9079,,,,,,,,,,,-3317,,,,,,,3317,,-2317,,,,,,-3959,,,,,7372,10540752,2017-10-31,single,,,,,,
1699126,0001640334-20-002990,10-K,2020-12-02,2020-12-03,2017,FY,2018-01-31,annual,,CICLET HOLDINGS INC.,39339,17920,,,,,,39339,,,,,,,,,,,-28001,,,,,,,28001,,-9489,,,,,,17920,,,,,7372,15851001,2018-01-31,single,,,,,,
1699126,0001640334-20-002990,10-K,2020-12-02,2020-12-03,2017,FY,2018-01-31,quarterly,,CICLET HOLDINGS INC.,39339,17920,,,,,,39339,,,,,,,,,,,-9984,,,,,,,9984,,-1602,,,,,,17920,,,,,7372,15851001,2018-01-31,single,,,,,,
1699126,0001640334-20-003121,10-Q,2020-12-21,2020-12-22,2019,Q1,2018-04-30,quarterly,,CICLET HOLDINGS INC.,39174,13562,,,,,,39174,,,,,,,,,,,-4358,,,,,,,4358,,-358,,,,,,13562,,,,,7372,15851001,2018-04-30,single,,,,,,
1699126,0001640334-21-000042,10-Q,2021-01-07,2021-01-08,2019,Q2,2018-07-31,quarterly,,CICLET HOLDINGS INC.,19647,10657,,,,,,19647,,,,,,,,,,,-2905,,,,,,,2905,,-19527,,,,,,10657,,,,,7372,15851001,2018-07-31,single,,,,,,
1699126,0001640334-21-000175,10-Q,2021-01-21,2021-01-22,2019,Q3,2018-10-31,quarterly,,CICLET HOLDINGS INC.,13666,6926,,,,,,13666,,,,,,,,,,,-3731,,,15851001,,,,3731,,-5981,,,,,,6926,,,,,7372,15851001,2018-10-31,single,,,,,,
1699126,0001640334-21-001340,10-K,2021-06-14,2021-06-15,2018,FY,2019-01-31,annual,,CICLET HOLDINGS INC.,14029,-7479,,,,,,14029,,,,,,,,,,,-25399,,,15851001,,,,25399,,-25503,,,,,,-7479,,,,,7372,15851001,2019-01-31,single,,,,,,
1699126,0001640334-21-001340,10-K,2021-06-14,2021-06-15,2018,FY,2019-01-31,quarterly,,CICLET HOLDINGS INC.,14029,-7479,,,,,,14029,,,,,,,,,,,-14405,,,,,,,14405,,363,,,,,,-7479,,,,,7372,15851001,2019-01-31,single,,,,,,
1699126,0001640334-21-001408,10-Q,2021-06-23,2021-06-24,2020,Q1,2019-04-30,quarterly,,CICLET HOLDINGS INC.,14114,-16394,,,,,,14114,,,,,,,,,,,-8915,,,15851001,6,,,9000,,85,,,,,,-16394,,,,,7372,15851001,2019-04-30,single,,,,,,
1699126,0001640334-21-001455,10-Q,2021-06-30,2021-07-01,2020,Q2,2019-07-31,quarterly,,CICLET HOLDINGS INC.,14365,-24569,,,,,,14365,,,,,,,,,,,-8175,,,15851001,7,,,8426,,251,,,,,,-24569,,,,,7372,15851001,2019-07-31,single,,,,,,
1699126,0001640334-21-001616,10-Q,2021-07-22,2021-07-23,2020,Q3,2019-10-31,quarterly,,CICLET HOLDINGS INC.,14365,-28819,,,,,,14365,,,,,,,,,,,-4250,,,15851001,7,,,4250,,0,,,,,,-28819,,,,,7372,15851001,2019-10-31,single,,,,,,
1699126,0001640334-21-002101,10-K,2021-09-07,2021-09-08,2019,FY,2020-01-31,annual,,CICLET HOLDINGS INC.,14333,-37851,,,,,,,,,,,,,,,,,-30372,,,15851001,28,,,30676,,304,,,,,,-37851,,,,,7372,15851001,2020-01-31,single,,,,,,
1699126,0001640334-21-002101,10-K,2021-09-07,2021-09-08,2019,FY,2020-01-31,quarterly,,CICLET HOLDINGS INC.,14333,-37851,,,,,,,,,,,,,,,,,-9032,,,,8,,,9000,,-32,,,,,,-37851,,,,,7372,15851001,2020-01-31,single,,,,,,
1699126,0001640334-21-002152,10-Q,2021-09-10,2021-09-11,2021,Q1,2020-04-30,quarterly,,CICLET HOLDINGS INC.,14467,-41968,,,,,,14467,,,,,,,,,,,-4117,,,15851001,6,,,4251,,134,,,,,,-41968,,,,,7372,15851001,2020-04-30,single,,,,,,
1699126,0001640334-21-002156,10-Q,2021-09-10,2021-09-11,2021,Q2,2020-07-31,quarterly,,CICLET HOLDINGS INC.,13727,-49955,,,,,,,,,,,,,,,,,-7987,,150,15851001,5,,,8250,,263,,,,,,-49955,,,,,7372,15851001,2020-07-31,single,,,,,,
1699126,0001640334-21-002246,10-Q,2021-09-20,2021-09-21,2021,Q3,2020-10-31,quarterly,,CICLET HOLDINGS INC.,4238,-54811,,,,,,,,,,,,,,-3867,,,-4856,,1076,15851001,3,,,3867,,-9989,,,,,,-54811,,,,,7372,15851001,2020-10-31,single,,,,,,
1699126,0001640334-21-002616,10-K,2021-10-21,2021-10-22,2020,FY,2021-01-31,annual,,CICLET HOLDINGS INC.,3767,-57531,,,,,,,,,,,,,,,,,-19680,,1226,15851001,15,,,19118,,-9563,,,,,,-57531,,,,,7372,15851001,2021-01-31,single,,,,,,
1699126,0001640334-21-002616,10-K,2021-10-21,2021-10-22,2020,FY,2021-01-31,quarterly,,CICLET HOLDINGS INC.,3767,-57531,,,,,,,,,,,,,,,,,-2720,,0,,1,,,2750,,29,,,,,,-57531,,,,,7372,15851001,2021-01-31,single,,,,,,
