cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda
1634942,0001213900-15-004003,10-Q,2015-05-19,2015-05-20,2015,Q1,2015-03-31,quarterly,BRK,BROKE OUT INC.,27835,-8180,7471,,7471,,,1993,,,,,,24865,12920,,-14122,,-14122,,,,,,,27206,-1354,-27425,,,,,,-15651,,,,
1634942,0001213900-15-005711,10-Q,2015-08-05,2015-08-06,2015,Q2,2015-06-30,quarterly,BRK,BROKE OUT INC.,54438,26454,6564,,6564,,,11737,,,,,,42480,18028,,-15545,,-15545,,,,,,,33816,2539,-3752,,,,,,19890,,,,
1634942,0001213900-15-008134,10-Q,2015-11-03,2015-11-04,2015,Q3,2015-09-30,quarterly,BRK,BROKE OUT INC.,45096,25634,6225,,6225,,,7661,,,,,,35980,12443,,-1386,,-1386,,,,,,,12846,2826,-6003,0,,,,-6003,19409,,,,
1634942,0001640334-16-000753,10-K,2016-03-01,2016-03-02,2015,FY,2015-12-31,annual,BRK,BROKE OUT INC.,38514,26056,5633,,5633,,,3762,,,,,,131515,56482,,-75206,,-75206,,,,,,,130186,8689,-24720,-18249,,,,-42969,20423,,,,
1634942,0001640334-16-000753,10-K,2016-03-01,2016-03-02,2015,FY,2015-12-31,quarterly,BRK,BROKE OUT INC.,38514,26056,5633,,5633,,,3762,,,,,,28190,13091,,-43325,,-43325,,,,,,,56304,1970,12460,0,,,,12460,20423,,,,
