cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda
1006281,0001144204-11-044353,10-Q,2011-08-08,2011-08-09,2011,Q2,2011-06-30,quarterly,PLX,"PROTALIX BIOTHERAPEUTICS, INC.",71888000,-8703000,,,,4452000,,44054000,537000,,,,,764000,-4750000,-13868000,,,-13689000,8768000,,,,,,,,,,,,,,-8703000,4452000,-4251000,,
1006281,0001144204-11-061636,10-Q,2011-11-07,2011-11-08,2011,Q3,2011-09-30,quarterly,PLX,"PROTALIX BIOTHERAPEUTICS, INC.",60829000,-17353000,,,,4738000,,34564000,427000,,,,,1132000,677000,-8767000,,,-8875000,9340000,,,,,,,,-8147000,-985000,209000,,,-9132000,-17353000,4738000,-12615000,,
1006281,0001144204-12-011082,10-K,2012-02-27,2012-02-28,2011,FY,2011-12-31,annual,PLX,"PROTALIX BIOTHERAPEUTICS, INC.",51805000,-26077000,,,,,,27001000,279000,,,,,8386000,1443000,-36531000,,,-36529000,37818000,,,,,,,,-23570000,-5705000,886000,,,-29275000,-26077000,,,,
1006281,0001144204-12-011082,10-K,2012-02-27,2012-02-28,2011,FY,2011-12-31,quarterly,PLX,"PROTALIX BIOTHERAPEUTICS, INC.",51805000,-26077000,,,,,,27001000,279000,,,,,2362000,294000,-8858000,,,-8913000,9147000,,,,,,,,-6612000,-704000,156000,,,-7316000,-26077000,,,,
1006281,0001144204-12-027198,10-Q,2012-05-09,2012-05-10,2012,Q1,2012-03-31,quarterly,PLX,"PROTALIX BIOTHERAPEUTICS, INC.",68464000,-6457000,,,,,,45605000,263000,,,,,3861000,2408000,-6065000,,,-5904000,8847000,,,,,,,,-6281000,-810000,129000,,,-7091000,-6457000,,,,
1006281,0001144204-12-042862,10-Q,2012-08-03,2012-08-04,2012,Q2,2012-06-30,quarterly,PLX,"PROTALIX BIOTHERAPEUTICS, INC.",84304000,7863000,,,,4680000,,59280000,1029000,,,,,26113000,21979000,9620000,,,9642000,10544000,,94881167,,,,,,13124000,-237000,3630000,,,12887000,7863000,4680000,12543000,,
1006281,0001144204-12-060041,10-Q,2012-11-07,2012-11-08,2012,Q3,2012-09-30,quarterly,PLX,"PROTALIX BIOTHERAPEUTICS, INC.",77378000,4772000,,,,2794000,,50216000,2058000,,,,,3724000,3023000,-5560000,,,-5479000,8326000,,,,,,,,-8029000,-770000,2306000,,,-8799000,4772000,2794000,7566000,,
1006281,0001144204-13-012065,10-K,2013-02-28,2013-03-01,2012,FY,2012-12-31,annual,PLX,"PROTALIX BIOTHERAPEUTICS, INC.",78727000,-3357000,,,,5425000,,52035000,4039000,,,,,34870000,26280000,-12172000,,,-11618000,36665000,,,,,,,,635000,-2068000,7751000,,,-1433000,-3357000,5425000,2068000,,
1006281,0001144204-13-012065,10-K,2013-02-28,2013-03-01,2012,FY,2012-12-31,quarterly,PLX,"PROTALIX BIOTHERAPEUTICS, INC.",78727000,-3357000,,,,5425000,,52035000,4039000,,,,,1172000,-1130000,-10167000,,,-9877000,8948000,,,,,,,,1821000,-251000,1686000,,,1570000,-3357000,5425000,2068000,,
1006281,0001144204-13-027499,10-Q,2013-05-09,2013-05-10,2013,Q1,2013-03-31,quarterly,PLX,"PROTALIX BIOTHERAPEUTICS, INC.",69942000,-6283000,,,,2700000,,41870000,5773000,,,,,3568000,2997000,-4429000,,,-4321000,7754000,,,,,,,,-9586000,-642000,1367000,,,-10228000,-6283000,2700000,-3583000,,
1006281,0001144204-13-043990,10-Q,2013-08-08,2013-08-09,2013,Q2,2013-06-30,quarterly,PLX,"PROTALIX BIOTHERAPEUTICS, INC.",62306000,-11986000,,,,376000,,33126000,7191000,,,,,2264000,1746000,-6894000,,,-6837000,7990000,,92297522,,,,,,-8109000,-699000,1132000,,,-8808000,-11986000,376000,-11610000,,
1006281,0001144204-13-059668,10-Q,2013-11-07,2013-11-08,2013,Q3,2013-09-30,quarterly,PLX,"PROTALIX BIOTHERAPEUTICS, INC.",121156000,-16706000,,,,,,91397000,7577000,,,,,2284000,1772000,-5645000,,,-5747000,7723000,,,,,,,,-8216000,-327000,954000,,,-8543000,-16706000,,,,
1006281,0001144204-14-015468,10-K,2014-03-13,2014-03-14,2013,FY,2013-12-31,annual,PLX,"PROTALIX BIOTHERAPEUTICS, INC.",113333000,-26946000,,,,2371000,,86398000,7957000,,,,,10479000,6085000,-27116000,,,-27790000,33313000,,,,,,,,-30653000,-1890000,4089000,,,-32543000,-26946000,2371000,-24575000,,
