cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization,ticker_source,ticker_asof
1465740,0001465740-11-000063,10-Q,2011-08-04,2011-08-05,2011,Q2,2011-06-30,quarterly,TWO,TWO HARBORS INVESTMENT CORP.,6007937000,897581000,,,,,,181909000,,,0,,,,,,,-5081000,-984000,,3863000,,,36965000,,,,,,,,,,897581000,,,,,6798,92277991,2011-06-30,single,,,,,instance,2011-08-04
1465740,0001465740-11-000069,10-Q,2011-11-04,2011-11-05,2011,Q3,2011-09-30,quarterly,TWO,TWO HARBORS INVESTMENT CORP.,8818809000,1307131000,,,,,,409947000,,,0,,,,,,,9388000,54609000,,7218000,,,60521000,,,,45579000,,69000,-36911000,,,1307131000,,,,,6798,140586736,2011-09-30,single,,,,,instance,2011-11-04
1465740,0001465740-12-000026,10-K,2012-02-28,2012-02-29,2011,FY,2011-12-31,annual,TWO,TWO HARBORS INVESTMENT CORP.,8100384000,1270086000,,,,,,360016000,,,0,,,,,,,-1106000,127432000,,22709000,,,178925000,,,,151643000,,278784,-119796000,,,1270086000,,,,,6798,140596708,2011-12-31,single,,,,,instance,2012-02-28
1465740,0001465740-12-000026,10-K,2012-02-28,2012-02-29,2011,FY,2011-12-31,quarterly,TWO,TWO HARBORS INVESTMENT CORP.,8100384000,1270086000,,,,,,360016000,,,0,,,,,,,-6170000,51430000,,9129000,,,64068000,,,,63139000,,62784,-56235000,,,1270086000,,,,,6798,140596708,2011-12-31,single,,,,,instance,2012-02-28
1465740,0001465740-12-000035,10-Q,2012-05-04,2012-05-05,2012,Q1,2012-03-31,quarterly,TWO,TWO HARBORS INVESTMENT CORP.,11330982000,2072173000,,,,,,545688000,,,0,,,,,,,-7577000,51800000,,11467000,,,74034000,,,,36261000,,60070,-56239000,,,2072173000,,,,,6798,,,,,,,,instance,2012-05-04
1465740,0001465740-12-000056,10-Q,2012-08-03,2012-08-04,2012,Q2,2012-06-30,quarterly,TWO,TWO HARBORS INVESTMENT CORP.,12980702000,2182657000,,,,,,496674000,,,0,,,,,,,-16605000,24004000,,15527000,,,90377000,,,,48901000,,373276,-85683000,,,2182657000,,,,,6798,214207346,2012-06-30,single,,,,,instance,2012-08-03
1465740,0001465740-12-000070,10-Q,2012-11-07,2012-11-08,2012,Q3,2012-09-30,quarterly,TWO,TWO HARBORS INVESTMENT CORP.,17864695000,3391476000,,,,,,833608000,,,0,,,,,,,-7834000,,,20743000,270937960,,105566000,,,,77832000,,29000,-87062000,,,3391476000,,,,,6798,295350370,2012-09-30,single,,,,,instance,2012-11-07
1465740,0001465740-13-000016,10-K,2013-02-28,2013-03-01,2012,FY,2012-12-31,annual,TWO,TWO HARBORS INVESTMENT CORP.,16813944000,3450577000,,,,,,821108000,,,0,,,,,,245197000,-42219000,,,72106000,242432156,,382940000,,,,163134000,,-488000,-335309000,,,3450577000,,,317303000,,6798,298813258,2012-12-31,single,,,212000,,instance,2013-02-28
1465740,0001465740-13-000016,10-K,2013-02-28,2013-03-01,2012,FY,2012-12-31,quarterly,TWO,TWO HARBORS INVESTMENT CORP.,16813944000,3450577000,,,,,,821108000,,,0,,,,,,171706000,-10203000,,,24369000,296229245,,112963000,,,,140000,,-26000,-106325000,,,3450577000,,,196075000,,6798,298813258,2012-12-31,single,,,,,instance,2013-02-28
1465740,0001465740-13-000032,10-Q,2013-05-08,2013-05-09,2013,Q1,2013-03-31,quarterly,TWO,TWO HARBORS INVESTMENT CORP.,19002891000,4065079000,,,,,,1140706000,,,0,,434068000,,,,147303000,4964000,,,23836000,306963711,134835000,110999000,,,,-20484000,,-23000,-164347000,,,4065079000,,,171139000,,6798,362142394,2013-03-31,single,,,114000,,instance,2013-05-08
1465740,0001465740-13-000068,10-Q,2013-08-07,2013-08-08,2013,Q2,2013-06-30,quarterly,TWO,TWO HARBORS INVESTMENT CORP.,19640751000,3834123000,,,,,,917224000,,,0,,401347000,,,,436740000,49119000,,,24722000,366057203,145325000,120603000,,,,-663788000,,-975000,-116824000,,,3834123000,,,461462000,,6798,365733931,2013-06-30,single,,,142000,,instance,2013-08-07
1465740,0001465740-13-000076,10-Q,2013-11-06,2013-11-07,2013,Q3,2013-09-30,quarterly,TWO,TWO HARBORS INVESTMENT CORP.,17154166000,3773053000,,,,,,723160000,,,0,,804988000,,,,-169873000,23726000,,,24927000,365166992,137974000,113047000,,,,180777000,,525000,-113378000,-13396000,,3773053000,,,-144946000,,6798,364365017,2013-09-30,single,,,169000,,instance,2013-11-06
