cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda
1585854,0001585854-14-000027,10-Q,2014-08-07,2014-08-08,2014,Q2,2014-06-30,quarterly,SEMI,SUNEDISON SEMICONDUCTOR LTD,1383700000,864500000,,,,205800000,2100000,115400000,124600000,,,,,214600000,20400000,1300000,-2100000,-16300000,14300000,10300000,1500000,,,,,,,,,,,,,864500000,207900000,1072400000,-600000,
1585854,0001585854-14-000044,10-Q,2014-11-05,2014-11-06,2014,Q3,2014-09-30,quarterly,SEMI,SUNEDISON SEMICONDUCTOR LTD,1278500000,757400000,,,,205400000,2100000,103100000,130400000,,,,,212400000,26800000,-62500000,-68800000,10400000,-79400000,8100000,3800000,,,,,,29300000,21700000,-29400000,3300000,,,-7700000,757400000,207500000,964900000,-65000000,-33200000
1585854,0001585854-15-000020,10-K,2015-03-02,2015-03-03,2014,FY,2014-12-31,annual,SEMI,SUNEDISON SEMICONDUCTOR LTD,1184200000,690300000,,,,205000000,2100000,88200000,122100000,,,,,837700000,79000000,-81800000,-87800000,2600000,-90200000,34800000,9200000,,,,,,116000000,-50300000,-94400000,11300000,,,-144700000,690300000,207100000,897400000,-78600000,34200000
1585854,0001585854-15-000020,10-K,2015-03-02,2015-03-03,2014,FY,2014-12-31,quarterly,SEMI,SUNEDISON SEMICONDUCTOR LTD,1184200000,690300000,,,,205000000,2100000,88200000,122100000,,,,,205900000,23500000,-3700000,-5300000,4900000,-10500000,8400000,3700000,,,,,,28600000,8900000,-23100000,4000000,,,-14200000,690300000,207100000,897400000,-1600000,24900000
1585854,0001585854-15-000035,10-Q,2015-05-07,2015-05-08,2015,Q1,2015-03-31,quarterly,SEMI,SUNEDISON SEMICONDUCTOR LTD,1161700000,662800000,,,,204600000,2100000,90600000,112900000,,,,,199000000,17200000,-12700000,-5700000,3300000,-9300000,8100000,3500000,,,,,,29700000,34600000,-28800000,3600000,,,5800000,662800000,206700000,869500000,-2200000,17000000
1585854,0001585854-15-000063,10-Q,2015-08-05,2015-08-06,2015,Q2,2015-06-30,quarterly,SEMI,SUNEDISON SEMICONDUCTOR LTD,1151800000,645500000,,,,204200000,2100000,78600000,103700000,,,,,207000000,23500000,-5000000,-9700000,5100000,-15500000,7300000,3600000,,,,,,27800000,13500000,-24100000,3400000,,,-10600000,645500000,206300000,851800000,-6100000,22800000
1585854,0001585854-15-000078,10-Q,2015-11-09,2015-11-10,2015,Q3,2015-09-30,quarterly,SEMI,SUNEDISON SEMICONDUCTOR LTD,1082500000,561100000,,,,203700000,2100000,90800000,103100000,,,,,189000000,21300000,-68800000,-72600000,7800000,-80800000,8400000,3600000,,,,,,24400000,8400000,-29900000,4100000,,,-21500000,561100000,205800000,766900000,-69000000,-44400000
1585854,0001585854-16-000093,10-K,2016-03-08,2016-03-09,2015,FY,2015-12-31,annual,SEMI,SUNEDISON SEMICONDUCTOR LTD,1049000000,536900000,,,,191900000,6700000,83500000,109300000,,,,,776700000,77100000,-101900000,-109900000,26100000,-136700000,30200000,18200000,,,,,,111500000,78300000,-106300000,15200000,,,-28000000,536900000,198600000,735500000,-91700000,9600000
1585854,0001585854-16-000093,10-K,2016-03-08,2016-03-09,2015,FY,2015-12-31,quarterly,SEMI,SUNEDISON SEMICONDUCTOR LTD,1049000000,536900000,,,,191900000,6700000,83500000,109300000,,,,,181700000,15100000,-15400000,-21900000,9900000,-31100000,6400000,7500000,,,,,,29600000,21800000,-23500000,4100000,,,-1700000,536900000,198600000,735500000,-14400000,14200000
1585854,0001585854-16-000101,10-Q,2016-05-10,2016-05-11,2016,Q1,2016-03-31,quarterly,SEMI,SUNEDISON SEMICONDUCTOR LTD,958100000,445800000,,,,191900000,11700000,79700000,111500000,,,,,182300000,15000000,-12800000,-23500000,7400000,-117100000,6600000,4000000,,,,,,26500000,11000000,-41000000,3900000,,,-30000000,445800000,203600000,649400000,-19500000,13700000
1585854,0001585854-16-000123,10-Q,2016-08-03,2016-08-04,2016,Q2,2016-06-30,quarterly,SEMI,SUNEDISON SEMICONDUCTOR LTD,944400000,420500000,,,,191500000,11700000,79200000,114500000,,,,,190900000,17500000,-25900000,-32100000,5400000,-48500000,6700000,3400000,,,,,,28500000,11100000,-16900000,4100000,,,-5800000,420500000,203200000,623700000,-28700000,2600000
1585854,0001585854-16-000138,10-Q,2016-11-03,2016-11-04,2016,Q3,2016-09-30,quarterly,SEMI,SUNEDISON SEMICONDUCTOR LTD,943000000,411100000,,,,194200000,11700000,78300000,115100000,,,,,192500000,16800000,-15000000,-22000000,3400000,-25400000,6700000,3200000,,,,,,28500000,15600000,-28000000,3700000,,,-12400000,411100000,205900000,617000000,-18800000,13500000
