cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization,ticker_source,ticker_asof
1034755,0000950123-11-045718,10-Q,2011-05-05,2011-05-06,2011,Q1,2011-03-31,quarterly,BEXP,BRIGHAM EXPLORATION CO,1161298000,595917000,,,,,,20586000,34377000,,,,,40601000,,1590000,1733000,179000,1554000,,3378000,118522000,367000,,,,971000,66211000,,747000,,-467000,,595917000,,,5111000,2561000,1311,116367532,2011-03-31,single,,,,,instance,2011-05-05
1034755,0000950123-11-074940,10-Q,2011-08-09,2011-08-10,2011,Q2,2011-06-30,quarterly,BEXP,BRIGHAM EXPLORATION CO,1600483000,668942000,,,,,,181689000,47488000,,,,,128040000,,81283000,79765000,8930000,70835000,,5794000,118524000,342000,,,,1244000,94230000,,1097000,,-39000,,668942000,,,85559000,82527000,1311,116442586,2011-06-30,single,,,,,instance,2011-08-09
1034755,0000950123-11-096567,10-Q,2011-11-08,2011-11-09,2011,Q3,2011-09-30,quarterly,BEXP,BRIGHAM EXPLORATION CO,1746727000,773038000,,,,,,91544000,53238000,,,,,168105000,,108256000,98691000,-3822000,102513000,,7472000,118557000,240000,,,,1722000,82942000,,892000,,-225000,,773038000,,,106163000,109978000,1311,116498651,2011-09-30,single,,,,,instance,2011-11-08
