cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization,ticker_source,ticker_asof
842717,0001193125-20-008144,10-Q/A,2020-01-15,2020-01-16,2019,Q3,2019-09-30,quarterly,BRBS,"BLUE RIDGE BANKSHARES, INC.",736238000,65375000,3307000,3307000,,,,,,,,520280000,460878000,,,,1632000,379000,1250000,,2682000,,8118000,5436000,570000,,,,,,,,,62068000,,,4314000,,6022,4346866,2019-09-30,single,,,,,instance,2020-01-15
842717,0001564590-20-016731,10-K,2020-04-14,2020-04-15,2019,FY,2019-12-31,annual,BRBS,"BLUE RIDGE BANKSHARES, INC.",960811000,92113000,19914942,19914942,,,,,,,,722030000,646834000,,,,5577000,973000,4580000,,9520000,,30888000,21368000,1742000,,539000,-15085000,-1127000,231000,-2473000,,-16212000,72198058,,,15097000,,6022,5658585,2019-12-31,single,,,,,instance,2020-04-14
842717,0001564590-20-016731,10-K,2020-04-14,2020-04-15,2019,FY,2019-12-31,quarterly,BRBS,"BLUE RIDGE BANKSHARES, INC.",960811000,92113000,19914942,19914942,,,,,,,,722030000,646834000,,,,517000,-16000,530000,,2577000,,8458000,5881000,277000,,156000,10935000,-620000,,-607000,,10315000,72198058,,,3094000,,6022,5658585,2019-12-31,single,,,,,instance,2020-04-14
842717,0001564590-20-025753,10-Q,2020-05-15,2020-05-16,2020,Q1,2020-03-31,quarterly,BRBS,"BLUE RIDGE BANKSHARES, INC.",1027605000,90041000,19892000,19892000,,,,,,,,769160000,670935000,,,,1108000,267000,832000,,2400000,,10423000,8023000,575000,,211000,-45144000,-832000,79000,,,-45976000,70149000,,,3508000,,6022,5660985,2020-03-31,single,,,,,instance,2020-05-15
842717,0001564590-20-040244,10-Q,2020-08-14,2020-08-15,2020,Q2,2020-06-30,quarterly,BRBS,"BLUE RIDGE BANKSHARES, INC.",1585798000,94931000,19892000,19892000,,,,,,,,965857000,1021465000,,,,7862000,1644000,6222000,,2522000,,13167000,10645000,3500000,,232000,-39348000,-1380000,70000,,,-40728000,75039000,,,10384000,,6022,5653621,2020-06-30,single,,,,,instance,2020-08-14
842717,0001564590-20-053876,10-Q,2020-11-13,2020-11-14,2020,Q3,2020-09-30,quarterly,BRBS,"BLUE RIDGE BANKSHARES, INC.",1523299000,99705000,19892000,19892000,,,,,,,,915266000,1039180000,,,,6766000,1707000,5063000,,2615000,,14444000,11829000,4000000,,261000,-32862000,-573000,203000,-1630000,,-33435000,79813000,,,9381000,,6022,5718621,2020-09-30,single,,,,,instance,2020-11-13
842717,0001564590-21-016162,10-K,2021-03-29,2021-03-30,2020,FY,2020-12-31,annual,BRBS,"BLUE RIDGE BANKSHARES, INC.",1498258000,107975000,19892000,19892000,,,,,,,,945109000,,,,,22497000,4800000,17696000,,9950000,,54460000,44510000,10450000,,951000,-108340000,-3010000,,-2436000,,-111350000,88083000,,,32447000,,6022,5718621,2020-12-31,single,,,,,instance,2021-03-29
842717,0001564590-21-016162,10-K,2021-03-29,2021-03-30,2020,FY,2020-12-31,quarterly,BRBS,"BLUE RIDGE BANKSHARES, INC.",1498258000,107975000,19892000,19892000,,,,,,,,945109000,,,,,6763000,1182000,5581000,,2413000,,16426000,14013000,2375000,,247000,9014000,-225000,,0,,8789000,88083000,,,9176000,,6022,5718621,2020-12-31,single,,,,,instance,2021-03-29
842717,0001564590-21-026615,10-Q,2021-05-11,2021-05-12,2021,Q1,2021-03-31,quarterly,BRBS,"BLUE RIDGE BANKSHARES, INC.",3167374000,239500000,27098000,27098000,,,,,,7990000,,2140118000,,,,,5314000,1077000,4228000,,2559000,,22576000,20017000,,,453000,35716000,-78000,,-2677000,,35638000,212402000,,,7873000,,6022,18621531,2021-03-31,single,,,,400000,instance,2021-05-11
842717,0001564590-21-042107,10-Q,2021-08-06,2021-08-07,2021,Q2,2021-06-30,quarterly,BRBS,"BLUE RIDGE BANKSHARES, INC.",2764730000,266596000,27098000,27098000,,,,,,7795000,,2190571000,,,,,36339000,7697000,28646000,,3350000,,33812000,30462000,,,605000,-28307000,-713000,,0,,-29020000,239498000,,,39689000,,6022,18631073,2021-06-30,single,,,,506000,carried,2021-05-11
842717,0000950170-21-004166,10-Q,2021-11-10,2021-11-11,2021,Q3,2021-09-30,quarterly,BRBS,"BLUE RIDGE BANKSHARES, INC.",2699302000,269494000,26826000,26826000,,,,,,7113000,,2200204000,,,,,9005000,2199000,6810000,,2630000,,23754000,21124000,,,565000,6104000,-163000,,-4506000,,5941000,242668000,,,11635000,,6022,18776307,2021-09-30,single,,,,500000,instance,2021-11-10
842717,0000950170-22-003459,10-K,2022-03-11,2022-03-12,2021,FY,2021-12-31,annual,BRBS,"BLUE RIDGE BANKSHARES, INC.",2665139000,276911000,26826000,26826000,,,,,,7651000,,2297771000,,,,,68177000,15697000,52477000,,11065000,,103546000,92481000,117000,,2168000,59308000,-1256000,,-7183000,,58052000,250085000,,,79242000,,6022,18774082,2021-12-31,single,,,,1867000,instance,2022-03-11
842717,0000950170-22-003459,10-K,2022-03-11,2022-03-12,2021,FY,2021-12-31,quarterly,BRBS,"BLUE RIDGE BANKSHARES, INC.",2665139000,276911000,26826000,26826000,,,,,,7651000,,2297771000,,,,,17519000,4724000,12793000,,2526000,,23404000,20878000,,,545000,45795000,-302000,,0,,45493000,250085000,,,20045000,,6022,18774082,2021-12-31,single,,,,461000,instance,2022-03-11
842717,0000950170-22-007870,10-Q,2022-05-05,2022-05-06,2022,Q1,2022-03-31,quarterly,BRBS,"BLUE RIDGE BANKSHARES, INC.",2724584000,278482000,26826000,26826000,,,,,,8038000,,2354081000,,,,,22573000,5153000,17756000,,2134000,,25802000,23668000,2500000,,525000,95082000,-104000,,-2253000,,94978000,251656000,,,24707000,,6022,18771065,2022-03-31,single,,,,397000,instance,2022-05-05
842717,0000950170-22-015011,10-Q,2022-08-05,2022-08-06,2022,Q2,2022-06-30,quarterly,BRBS,"BLUE RIDGE BANKSHARES, INC.",2799643000,261660000,26826000,26826000,,,,,,7537000,,2335707000,,,,,1460000,342000,1118000,,2153000,,26243000,24090000,7494000,,513000,15036000,-117000,,-2299000,,14919000,234834000,,,3613000,,6022,18761848,2022-06-30,single,,,,386000,instance,2022-08-05
842717,0000950170-22-021832,10-Q,2022-11-03,2022-11-04,2022,Q3,2022-09-30,quarterly,BRBS,"BLUE RIDGE BANKSHARES, INC.",2879572000,250502000,26826000,26826000,,,,,,7344000,,2409486000,,,,,3537000,801000,2736000,,4469000,,33146000,28677000,3900000,,475000,12970000,-40000,,-2302000,,12930000,223676000,,,8006000,,6022,18946268,2022-09-30,single,,,,377000,instance,2022-11-03
842717,0000950170-23-007265,10-K,2023-03-10,2023-03-11,2022,FY,2022-12-31,annual,BRBS,"BLUE RIDGE BANKSHARES, INC.",3141045000,259373000,26826000,26826000,,,,,,7860000,,2502507000,,,,,35821000,8244000,27913000,,17085000,,127476000,110391000,17886000,,1977000,93931000,-455000,,-9175000,,93476000,232547000,,,52906000,,6022,18950329,2022-12-31,single,,,,1525000,instance,2023-03-10
842717,0000950170-23-007265,10-K,2023-03-10,2023-03-11,2022,FY,2022-12-31,quarterly,BRBS,"BLUE RIDGE BANKSHARES, INC.",3141045000,259373000,26826000,26826000,,,,,,7860000,,2502507000,,,,,8252000,1948000,6304000,,8329000,,42285000,33956000,3992000,,464000,-29157000,-194000,,-2321000,,-29351000,232547000,,,16581000,,6022,18950329,2022-12-31,single,,,,365000,instance,2023-03-10
842717,0000950170-23-020480,10-Q,2023-05-10,2023-05-11,2023,Q1,2023-03-31,quarterly,BRBS,"BLUE RIDGE BANKSHARES, INC.",3334911000,257586000,26826000,26826000,,,,,,7398000,,2761047000,,,,,2095000,491000,1604000,,15694000,,43053000,27359000,3700000,,444000,14376000,-536000,,-2321000,,13840000,230760000,,,17789000,,6022,18774082,2023-03-31,single,,,,355000,instance,2023-05-10
842717,0000950170-23-039009,10-Q,2023-08-07,2023-08-08,2023,Q2,2023-06-30,quarterly,BRBS,"BLUE RIDGE BANKSHARES, INC.",3214424000,231271000,26826000,26826000,,,,,,6765000,,2613094000,,,,,-24413000,-4949000,-19464000,,18570000,,38973000,20403000,20500000,,433000,12776000,-107000,,-2320000,,12669000,204445000,,,-5843000,,6022,18933637,2023-06-30,single,,,,335000,instance,2023-08-07
842717,0000950170-23-063770,10-Q/A,2023-11-14,2023-11-15,2023,Q1,2023-03-31,quarterly,BRBS,"BLUE RIDGE BANKSHARES, INC.",3324060000,246735000,26826000,26826000,,,,,,7398000,,2761047000,,,,,5142000,1172000,3970000,,15694000,,40890000,25196000,-1510000,,444000,10179000,-536000,,-2321000,,9643000,219909000,,,20836000,,6022,18942091,2023-03-31,single,,,,355000,instance,2023-11-14
842717,0000950170-23-063780,10-Q/A,2023-11-14,2023-11-15,2023,Q2,2023-06-30,quarterly,BRBS,"BLUE RIDGE BANKSHARES, INC.",3214424000,231271000,26826000,26826000,,,,,,6765000,,2613094000,,,,,-10439000,-1826000,-8613000,,18570000,,42460000,23890000,10013000,,433000,12473000,-107000,,-2320000,,12366000,204445000,,,8131000,,6022,18933637,2023-06-30,single,,,,335000,instance,2023-11-14
842717,0000950170-23-063784,10-Q,2023-11-14,2023-11-15,2023,Q3,2023-09-30,quarterly,BRBS,"BLUE RIDGE BANKSHARES, INC.",3262713000,182837000,0,0,,,,,,10015000,,2776151000,,,,,-46064000,-4693000,-41371000,,20293000,,42485000,22192000,11050000,,413000,936000,-70000,,0,,866000,182837000,,,-25771000,,6022,19192471,2023-09-30,single,,,,308000,instance,2023-11-14
842717,0000950170-23-063815,10-K/A,2023-11-14,2023-11-15,2022,FY,2022-12-31,annual,BRBS,"BLUE RIDGE BANKSHARES, INC.",3130465000,248793000,26826000,26826000,,,,,,7860000,,2502507000,,,,,22196000,5199000,17333000,,17085000,,121652000,104567000,25687000,,1977000,93931000,-455000,,-9175000,,93476000,221967000,,,39281000,,6022,18950329,2022-12-31,single,,,,1525000,instance,2023-11-14
842717,0000950170-23-063815,10-K/A,2023-11-14,2023-11-15,2022,FY,2022-12-31,quarterly,BRBS,"BLUE RIDGE BANKSHARES, INC.",3130465000,248793000,26826000,26826000,,,,,,7860000,,2502507000,,,,,-5373000,-1097000,-4276000,,8329000,,36461000,28132000,11793000,,464000,-29157000,-194000,,-2321000,,-29351000,221967000,,,2956000,,6022,18950329,2022-12-31,single,,,,365000,instance,2023-11-14
842717,0000950170-24-032267,10-K,2024-03-15,2024-03-16,2023,FY,2023-12-31,annual,BRBS,"BLUE RIDGE BANKSHARES, INC.",3117554000,185989000,0,0,,,,,,9619000,,2566032000,,,,,-58844000,-7071000,-51773000,,75954000,,168995000,93041000,22323000,,1696000,44056000,-961000,,-4641000,,43095000,185989000,,,17110000,,6022,19198379,2023-12-31,single,,,,1295000,instance,2024-03-15
842717,0000950170-24-032267,10-K,2024-03-15,2024-03-16,2023,FY,2023-12-31,quarterly,BRBS,"BLUE RIDGE BANKSHARES, INC.",3117554000,185989000,0,0,,,,,,9619000,,2566032000,,,,,-7483000,-1724000,-5759000,,21397000,,43160000,21763000,2770000,,406000,20468000,-248000,,0,,20220000,185989000,,,13914000,,6022,19198379,2023-12-31,single,,,,297000,instance,2024-03-15
842717,0000950170-24-055532,10-Q,2024-05-08,2024-05-09,2024,Q1,2024-03-31,quarterly,BRBS,"BLUE RIDGE BANKSHARES, INC.",3076187000,180906000,,,,,,,,8870000,,2465776000,,,,,-3300000,,-2893000,,22182000,,42531000,20349000,-1000000,,433000,-7518000,-53000,,0,,-7571000,180906000,,,18882000,,6022,19584040,2024-03-31,single,,,,287000,instance,2024-05-08
