cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization,ticker_source,ticker_asof
1532063,0001193125-12-225583,10-Q,2012-05-10,2012-05-11,2012,Q1,2012-03-31,quarterly,ESRX,EXPRESS SCRIPTS HOLDING CO.,19608200000,2775500000,7073500000,5486300000,1587200000,10537100000,1000000000,9577700000,385400000,,,,,12132600000,832000000,564500000,434800000,167000000,267800000,,132000000,489700000,,,,,65000000,530100000,-18700000,,,,511400000,-4298000000,11537100000,14312600000,566800000,629500000,5912,485700000,2012-03-31,single,,,,,instance,2012-05-10
1532063,0001193125-12-340911,10-Q,2012-08-07,2012-08-08,2012,Q2,2012-06-30,quarterly,ESRX,EXPRESS SCRIPTS HOLDING CO.,58058500000,22128300000,46562000000,29358600000,17203400000,16312300000,889700000,1420000000,1423800000,,,,,27692500000,2112900000,532100000,363500000,192600000,170900000,,175200000,823900000,,,,,605200000,726100000,-47900000,,,,678200000,-24433700000,17202000000,39330300000,538700000,1137300000,5912,809600000,2012-06-30,single,,1039600000,,,instance,2012-08-07
1532063,0001193125-12-452576,10-Q,2012-11-06,2012-11-07,2012,Q3,2012-09-30,quarterly,ESRX,EXPRESS SCRIPTS HOLDING CO.,57307700000,22744900000,46103400000,29367500000,16735900000,16146300000,938600000,1248400000,1561400000,,,,,26999400000,2134500000,798500000,649100000,257700000,391400000,,155900000,829600000,,,,,621800000,793200000,-39500000,,,,753700000,-23358500000,17084900000,39829800000,805000000,1420300000,5912,809600000,2012-09-30,single,,40000000,,,instance,2012-11-06
1532063,0001193125-13-063930,10-K,2013-02-19,2013-02-20,2012,FY,2012-12-31,annual,ESRX,EXPRESS SCRIPTS HOLDING CO.,58111200000,23385000000,45397700000,29359800000,16037900000,14980100000,934900000,2793900000,1661900000,,,,,93858100000,7330200000,2784500000,2191000000,833300000,1312900000,,619000000,747300000,,,,,1872600000,4781600000,-160200000,410000000,,,4621400000,-22012700000,15915000000,39300000000,2810000000,4657100000,5912,818.1,2012-12-31,single,,,,,instance,2013-02-19
1532063,0001193125-13-063930,10-K,2013-02-19,2013-02-20,2012,FY,2012-12-31,quarterly,ESRX,EXPRESS SCRIPTS HOLDING CO.,58111200000,23385000000,45397700000,29359800000,16037900000,14980100000,934900000,2793900000,1661900000,,,,,27410700000,2302900000,904500000,780000000,231100000,504100000,,155900000,,,,,,580600000,2732200000,-54200000,,,,2678000000,-22012700000,15915000000,39300000000,935900000,1485100000,5912,818.1,2012-12-31,single,,,,,instance,2013-02-19
1532063,0001445305-13-000961,10-Q,2013-04-29,2013-04-30,2013,Q1,2013-03-31,quarterly,ESRX,EXPRESS SCRIPTS HOLDING CO.,55585700000,23617800000,44877300000,29346000000,15531300000,13815100000,631600000,1990000000,1657400000,,0,,,26063000000,1966600000,841900000,637900000,258600000,373000000,,215400000,832500000,,,,,600600000,963400000,-108900000,,,-300000000,854500000,-21259500000,14446700000,38064500000,853300000,1442500000,5912,817500000,2013-03-31,single,,,,,instance,2013-04-29
1532063,0001532063-13-000004,10-Q,2013-07-29,2013-07-30,2013,Q2,2013-06-30,quarterly,ESRX,EXPRESS SCRIPTS HOLDING CO.,54581500000,23866500000,44366500000,29345200000,15021300000,13648500000,631600000,1342200000,1672900000,,0,,,26425000000,2117600000,990300000,870800000,305000000,543000000,,127600000,828400000,,,,,609600000,-180900000,-86100000,,,-501000000,-267000000,-20500000000,14280100000,38146600000,998400000,1599900000,5912,814.2,2013-06-30,single,,,,,instance,2013-07-29
1532063,0001532063-13-000009,10-Q,2013-10-24,2013-10-25,2013,Q3,2013-09-30,quarterly,ESRX,EXPRESS SCRIPTS HOLDING CO.,54763000000,23702300000,43832200000,29306300000,14525900000,13482000000,631600000,1722300000,1643600000,,0,,,25915600000,1994200000,875500000,780100000,326500000,426700000,,127400000,822900000,,,,,614300000,1039900000,-79600000,,,-751500000,960300000,-20129900000,14113600000,37815900000,907500000,1489800000,5912,805.8,2013-09-30,single,,,,,instance,2013-10-24
1532063,0001532063-14-000006,10-K,2014-02-20,2014-02-21,2013,FY,2013-12-31,annual,ESRX,EXPRESS SCRIPTS HOLDING CO.,53548200000,21837400000,43321000000,29305400000,14015600000,12363000000,1584000000,1991400000,1871100000,,0,,,104098800000,8132400000,3551700000,3030300000,1104000000,1844600000,,596100000,821600000,,,,,2447000000,4757500000,-423000000,164700000,,-4055200000,4334500000,-21483600000,13947000000,35784400000,3626400000,5998700000,5912,773600000,2013-12-31,single,,,,,instance,2014-02-20
1532063,0001532063-14-000006,10-K,2014-02-20,2014-02-21,2013,FY,2013-12-31,quarterly,ESRX,EXPRESS SCRIPTS HOLDING CO.,53548200000,21837400000,43321000000,29305400000,14015600000,12363000000,1584000000,1991400000,1871100000,,0,,,25781400000,2061000000,828800000,726300000,208000000,501900000,,125700000,,,,,,623000000,2935100000,-148400000,33500000,,-2502700000,2786700000,-21483600000,13947000000,35784400000,852000000,1451800000,5912,773600000,2013-12-31,single,,,,,instance,2014-02-20
