cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda
843212,0001477932-11-002643,10-Q,2011-11-21,2011-11-22,2011,Q1,2011-09-30,quarterly,,AMERICAN ENERGY GROUP LTD,1795204,797261,,,,,,65847,,,,,,,,-141066,-142870,,-142870,,1804,,,,,,,-180214,,,,,,797261,,,-141066,
843212,0001477932-12-000500,10-Q,2012-02-21,2012-02-22,2012,Q2,2011-12-31,quarterly,AEGL,AMERICAN ENERGY GROUP LTD,1987893,1785333,,,,,,60273,,,,,,,235623,29961,28072,0,28072,,1889,37137263,,,,,,,,,,,,1785333,,,29961,
843212,0001477932-12-000582,10-Q/A,2012-03-02,2012-03-03,2012,Q2,2011-12-31,quarterly,AEGL,AMERICAN ENERGY GROUP LTD,1987893,1785333,,,,,,60273,,,,,,,235623,29961,28072,0,28072,,1889,37137263,,,,,,,,,,,,1785333,,,29961,
843212,0001477932-12-001738,10-Q,2012-05-21,2012-05-22,2012,Q3,2012-03-31,quarterly,,AMERICAN ENERGY GROUP LTD,2171421,1966324,,,,,,11493,,,,,,0,0,-238608,-243153,0,-243153,,4545,,,,,,,-173780,,,,,,1966324,,,-238608,
843212,0001477932-12-003897,10-K,2012-10-15,2012-10-16,2012,FY,2012-06-30,annual,AEGG,AMERICAN ENERGY GROUP LTD,2552142,2223682,,,,,,82433,,,,,,849980,,-93991,-109452,,-109452,,9706,,,,,,5188,-692476,,,,,,2223682,,,-99746,-88803
843212,0001477932-12-003897,10-K,2012-10-15,2012-10-16,2012,FY,2012-06-30,quarterly,AEGG,AMERICAN ENERGY GROUP LTD,2552142,2223682,,,,,,82433,,,,,,304750,,12372,2355,,2355,,4262,,,,,,,-184060,,,,,,2223682,,,6617,
843212,0001477932-12-004550,10-Q,2012-11-19,2012-11-20,2013,Q1,2012-09-30,quarterly,AEGG,AMERICAN ENERGY GROUP LTD,2816516,2497787,,,,,,50197,,,,,,307160,,89413,87105,,87105,,2308,42354066,,,,217747,,-219236,,,,,,2497787,,,89413,
843212,0001477932-13-000733,10-Q,2013-02-19,2013-02-20,2013,Q2,2012-12-31,quarterly,AEGG,AMERICAN ENERGY GROUP LTD,3111354,2734658,,,,,,46165,,,,,,309421,309421,63867,42224,0,42224,,1996,43572762,,,,245554,,-179032,,,,,,2734658,,,44220,
843212,0001477932-13-002410,10-Q,2013-05-15,2013-05-16,2013,Q3,2013-03-31,quarterly,AEGG,AMERICAN ENERGY GROUP LTD,3415672,3062772,,,,,,62540,,,,,,298290,298290,44753,42614,0,42614,,2139,45287429,,,,253537,,-204125,,,,,,3062772,,,44753,
843212,0001477932-13-004679,10-K,2013-10-15,2013-10-16,2013,FY,2013-06-30,annual,AEGG,AMERICAN ENERGY GROUP LTD,3729706,3374509,,,,,,44101,,,,,,1217553,,-58181,-79419,,-79419,,12857,,,,,1275734,4733,-799332,,,,,,3374509,,,-66562,-53448
