cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization,ticker_source,ticker_asof
1087022,0001002014-11-000358,10-Q,2011-08-15,2011-08-16,2011,Q2,2011-06-30,quarterly,ALTR,ALR TECHNOLOGIES INC,309230,-9577119,,,,,,4943,,,,,,,,,,,,,,,,,,,,,,,,,,-9577119,,,,,3669,213977909,2011-06-30,single,,,,,instance,2011-08-15
1087022,0001002014-11-000548,10-Q,2011-11-14,2011-11-15,2011,Q3,2011-09-30,quarterly,ALTR,ALR TECHNOLOGIES INC.,11151,-10411931,,,,,,11151,,,,,,,,-665776,,,-1041201,,375425,,,,,,,-411882,,,,,,-10411931,,,,,3669,,,,,,,,instance,2011-11-14
1087022,0001002014-12-000186,10-K,2012-04-02,2012-04-03,2011,FY,2011-12-31,annual,ALRT,ALR TECHNOLOGIES INC.,14617,-10983062,,,,,,11002,,,,,,,,-1967533,,,-5276669,,3312298,213897772,,,,,,-1709255,,43785,,,,-10983062,,,,,3669,213977909,2011-12-31,single,,,,,instance,2012-04-02
1087022,0001002014-12-000186,10-K,2012-04-02,2012-04-03,2011,FY,2011-12-31,quarterly,ALRT,ALR TECHNOLOGIES INC.,14617,-10983062,,,,,,11002,,,,,,,,,,,-907740,,,,,,,,,-232832,,,,,,-10983062,,,,,3669,213977909,2011-12-31,single,,,,,instance,2012-04-02
1087022,0001002014-12-000259,10-Q,2012-05-14,2012-05-15,2012,Q1,2012-03-31,quarterly,ALRT,ALR TECHNOLOGIES INC.,23286,-11512582,,,,,,5771,,,,,,,,-360804,,,-803265,122075,482689,,,,,360804,,-371362,,,,,,-11512582,,,,,3669,213977907,2012-03-31,single,,,,,instance,2012-05-14
1087022,0001002014-12-000443,10-Q,2012-08-14,2012-08-15,2012,Q2,2012-06-30,quarterly,ALRT,ALR TECHNOLOGIES INC.,15885,-12134941,,,,,,5037,,,,,,,,-435796,,,-3085109,103331,2648985,,,,,435796,,-412795,,,,,,-12134941,,,,,3669,213977907,2012-06-30,single,,,,,instance,2012-08-14
1087022,0001002014-12-000506,10-Q/A,2012-09-13,2012-09-14,2012,Q2,2012-06-30,quarterly,ALRT,ALR TECHNOLOGIES INC.,15885,-12134941,,,,,,5037,,,,,,,,-435796,,,-3085109,103331,2648985,,,,,435796,,-412795,,,,,,-12134941,,,,,3669,213977907,2012-06-30,single,,,,,instance,2012-09-13
1087022,0001002014-12-000601,10-Q,2012-11-14,2012-11-15,2012,Q3,2012-09-30,quarterly,ALRT,ALR TECHNOLOGIES INC.,48660,-11854170,,,,,,12774,,,,,,,,-520540,,,-792832,142744,272292,,,,,520540,,-405140,,,,,,-11854170,,,,,3669,233977907,2012-09-30,single,,,,,instance,2012-11-14
1087022,0001002014-13-000148,10-K,2013-04-01,2013-04-02,2012,FY,2012-12-31,annual,ALRT,ALR TECHNOLOGIES INC.,27911,-12469812,,,,,,11082,,,,,,,,-1907350,,,-8328660,691744,6461210,221539553,,,,,,-1529894,,5597662,,,,-12469812,,,,,3669,236477909,2012-12-31,single,,,,,instance,2013-04-01
1087022,0001002014-13-000148,10-K,2013-04-01,2013-04-02,2012,FY,2012-12-31,quarterly,ALRT,ALR TECHNOLOGIES INC.,27911,-12469812,,,,,,11082,,,,,,,,-590210,,,-3647454,323594,3057244,,,,,,,-340597,,,,,,-12469812,,,,,3669,236477909,2012-12-31,single,,,,,instance,2013-04-01
1087022,0001002014-13-000341,10-Q,2013-08-14,2013-08-15,2013,Q2,2013-06-30,quarterly,ALRT,ALR TECHNOLOGIES INC.,35864,-13750252,,,,,,31093,,,,,,,,-519410,,,,123464,306633,237477909,,,,519410,,,,,,,,-13750252,,,,,3669,237477909,2013-06-30,single,,,,,instance,2013-08-14
1087022,0001002014-13-000540,10-Q,2013-11-14,2013-11-15,2013,Q3,2013-09-30,quarterly,ALRT,ALR TECHNOLOGIES INC.,37588,-14400002,,,,,,37012,,,,,,,,-378801,,,-701328,107766,322527,237477909,,,,378801,,-328079,,,,,,-14400002,,,,,3669,237477909,2013-09-30,single,,,,,instance,2013-11-14
1087022,0001002014-14-000126,10-K,2014-03-31,2014-04-01,2013,FY,2013-12-31,annual,ALRT,ALR TECHNOLOGIES INC.,33946,-14948140,,,,,,29558,,,0,,,,,1675079,,,-2997229,340949,1339399,237703855,,,,,,-1407928,,244913,,,,-14948140,,,,,3669,239477909,2013-12-31,single,,,,,instance,2014-03-31
1087022,0001002014-14-000126,10-K,2014-03-31,2014-04-01,2013,FY,2013-12-31,quarterly,ALRT,ALR TECHNOLOGIES INC.,33946,-14948140,,,,,,29558,,,0,,,,,3034481,,,-724670,-15404,408992,,,,,,,-380220,,,,,,-14948140,,,,,3669,239477909,2013-12-31,single,,,,,instance,2014-03-31
1087022,0001002014-14-000247,10-Q,2014-05-15,2014-05-16,2014,Q1,2014-03-31,quarterly,ALRT,ALR TECHNOLOGIES INC.,12105,-15663339,,,,,,736,,,0,,,,,-386473,,,-713732,111604,327259,239477909,,,,386473,,-352037,,,,,,-15663339,,,,,3669,239477909,2014-03-31,single,,,,,instance,2014-05-15
1087022,0001002014-14-000438,10-Q,2014-08-14,2014-08-15,2014,Q2,2014-06-30,quarterly,ALRT,ALR TECHNOLOGIES INC.,60807,-16247007,,,,,,58527,,,0,,,,,-496511,,,-4039944,144440,3631933,240166798,,,,496511,,-349594,,,,,,-16247007,,,,,3669,241027909,2014-06-30,single,,,,,instance,2014-08-14
1087022,0001002014-14-000623,10-Q,2014-11-14,2014-11-15,2014,Q3,2014-09-30,quarterly,ALRT,ALR TECHNOLOGIES INC.,52191,-16954224,,,,,,49028,,,0,,,,,-497909,,,-874336,129431,376427,241714722,,,,497909,,-458751,,,,,,-16954224,,,,,3669,242277909,2014-09-30,single,,,,,instance,2014-11-14
