cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization
827187,0001140361-11-038765,10-Q,2011-08-01,2011-08-02,2011,Q2,2011-06-30,quarterly,SCSS,SELECT COMFORT CORP,195280000,89687000,,,,,,57645000,20579000,,0,,,161462000,102504000,17626000,17596000,6307000,11289000,1223000,,56407000,,,,84878000,,,,,,,,89687000,,,,,2510,55991000,2011-06-30,single,,,,
827187,0001140361-11-050782,10-Q,2011-10-28,2011-10-29,2011,Q3,2011-09-30,quarterly,SCSS,SELECT COMFORT CORP,237923000,110113000,,,,,,96367000,20996000,,0,,,199600000,125762000,26459000,26482000,9246000,17236000,1029000,,56495000,,,,99303000,3400000,40840000,-4907000,1418000,,-41000,35933000,110113000,,,,29859000,2510,56174000,2011-09-30,single,,,,
827187,0001140361-12-011468,10-K,2012-02-28,2012-02-29,2011,FY,2011-12-31,annual,SCSS,SELECT COMFORT CORP,262657000,129391000,,,,,,116255000,24851000,,0,,,743203000,470345000,90453000,90420000,29942000,60478000,4175000,,56432000,,,,379892000,13543000,91046000,-23527000,4971000,,-371000,67519000,129391000,,,,103996000,2510,56397000,2011-12-31,single,,,,
827187,0001140361-12-011468,10-K,2012-02-28,2012-02-29,2011,FY,2011-12-31,quarterly,SCSS,SELECT COMFORT CORP,262657000,129391000,,,,,,116255000,24851000,,0,,,189073000,118978000,19970000,19974000,4604000,15370000,1192000,,,,,,99008000,3757000,16521000,-9035000,1297000,,-21000,7486000,129391000,,,,23727000,2510,56397000,2011-12-31,single,,,,
827187,0001140361-12-021713,10-Q,2012-04-27,2012-04-28,2012,Q1,2012-03-31,quarterly,SCSS,SELECT COMFORT CORP,303881000,161445000,,,,,,150943000,24884000,,0,,,262383000,164299000,34296000,34303000,11886000,22417000,1290000,,57440000,,,,130003000,4245000,44518000,-9281000,6964000,,-1214000,35237000,161445000,,,,38541000,2510,56705000,2012-03-31,single,,,,
827187,0001140361-12-034193,10-Q,2012-07-27,2012-07-28,2012,Q2,2012-06-30,quarterly,SCSS,SELECT COMFORT CORP,292341000,169008000,,,,,,90324000,27301000,,0,,,205219000,131571000,25852000,25900000,8927000,16973000,1256000,,57394000,,,,105719000,4804000,-1285000,-13218000,1406000,,-12809000,-14503000,169008000,,,,30656000,2510,56263000,2012-06-30,single,,,,
827187,0000827187-12-000050,10-Q,2012-10-26,2012-10-27,2012,Q3,2012-09-30,quarterly,SCSS,SELECT COMFORT CORP,346052000,188564000,,,,,,110408000,28997000,,0,,,246817000,160729000,40225000,40298000,14089000,26209000,1742000,,56986000,,,,120504000,5362000,54403000,-14317000,1200000,,-10048000,40086000,188564000,,,,45587000,2510,56040000,2012-09-30,single,,,,
827187,0000827187-13-000017,10-K,2013-02-21,2013-02-22,2012,FY,2012-12-31,annual,SCSS,SELECT COMFORT CORP,342021000,193697000,,,,,,87915000,35564000,,0,,,934978000,596546000,119787000,120005000,41911000,78094000,6194000,,57076000,,,,476759000,20401000,100626000,-51593000,10306000,,-34892000,49033000,193697000,,,,140188000,2510,55903000,2012-12-31,single,,,,
827187,0000827187-13-000017,10-K,2013-02-21,2013-02-22,2012,FY,2012-12-31,quarterly,SCSS,SELECT COMFORT CORP,342021000,193697000,,,,,,87915000,35564000,,0,,,220559000,139947000,19414000,19504000,7009000,12495000,1906000,,,,,,120533000,5990000,2990000,-14777000,736000,,-10821000,-11787000,193697000,,,,25404000,2510,55903000,2012-12-31,single,,,,
827187,0000827187-13-000035,10-Q,2013-04-26,2013-04-27,2013,Q1,2013-03-31,quarterly,SCSS,SELECT COMFORT CORP,367589000,210369000,17552000,,,,,84815000,30973000,,0,,,258237000,163416000,35227000,35318000,11847000,23471000,2556000,,56251000,,,,128189000,6661000,45022000,-14309000,432000,,-10144000,30713000,192817000,,,,41888000,2510,55650000,2013-03-31,single,,,,
