cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda
925741,0001136261-11-000464,10-Q,2011-08-11,2011-08-12,2011,Q2,2011-06-30,quarterly,CDOM,"TIGER X MEDICAL, INC.",14646000,14376000,,,,,,12692000,,,,,,0,0,-249000,-247000,0,11396000,,,230293141,,2000,,,,,,,,,,14376000,,,,
925741,0001136261-12-000180,10-K,2012-03-29,2012-03-30,2011,FY,2011-12-31,annual,CDOM,"TIGER X MEDICAL, INC.",13734000,12978000,,,,,,12678000,,,,,,12000,12000,-618000,,,9662000,,,230293141,,,,,0,-3087000,-137000,37000,,,-3224000,12978000,,,,-618000
925741,0001136261-12-000180,10-K,2012-03-29,2012-03-30,2011,FY,2011-12-31,quarterly,CDOM,"TIGER X MEDICAL, INC.",13734000,12978000,,,,,,12678000,,,,,,,,,,,,,,,,,,,,,,,,,,12978000,,,,
925741,0001136261-12-000295,10-Q,2012-05-15,2012-05-16,2012,Q1,2012-03-31,quarterly,CDOM,"TIGER X MEDICAL, INC.",13636000,12925000,,,,,,12652000,,,,,,11000,11000,-58000,-55000,0,-55000,,,230293141,,3000,,,,-26000,0,2000,,,-26000,12925000,,,,
925741,0001136261-12-000441,10-Q,2012-08-10,2012-08-11,2012,Q2,2012-06-30,quarterly,CDOM,"TIGER X MEDICAL, INC.",12940000,12798000,,,,,,12884000,,,,,,17000,17000,-132000,-129000,0,-129000,,,230293141,,3000,,,,-668000,0,2000,,,-668000,12798000,,,,
925741,0001136261-12-000589,10-Q,2012-11-08,2012-11-09,2012,Q3,2012-09-30,quarterly,CDOM,"TIGER X MEDICAL, INC.",13391000,13250000,,,,,,12823000,,,,,,19000,19000,-83000,-81000,0,451000,,,230293141,,2000,,,,-61000,0,1000,,,-61000,13250000,,,,
925741,0001136261-13-000152,10-K,2013-03-22,2013-03-23,2012,FY,2012-12-31,annual,CDOM,"TIGER X MEDICAL, INC.",13301000,13289000,,,,,,13268000,,,,,,,62000,-339000,,,305000,,,230293141,,,,,,-310000,0,6000,,,-310000,13289000,,,,
925741,0001136261-13-000152,10-K,2013-03-22,2013-03-23,2012,FY,2012-12-31,quarterly,CDOM,"TIGER X MEDICAL, INC.",13301000,13289000,,,,,,13268000,,,,,,,15000,-66000,,,38000,,,,,,,,,445000,0,1000,,,445000,13289000,,,,
925741,0001136261-13-000216,10-Q,2013-05-10,2013-05-11,2013,Q1,2013-03-31,quarterly,CDOM,"TIGER X MEDICAL, INC.",13275000,13265000,,,,,,13254000,,,,,,,38000,-26000,-25000,0,-25000,,,230293141,,,,,,-14000,,1000,,,,13265000,,,,
925741,0001136261-13-000323,10-Q,2013-07-26,2013-07-27,2013,Q2,2013-06-30,quarterly,CDOM,"TIGER X MEDICAL, INC.",13277000,13274000,,,,,,13269000,,,,,,,69000,6000,9000,0,9000,,,230293141,,,,,,15000,,0,,,,13274000,,,,
925741,0001136261-13-000486,10-Q,2013-11-01,2013-11-02,2013,Q3,2013-09-30,quarterly,CDOM,"TIGER X MEDICAL, INC.",13308000,13305000,,,,,,13263000,,,,,,,,26000,30000,0,30000,,,230293141,,,,,,-6000,,1000,,,,13305000,,,,
925741,0001136261-14-000123,10-K,2014-03-24,2014-03-25,2013,FY,2013-12-31,annual,CDOM,"TIGER X MEDICAL, INC.",13328000,13310000,,,,,,13295000,,,,,,,,9000,19000,0,19000,,,230293141,,,,,,27000,,2000,,,,13310000,,,,
925741,0001136261-14-000123,10-K,2014-03-24,2014-03-25,2013,FY,2013-12-31,quarterly,CDOM,"TIGER X MEDICAL, INC.",13328000,13310000,,,,,,13295000,,,,,,,,3000,5000,0,5000,,,,,,,,,32000,,0,,,,13310000,,,,
925741,0001136261-14-000195,10-Q,2014-05-12,2014-05-13,2014,Q1,2014-03-31,quarterly,CDOM,"TIGER X MEDICAL, INC.",13375000,13374000,,,,,,13322000,,,,,,,,63000,64000,0,64000,,,230293141,,,,,,27000,,0,,,,13374000,,,,
925741,0001136261-14-000348,10-Q,2014-08-06,2014-08-07,2014,Q2,2014-06-30,quarterly,CDOM,"TIGER X MEDICAL, INC.",13441000,13440000,,,,,,13401000,,,,,,,,65000,66000,0,66000,,,230293141,,,,,,79000,,0,,,,13440000,,,,
925741,0001136261-14-000471,10-Q,2014-11-06,2014-11-07,2014,Q3,2014-09-30,quarterly,CDOM,"TIGER X MEDICAL, INC.",13488000,13483000,,,,,,13456000,,,,,,,,42000,43000,0,43000,,,230293141,,,,,,55000,,0,,,,13483000,,,,
925741,0001136261-15-000089,10-K,2015-03-24,2015-03-25,2014,FY,2014-12-31,annual,CDOM,"TIGER X MEDICAL, INC.",13545000,13544000,,,,,,13509000,,,,,,,,231000,234000,0,234000,,,230293141,,,,,,214000,,0,,,,13544000,,,,
925741,0001136261-15-000089,10-K,2015-03-24,2015-03-25,2014,FY,2014-12-31,quarterly,CDOM,"TIGER X MEDICAL, INC.",13545000,13544000,,,,,,13509000,,,,,,,,61000,61000,0,61000,,,,,,,,,53000,,0,,,,13544000,,,,
925741,0001136261-15-000123,10-Q,2015-05-12,2015-05-13,2015,Q1,2015-03-31,quarterly,CDOM,"TIGER X MEDICAL, INC.",13620000,13620000,,,,,,13598000,,,,,,,,75000,76000,0,76000,,,230293141,,,,,,89000,,,,,,13620000,,,,
925741,0001136261-15-000248,10-Q,2015-08-12,2015-08-13,2015,Q2,2015-06-30,quarterly,CDOM,"TIGER X MEDICAL, INC.",13697000,13693000,,,,,,13688000,,,,,,,,72000,73000,0,73000,,,230293141,,,,,,90000,,,,,,13693000,,,,
925741,0001136261-15-000302,10-Q,2015-10-29,2015-10-30,2015,Q3,2015-09-30,quarterly,CDOM,"TIGER X MEDICAL, INC.",13776000,13776000,,,,,,13726000,,,,,,,,83000,83000,0,83000,,,230293141,,,,,,38000,,,,,,13776000,,,,
925741,0001136261-16-000427,10-K,2016-03-25,2016-03-26,2015,FY,2015-12-31,annual,CDOM,"TIGER X MEDICAL, INC.",13876000,13866000,,,,,,13840000,,,,,,,,319000,322000,0,322000,,,230293141,,,,,,331000,,,,,,13866000,,,,
925741,0001136261-16-000427,10-K,2016-03-25,2016-03-26,2015,FY,2015-12-31,quarterly,CDOM,"TIGER X MEDICAL, INC.",13876000,13866000,,,,,,13840000,,,,,,,,89000,90000,0,90000,,,,,,,,,114000,,,,,,13866000,,,,
925741,0001136261-16-000456,10-Q,2016-05-03,2016-05-04,2016,Q1,2016-03-31,quarterly,CDOM,"TIGER X MEDICAL, INC.",13948000,13948000,,,,,,13925000,,,,,,,,81000,82000,0,82000,,,230293141,,,,,,85000,,,,,,13948000,,,,
925741,0001136261-16-000580,10-Q,2016-08-02,2016-08-03,2016,Q2,2016-06-30,quarterly,CDOM,"TIGER X MEDICAL, INC.",14023000,14023000,,,,,,13872000,,,,,,,,74000,75000,0,75000,,,230293141,,,,,,-53000,,,,,,14023000,,,,
925741,0001136261-16-000628,10-Q,2016-10-17,2016-10-18,2016,Q3,2016-09-30,quarterly,CDOM,"TIGER X MEDICAL, INC.",19483000,19153000,,,,,,19437000,,,,,,,,5121000,5121000,0,5121000,,,230537706,,,,,,5565000,,9000,,,,19153000,,,,
925741,0001437749-17-005643,10-K,2017-03-30,2017-03-31,2016,FY,2016-12-31,annual,BCDA,"BIOCARDIA, INC.",22082000,20582000,,,,,,21352000,135000,,,,,576000,,-7608000,,,-10310000,3330000,1736000,,,,,,39000,-5522000,,942000,,,,20582000,,,,-7569000
