cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization
1506325,0001354488-13-004851,10-Q/A,2013-08-22,2013-08-23,2013,Q2,2013-06-30,quarterly,ETC,ELECTRIC TRACTOR CORP.,10000,-193889,10000,,10000,,,0,0,,,,,0,,,-52136,0,-52136,,,9487016,,,,52136,,,,,,,,-203889,,,,,3524,9487016,2013-06-30,single,,,,
1506325,0001354488-13-005989,10-Q,2013-11-05,2013-11-06,2013,Q3,2013-09-30,quarterly,ETC,ELECTRIC TRACTOR CORP.,10000,-288260,10000,,10000,,,0,0,,,,,0,,,-94371,0,-94371,,,9487016,,,,94371,,-115906,,,,,,-298260,,,,,3524,9487016,2013-09-30,single,,,,
1506325,0001354488-14-003277,10-K,2014-06-13,2014-06-14,2013,FY,2013-12-31,annual,ETC,ELECTRIC TRACTOR CORP.,0,-351625,0,,0,,,0,0,,,,,0,,,-242393,0,-242393,137315,,9487016,,,,242393,,-174672,,,,,,-351625,,,,,3524,9487016,2013-12-31,single,,,,
1506325,0001354488-14-003277,10-K,2014-06-13,2014-06-14,2013,FY,2013-12-31,quarterly,ETC,ELECTRIC TRACTOR CORP.,0,-351625,0,,0,,,0,0,,,,,0,,,-63365,0,-63365,,,,,,,63365,,18233,,,,,,-351625,,,,,3524,9487016,2013-12-31,single,,,,
1506325,0001354488-14-003454,10-Q,2014-06-25,2014-06-26,2014,Q1,2014-03-31,quarterly,ETC,ELECTRIC TRACTOR CORP.,0,-381269,0,,0,,,0,0,,,,,0,,,-32521,0,-32521,0,,9487016,,,,32521,,-10093,,,,,,-381269,,,,,3524,9487016,2014-03-31,single,,,,
1506325,0001354488-14-003829,10-Q,2014-08-04,2014-08-05,2014,Q2,2014-06-30,quarterly,ETC,ELECTRIC TRACTOR CORP.,0,-402604,0,,0,,,0,0,,,,,0,,,-21335,0,-21335,575,,9487016,,,,21335,,-15993,,,,,,-402604,,,,,3524,9487016,2014-06-30,single,,,,
1506325,0001354488-14-005787,10-Q,2014-11-14,2014-11-15,2014,Q3,2014-09-30,quarterly,ETC,ELECTRIC TRACTOR CORP.,0,-412386,0,,0,,,0,0,,,,,0,,,-9782,0,-9782,0,,9487016,,,,9782,,-9732,,,,,,-412386,,,,,3524,9487016,2014-09-30,single,,,,
1506325,0001354488-15-001708,10-K,2015-04-13,2015-04-14,2014,FY,2014-12-31,annual,ETC,ELECTRIC TRACTOR CORP.,0,-431603,0,,0,,,0,0,,,,,0,,,-79978,0,-79978,7915,,9487016,,,,79978,,-49023,,,,,,-431603,,,,,3524,9487016,2014-12-31,single,,,,
1506325,0001354488-15-001708,10-K,2015-04-13,2015-04-14,2014,FY,2014-12-31,quarterly,ETC,ELECTRIC TRACTOR CORP.,0,-431603,0,,0,,,0,0,,,,,0,,,-19217,0,-19217,7340,,,,,,19217,,-13205,,,,,,-431603,,,,,3524,9487016,2014-12-31,single,,,,
