cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda
1599489,0001599489-14-000004,10-Q,2014-08-14,2014-08-15,2014,Q2,2014-06-30,quarterly,VRTV,VERITIV CORP,1221300000,756200000,35000000,26400000,8600000,,,3900000,,,,,,1329000000,,4900000,5000000,2100000,2900000,,,,,,,,4300000,,,,,,,721200000,,,,9200000
1599489,0001599489-14-000007,10-Q,2014-11-14,2014-11-15,2014,Q3,2014-09-30,quarterly,VRTV,VERITIV CORP,2666700000,568000000,91600000,55100000,36500000,803300000,,61000000,,,,,,2390300000,,-17000000,-24400000,-10400000,-14000000,,,,,,,,14200000,-8400000,-4400000,0,,,-12800000,476400000,803300000,1371300000,,-2800000
1599489,0001628280-15-001897,10-K,2015-03-24,2015-03-25,2014,FY,2014-12-31,annual,VRTV,VERITIV CORP,2574500000,512500000,88500000,52400000,36100000,855000000,,57600000,,,,,,7406500000,,-6400000,-21600000,-2100000,-19600000,,,,,,,,37600000,5000000,-17200000,4300000,,,-12200000,424000000,855000000,1367500000,,31200000
1599489,0001628280-15-001897,10-K,2015-03-24,2015-03-25,2014,FY,2014-12-31,quarterly,VRTV,VERITIV CORP,2574500000,512500000,88500000,52400000,36100000,855000000,,57600000,,,,,,2379800000,,-3200000,-11500000,2500000,-14000000,,,,,,,,14500000,-23500000,-11500000,0,,,-35000000,424000000,855000000,1367500000,,11300000
1599489,0001599489-15-000004,10-Q,2015-05-13,2015-05-14,2015,Q1,2015-03-31,quarterly,VRTV,VERITIV CORP,2540500000,504700000,86500000,52400000,34100000,792800000,,63500000,,,,,,2137900000,,7800000,-2100000,100000,-2200000,,6400000,,,,,,13500000,92300000,-9700000,1000000,,,82600000,418200000,792800000,1297500000,4300000,21300000
1599489,0001599489-15-000010,10-Q,2015-08-13,2015-08-14,2015,Q2,2015-06-30,quarterly,VRTV,VERITIV CORP,2530800000,510100000,84200000,52100000,32100000,798100000,,79400000,,,,,,2159300000,,15700000,10800000,6500000,4300000,,6400000,,,,,,15300000,32100000,-12900000,900000,,,19200000,425900000,798100000,1308200000,17200000,31000000
1599489,0001599489-15-000027,10-Q,2015-11-12,2015-11-13,2015,Q3,2015-09-30,quarterly,VRTV,VERITIV CORP,2542900000,521500000,83300000,52100000,31200000,777500000,,53500000,,,,,,2219800000,,32100000,23400000,8900000,14500000,,7000000,,,,,,13700000,6100000,-11600000,1100000,,,-5500000,438200000,777500000,1299000000,30400000,45800000
1599489,0001599489-16-000035,10-K,2016-03-15,2016-03-16,2015,FY,2015-12-31,annual,VRTV,VERITIV CORP,2476900000,530100000,80400000,50200000,30200000,800500000,,54400000,,,,,,8717700000,,78600000,44900000,18200000,26700000,,27000000,,,,,,56900000,113000000,-44400000,3800000,,,68600000,449700000,800500000,1330600000,71900000,135500000
1599489,0001599489-16-000035,10-K,2016-03-15,2016-03-16,2015,FY,2015-12-31,quarterly,VRTV,VERITIV CORP,2476900000,530100000,80400000,50200000,30200000,800500000,,54400000,,,,,,2200700000,,23000000,12800000,2700000,10100000,,7200000,,,,,,14400000,-17500000,-10200000,800000,,,-27700000,449700000,800500000,1330600000,20000000,37400000
1599489,0001599489-16-000038,10-Q,2016-05-10,2016-05-11,2016,Q1,2016-03-31,quarterly,VRTV,VERITIV CORP,2427200000,539000000,79500000,50200000,29300000,749000000,,47700000,,,,,,2019800000,,15500000,7500000,4200000,3300000,,6500000,,,,,,13500000,74500000,-8900000,2000000,,,65600000,459500000,749000000,1288000000,14000000,29000000
