cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization,ticker_source,ticker_asof
1610466,0001564590-14-006119,10-Q,2014-12-09,2014-12-10,2014,Q3,2014-09-30,quarterly,SHLX,"SHELL MIDSTREAM PARTNERS, L.P.",320800000,303400000,,,,,,21900000,,,,,,46900000,,31100000,,,31000000,,,,,-100000,,,,,,,,,,303400000,,,,,4610,,,,,,2900000,,instance,2014-12-09
1610466,0001564590-15-001946,10-K,2015-03-25,2015-03-26,2014,FY,2014-12-31,annual,SHLX,"SHELL MIDSTREAM PARTNERS, L.P.",623700000,578900000,,,,,,150200000,,,,,,182400000,,101300000,108600000,200000,13400000,,,,,,,,,123600000,-65000000,,,,58600000,578900000,,,,,4610,,,,,,11600000,,instance,2015-03-25
1610466,0001564590-15-001946,10-K,2015-03-25,2015-03-26,2014,FY,2014-12-31,quarterly,SHLX,"SHELL MIDSTREAM PARTNERS, L.P.",623700000,578900000,,,,,,150200000,,,,,,55600000,,28400000,35800000,,-59400000,,,,,,,,,48400000,-7000000,,,,41400000,578900000,,,,,4610,,,,,,3400000,,instance,2015-03-25
1610466,0001564590-15-004132,10-Q,2015-05-13,2015-05-14,2015,Q1,2015-03-31,quarterly,SHLX,"SHELL MIDSTREAM PARTNERS, L.P.",618300000,580800000,,,,,,156900000,,,,,,51700000,,27700000,41600000,200000,23600000,,,,,,,,,57400000,-2500000,,,,54900000,580800000,,,,,4610,,,,,,3400000,,instance,2015-05-13
1610466,0001564590-15-007060,10-Q,2015-08-12,2015-08-13,2015,Q2,2015-06-30,quarterly,SHLX,"SHELL MIDSTREAM PARTNERS, L.P.",575000000,444500000,,,,,,113000000,,,,,,57600000,,31600000,45400000,100000,32200000,,,,,,,,,52800000,-1100000,,,,51700000,444500000,,,,,4610,,,,,,3500000,,instance,2015-08-12
1610466,0001564590-15-010436,10-Q,2015-11-12,2015-11-13,2015,Q3,2015-09-30,quarterly,SHLX,"SHELL MIDSTREAM PARTNERS, L.P.",608700000,156700000,,,,,,117500000,,,,,,72400000,,48900000,74100000,-300000,54300000,,,,,,,,,67900000,-4000000,,,,63900000,156700000,,,,,4610,,,,,,3500000,,instance,2015-11-12
1610466,0001564590-16-013599,10-K,2016-02-29,2016-03-01,2015,FY,2015-12-31,annual,SHLX,"SHELL MIDSTREAM PARTNERS, L.P.",715500000,207100000,,,,,,93000000,,,,,,326500000,,197800000,272800000,-100000,167100000,,,143800000,,,,,21600000,282700000,-16200000,,,,266500000,207100000,,,,219400000,4610,,,,,,,,instance,2016-02-29
1610466,0001564590-16-013599,10-K,2016-02-29,2016-03-01,2015,FY,2015-12-31,quarterly,SHLX,"SHELL MIDSTREAM PARTNERS, L.P.",715500000,207100000,,,,,,93000000,,,,,,84600000,,89600000,72400000,-100000,57000000,,,,,,,,,104600000,-8600000,,,,96000000,207100000,,,,,4610,,,,,,,,instance,2016-02-29
1610466,0001610466-16-000008,10-Q,2016-05-05,2016-05-06,2016,Q1,2016-03-31,quarterly,SHLX,"SHELL MIDSTREAM PARTNERS, L.P.",752800000,656600000,,,,,,138000000,,,,,,76700000,,45000000,68000000,0,55300000,,,,,,,,,72400000,-4700000,,,,67700000,656600000,,,,,4610,,,,,,5900000,,instance,2016-05-05
1610466,0001610466-16-000016,10-Q,2016-08-04,2016-08-05,2016,Q2,2016-06-30,quarterly,SHLX,"SHELL MIDSTREAM PARTNERS, L.P.",783100000,392200000,,,,,,168600000,,,,,,71100000,,38100000,66300000,0,63800000,,,,,,,,,78300000,-9100000,,,,69200000,392200000,,,,,4610,,,,,,5800000,,instance,2016-08-04
