cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda
1578932,0001193125-13-444739,10-Q,2013-11-18,2013-11-19,2013,Q3,2013-09-30,quarterly,OCIP,OCI PARTNERS LP,1000,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578932,0001193125-14-105372,10-K,2014-03-19,2014-03-20,2013,FY,2013-12-31,annual,OCIP,OCI PARTNERS LP,604380000,,,,,390876000,4000000,182977000,3986000,,,,,427964000,,188007000,155750000,1399000,,,16684000,,,,,,,141545000,-52634000,,,,88911000,,394876000,,172434000,
1578932,0001193125-14-105372,10-K,2014-03-19,2014-03-20,2013,FY,2013-12-31,quarterly,OCIP,OCI PARTNERS LP,604380000,,,,,390876000,4000000,182977000,3986000,,,,,113112000,,54863000,49214000,,,,,,,,,,,,,,,,,,394876000,,,
1578932,0001193125-14-196052,10-Q,2014-05-13,2014-05-14,2014,Q1,2014-03-31,quarterly,OCIP,OCI PARTNERS LP,638232000,,,,,390062000,4000000,190282000,5477000,,,,,99579000,,35130000,29421000,414000,29007000,,5827000,,,,,,,41636000,-23298000,,,,18338000,,394062000,,35248000,
1578932,0001193125-14-305784,10-Q,2014-08-12,2014-08-13,2014,Q2,2014-06-30,quarterly,OCIP,OCI PARTNERS LP,590779000,,,,,389260000,3980000,105976000,9343000,,,,,113447000,,45577000,41403000,477000,40926000,,4710000,,,,,,,45688000,-33143000,,,,12545000,,393240000,,46113000,
1578932,0001193125-14-407985,10-Q,2014-11-12,2014-11-13,2014,Q3,2014-09-30,quarterly,OCIP,OCI PARTNERS LP,594427000,,,,,388429000,3980000,66611000,4880000,,,,,90471000,,23010000,18882000,283000,18599000,,4157000,,,,,,,36531000,-36240000,,,,291000,,392409000,,23039000,
1578932,0001193125-15-092465,10-K,2015-03-16,2015-03-17,2014,FY,2014-12-31,annual,OCIP,OCI PARTNERS LP,674340000,,,,,387600000,3980000,71810000,6152000,,,,,402780000,,138524000,121012000,1564000,119448000,,18250000,,,,,,,151237000,-152160000,,,,-923000,,391580000,,139262000,
1578932,0001193125-15-092465,10-K,2015-03-16,2015-03-17,2014,FY,2014-12-31,quarterly,OCIP,OCI PARTNERS LP,674340000,,,,,387600000,3980000,71810000,6152000,,,,,99283000,,34807000,31306000,390000,30916000,,3556000,,,,,,,27382000,-59479000,,,,-32097000,,391580000,,34862000,
1578932,0001564590-15-003824,10-Q,2015-05-11,2015-05-12,2015,Q1,2015-03-31,quarterly,OCIP,OCI PARTNERS LP,754969000,,,,,373287000,3980000,55377000,4468000,,,,,37745000,,1436000,958000,65000,893000,,2506000,,,,,,,13989000,-67680000,,,,-53691000,,377267000,,3464000,
1578932,0001564590-15-006748,10-Q,2015-08-10,2015-08-11,2015,Q2,2015-06-30,quarterly,OCIP,OCI PARTNERS LP,771486000,,,,,372901000,3980000,20615000,4902000,,,,,79568000,,17494000,13706000,228000,13478000,,1785000,,,,,,,12812000,-78984000,,,,-66172000,,376881000,,15491000,
1578932,0001564590-15-010214,10-Q,2015-11-09,2015-11-10,2015,Q3,2015-09-30,quarterly,OCIP,OCI PARTNERS LP,758465000,,,,,421534000,4480000,29675000,5706000,,,,,103683000,,30834000,23496000,353000,23143000,,7278000,,,,,,,51088000,-74955000,,,,-23867000,,426014000,,30774000,
1578932,0001578932-16-000011,10-K,2016-03-24,2016-03-25,2015,FY,2015-12-31,annual,OCIP,OCI PARTNERS LP,733610000,,,,,420785000,4480000,13238000,5974000,,,,,309443000,,72732000,52634000,613000,,,20018000,,,,,,,100949000,-223540000,,,,-122591000,,425265000,,72652000,
1578932,0001578932-16-000011,10-K,2016-03-24,2016-03-25,2015,FY,2015-12-31,quarterly,OCIP,OCI PARTNERS LP,733610000,,,,,420785000,4480000,13238000,5974000,,,,,81587000,,22968000,14474000,-33000,14507000,,8449000,,,,,,,23060000,-1921000,,,,21139000,,425265000,,22923000,
1578932,0001578932-16-000016,10-Q,2016-05-09,2016-05-10,2016,Q1,2016-03-31,quarterly,OCIP,OCI PARTNERS LP,718400000,,,,,419483000,4480000,26507000,4162000,,,,,69941000,,3269000,-5974000,80000,-6054000,,8792000,,,,,,,16832000,-1049000,,,,15783000,,423963000,,2818000,
1578932,0001578932-16-000019,10-Q,2016-08-05,2016-08-06,2016,Q2,2016-06-30,quarterly,OCIP,OCI PARTNERS LP,683188000,,,,,419380000,4480000,8560000,4088000,,,,,56278000,,-5435000,-15494000,-47000,-15447000,,9973000,,,,,,,12668000,-1800000,,,,10868000,,423860000,,-5521000,
1578932,0001578932-16-000025,10-Q,2016-11-07,2016-11-08,2016,Q3,2016-09-30,quarterly,OCIP,OCI PARTNERS LP,680387000,,,,,419310000,4480000,11195000,4877000,,,,,66076000,,-874000,-11141000,556000,-11698000,,10104000,,,,,,,1088000,-1772000,,,,-684000,,423790000,,-1037000,
1578932,0001578932-17-000011,10-K,2017-03-13,2017-03-14,2016,FY,2016-12-31,annual,OCIP,OCI PARTNERS LP,663742000,,,,,225748000,4480000,8080000,7543000,,,,,258229000,,-2297000,-49747000,806000,-50553000,,45096000,,,,,,,31612000,-6785000,,,,24827000,,230228000,,-4651000,
