cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda
1746037,0001213900-18-016219,10-Q,2018-11-19,2018-11-20,2018,Q3,2018-09-30,quarterly,,ARYA SCIENCES ACQUISITION CORP.,391984,22648,,,,,,,,,,,,,,,,,-1092,,,,,,,,,,,,,,,22648,,,,
1746037,0001213900-19-004781,10-K,2019-03-25,2019-03-26,2018,FY,2018-12-31,annual,ARYA,ARYA SCIENCES ACQUISITION CORP.,145820556,5000001,,,,,,1198306,,,,,,,,,,,,,,,,,,,,,,,,,,5000001,,,,
1746037,0001213900-19-004781,10-K,2019-03-25,2019-03-26,2018,FY,2018-12-31,quarterly,ARYA,ARYA SCIENCES ACQUISITION CORP.,145820556,5000001,,,,,,1198306,,,,,,,,,,,,,,,,,,,,,,,,,,5000001,,,,
1746037,0001213900-19-008457,10-Q,2019-05-13,2019-05-14,2019,Q1,2019-03-31,quarterly,ARYA,ARYA SCIENCES ACQUISITION CORP.,146587332,5000006,,,,,,1075870,,,,,,,,-153570,,,718765,,,,,,,,,-122436,,,,,,5000006,,,,
1746037,0001193125-19-219048,10-Q,2019-08-12,2019-08-13,2019,Q2,2019-06-30,quarterly,ARYA,ARYA SCIENCES ACQUISITION CORP.,147435876,5000008,,,,,,1015506,,,0,,,,,-88205,,,857162,,,,,,,,,-60364,,,,,,5000008,,,,
1746037,0001193125-19-291106,10-Q,2019-11-13,2019-11-14,2019,Q3,2019-09-30,quarterly,ARYA,ARYA SCIENCES ACQUISITION CORP.,148145485,5000002,,,,,,963318,,,,,,,,-177719,,,617205,,,,,,,,,-52188,,,,,,5000002,,,,
1746037,0001193125-20-065243,10-K,2020-03-06,2020-03-07,2019,FY,2019-12-31,annual,ARYA,ARYA SCIENCES ACQUISITION CORP.,148776423,5000003,,,,,,874326,,,,,,,,-774607,,,2578622,,,,,,,,,-323980,,,,,,5000003,,,,
1746037,0001193125-20-065243,10-K,2020-03-06,2020-03-07,2019,FY,2019-12-31,quarterly,ARYA,ARYA SCIENCES ACQUISITION CORP.,148776423,5000003,,,,,,874326,,,,,,,,-355113,,,385490,,,,,,,,,-88992,,,,,,5000003,,,,
1746037,0001193125-20-137589,10-Q,2020-05-08,2020-05-09,2020,Q1,2020-03-31,quarterly,ARYA,ARYA SCIENCES ACQUISITION CORP.,149483579,5000001,,,,,,701650,,,,,,,,-4127299,,,-3269852,,,,,,,,,-172676,,,,,,5000001,,,,
