cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization
1191357,0001221508-11-000015,10-K/A,2011-10-19,2011-10-20,2011,FY,2011-06-30,annual,MLPH,MOLECULAR PHARMACOLOGY (USA) LTD.,,-1966692,,,,,,8675,,,,,,,,-121860,,,-121860,,,,,,,,,,,,,,,-1966692,,,,,2834,,,,,,,589
1191357,0001221508-11-000015,10-K/A,2011-10-19,2011-10-20,2011,FY,2011-06-30,quarterly,MLPH,MOLECULAR PHARMACOLOGY (USA) LTD.,,-1966692,,,,,,8675,,,,,,,,,,,,,,,,,,,,,,,,,,-1966692,,,,,2834,,,,,,,
1191357,0001221508-12-000003,10-Q,2012-02-14,2012-02-15,2012,Q2,2011-12-31,quarterly,MLPH,MOLECULAR PHARMACOLOGY (USA) LTD.,,-1984832,,,,,,10034,,,,,,,,-54472,,,-54472,,,,,,,,,-61246,,,,,,-1984832,,,,,2834,,,,,,,112
1191357,0001221508-12-000013,10-Q,2012-04-23,2012-04-24,2012,Q3,2012-03-31,quarterly,MPLH,MOLECULAR PHARMACOLOGY (USA) LTD.,,-2038045,,,,,,13465,,,,,,,,-30810,,,-30810,,,,,,,,,-31385,,,,,,-2038045,,,,,2834,,,,,,,114
1191357,0001221508-12-000015,10-K,2012-08-22,2012-08-23,2012,FY,2012-06-30,annual,MPLH,MOLECULAR PHARMACOLOGY (USA) LTD.,,-2079859,,,,,,2572,,,,,,,,-179382,,,-179382,,,,,,,,,-178237,,,,,,-2079859,,,,,2834,,,,,,,449
1191357,0001221508-12-000015,10-K,2012-08-22,2012-08-23,2012,FY,2012-06-30,quarterly,MPLH,MOLECULAR PHARMACOLOGY (USA) LTD.,,-2079859,,,,,,2572,,,,,,,,-66828,,,-66828,,,,,,,,,-54868,,,,,,-2079859,,,,,2834,,,,,,,110
1191357,0001221508-12-000017,10-Q,2012-11-08,2012-11-09,2013,Q1,2012-09-30,quarterly,MLPH,MOLECULAR PHARMACOLOGY (USA) LTD.,,-2162889,,,,,,11443,,,,,,,,-52096,,,-52096,,,,,,,,,-54700,,,,,,-2162889,,,,,2834,,,,,,,86
1191357,0001221508-13-000006,10-Q/A,2013-02-12,2013-02-13,2013,Q2,2012-12-31,quarterly,MLPH,MOLECULAR PHARMACOLOGY (USA) LTD.,,-2213615,,,,,,5994,,,,,,,,-48074,,,-48897,,,,,,,,,-59779,,,,,,-2213615,,,,,2834,,,,,,,84
1191357,0001221508-13-000008,10-Q/A,2013-05-08,2013-05-09,2013,Q3,2013-03-31,quarterly,MLPH,MOLECULAR PHARMACOLOGY (USA) LTD.,,-2272963,,,,,,13124,,,,,,,,-51596,,,-51596,,,,,,,,,-48580,,,,,,-2272963,,,,,2834,,,,,,,14
1191357,0001221508-13-000012,10-K,2013-08-13,2013-08-14,2013,FY,2013-06-30,annual,MLPH,MOLECULAR PHARMACOLOGY (USA) LTD.,,-2053873,,,,,,7046,,,,,,,,-209077,,,-209900,,,,,,,,,-206465,,,,,,-2053873,,,,,2834,,,,,,,196
