cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda
1785592,0001213900-19-026582,10-Q,2019-12-19,2019-12-20,2019,Q3,2019-09-30,quarterly,MCMJU,MERIDA MERGER CORP. I,106053,25484,,,,,,9663,,,,,,,,,,,-87,,,,,,,,,-426,,,,,,25484,,,,
1785592,0001213900-20-008063,10-K,2020-03-30,2020-03-31,2019,FY,2019-12-31,annual,MCMJU,MERIDA MERGER CORP. I,130850974,5000001,,,,,,362570,,,,,,,,,,,,,,,,,,,,,,,,,,5000001,,,,
1785592,0001213900-20-008063,10-K,2020-03-30,2020-03-31,2019,FY,2019-12-31,quarterly,MCMJU,MERIDA MERGER CORP. I,130850974,5000001,,,,,,362570,,,,,,,,,,,,,,,,,,,,,,,,,,5000001,,,,
1785592,0001213900-20-012662,10-Q,2020-05-15,2020-05-16,2020,Q1,2020-03-31,quarterly,MCMJ,MERIDA MERGER CORP. I,131273939,5000010,,,,,,367782,,,,,,,,-210930,476600,100270,376330,,,,,,,,,-332027,,,,,,5000010,,,,
1785592,0001213900-20-022256,10-Q,2020-08-14,2020-08-15,2020,Q2,2020-06-30,quarterly,MCMJ,MERIDA MERGER CORP. I,130102089,5000004,,,,,,268311,,,,,,,,-148736,-125334,-26368,-98966,,,,,,,,,-141087,,,,,,5000004,,,,
1785592,0001213900-20-037061,10-Q,2020-11-16,2020-11-17,2020,Q3,2020-09-30,quarterly,MCMJ,MERIDA MERGER CORP. I,131029062,5000002,,,,,,242895,,,,,,,,-153230,-109179,-22871,-86308,,,,,,,,,-66455,,,,,,5000002,,,,
1785592,0001213900-21-019193,10-K,2021-03-31,2021-04-01,2020,FY,2020-12-31,annual,MCMJ,MERIDA MERGER CORP. I,130952322,5000010,,,,,,171540,,,,,,,,-661218,128188,27112,101076,,,,,,,,,-610924,,,,,,5000010,,,,
1785592,0001213900-21-019193,10-K,2021-03-31,2021-04-01,2020,FY,2020-12-31,quarterly,MCMJ,MERIDA MERGER CORP. I,130952322,5000010,,,,,,171540,,,,,,,,-148322,-113899,-23919,-89980,,,,,,,,,-71355,,,,,,5000010,,,,
1785592,0001213900-21-038680,10-K/A,2021-07-26,2021-07-27,2020,FY,2020-12-31,annual,MCMJ,MERIDA MERGER CORP. I,130952322,5000010,,,,,,171540,,,,,,,,-661218,-1846968,27112,-1874080,,,,,,,,,-610924,,,,,,5000010,,,,
1785592,0001213900-21-038680,10-K/A,2021-07-26,2021-07-27,2020,FY,2020-12-31,quarterly,MCMJ,MERIDA MERGER CORP. I,130952322,5000010,,,,,,171540,,,,,,,,-148322,-2089055,-23919,-2065136,,,,,,,,,-71355,,,,,,5000010,,,,
1785592,0001213900-21-038681,10-Q,2021-07-26,2021-07-27,2021,Q1,2021-03-31,quarterly,MCMJ,MERIDA MERGER CORP. I,130740243,5000005,,,,,,292928,,,,,,,,-196451,-886006,,-886006,,,,,,,,,-259218,,,,,,5000005,,,,
1785592,0001213900-21-042946,10-Q,2021-08-16,2021-08-17,2021,Q2,2021-06-30,quarterly,,MERIDA MERGER CORP. I,130932378,5000003,,,,,,442745,,,,,,,,-316457,-430800,,-430800,,,,,,,,,-335576,,,,,,5000003,,,,
1785592,0001213900-21-060306,10-Q,2021-11-17,2021-11-18,2021,Q3,2021-09-30,quarterly,,MERIDA MERGER CORP. I,130537440,-7552190,,,,,,101541,,,,,,,,-440194,-2887517,,-2887517,,,,,,,,,-380613,,,,,,-7552190,,,,
