cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization,ticker_source,ticker_asof
1832737,0001193125-21-171947,10-Q,2021-05-25,2021-05-26,2021,Q1,2021-03-31,quarterly,TSIB,TISHMAN SPEYER INNOVATION CORP. II,301683287,5000005,,,,,,1030164,,,,,,,,-218393,,,-2077097,,,,2054,,,,,-475176,,,,,,5000005,,,,,6770,10774635,2021-03-31,class_sum,,,,,instance,2021-05-25
1832737,0001193125-21-244346,10-Q,2021-08-12,2021-08-13,2021,Q2,2021-06-30,quarterly,TSIB,TISHMAN SPEYER INNOVATION CORP. II,301568389,5000008,,,,,,999165,,,,,,,,-303558,,,-2604937,,,,4559,,,,,-30999,,,,,,5000008,,,,,6770,11035129,2021-06-30,class_sum,,,,,carried,2021-05-25
1832737,0001193125-21-315481,10-Q,2021-11-01,2021-11-02,2021,Q3,2021-09-30,quarterly,TSIB,TISHMAN SPEYER INNOVATION CORP. II,301082355,-20246351,,,,,,598711,,,,,,,,-427524,,,10104931,,,,4609,,,,,-400454,,,,,,-20246351,,,,,6770,7500000,2021-09-30,class_sum,,,,,carried,2021-05-25
1832737,0001193125-21-362442,10-Q/A,2021-12-20,2021-12-21,2021,Q3,2021-09-30,quarterly,TSIB,TISHMAN SPEYER INNOVATION CORP. II,301082355,-20246351,,,,,,598711,,,,,,,,-427524,,,10104931,,,,4609,,,,,-400454,,,,,,-20246351,,,,,6770,7500000,2021-09-30,class_sum,,,,,carried,2021-05-25
1832737,0001193125-22-088238,10-K,2022-03-29,2022-03-30,2021,FY,2021-12-31,annual,TSIB,TISHMAN SPEYER INNOVATION CORP. II,300942868,-21366874,,,,,,546159,,,,,,,,-3144397,,,4302374,,,,16455,,,,,-960179,,,,,,-21366874,,,,,6770,7500000,2021-12-31,class_sum,,,,,carried,2021-05-25
1832737,0001193125-22-088238,10-K,2022-03-29,2022-03-30,2021,FY,2021-12-31,quarterly,TSIB,TISHMAN SPEYER INNOVATION CORP. II,300942868,-21366874,,,,,,546159,,,,,,,,-2194922,,,-1120523,,,,5233,,,,,-53550,,,,,,-21366874,,,,,6770,7500000,2021-12-31,class_sum,,,,,carried,2021-05-25
1832737,0001193125-22-150165,10-Q,2022-05-13,2022-05-14,2022,Q1,2022-03-31,quarterly,TSIB,TISHMAN SPEYER INNOVATION CORP. II,300676796,-16644930,,,,,,287309,,,,,,,,-107770,,,4721944,,,,23386,,,,,-258850,,,,,,-16644930,,,,,6770,7500000,2022-03-31,class_sum,,,,,carried,2021-05-25
1832737,0001193125-22-216368,10-Q,2022-08-10,2022-08-11,2022,Q2,2022-06-30,quarterly,TSIB,TISHMAN SPEYER INNOVATION CORP. II,300715069,-13921332,,,,,,10194,,,,,,,,-442483,2887547,14818,2872729,,,,418753,,,,,-452115,,,,,,-13921332,,,,,6770,7500000,2022-06-30,class_sum,,,,,carried,2021-05-25
1832737,0001193125-22-282766,10-Q,2022-11-10,2022-11-11,2022,Q3,2022-09-30,quarterly,TSIB,TISHMAN SPEYER INNOVATION CORP. II,301860317,-13804879,,,,,,108478,,,,,,,,-272621,1437238,253467,1183771,,,,1365330,,,,,-191560,,,,,,-13804879,,,,,6770,7500000,2022-09-30,class_sum,,,,,carried,2021-05-25
