cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization
66756,0000066756-10-000077,10-Q,2010-08-04,2010-08-05,2010,Q2,2010-06-30,quarterly,ALE,ALLETE INC,2447800000,962300000,,,,709600000,1600000,45300000,57100000,,,,,211200000,,31700000,,9400000,19400000,,9500000,34200000,,,,,,,,,,,,962300000,711200000,1673500000,,,4931,35700000,2010-06-30,single,,,,
66756,0000066756-10-000091,10-Q,2010-10-29,2010-10-30,2010,Q3,2010-09-30,quarterly,ALE,ALLETE INC,2579100000,974900000,,,,784200000,1600000,92300000,62900000,,,,,224100000,,35300000,,11200000,19600000,,9700000,34500000,,,,,,79500000,-93200000,500000,-14400000,,-13700000,974900000,785800000,1760700000,,,4931,35800000,2010-09-30,single,,,20000000,
66756,0000066756-11-000029,10-K,2011-02-16,2011-02-17,2010,FY,2010-12-31,annual,ALE,ALLETE INC,2609100000,976000000,,,,771600000,13400000,44900000,60000000,,,,,907000000,,135800000,,44300000,75300000,,39200000,34300000,,,,,,228700000,-248900000,2200000,-60800000,,-20200000,976000000,785000000,1761000000,,,4931,35800000,2010-12-31,single,,,80500000,
66756,0000066756-11-000029,10-K,2011-02-16,2011-02-17,2010,FY,2010-12-31,quarterly,ALE,ALLETE INC,2609100000,976000000,,,,771600000,13400000,44900000,60000000,,,,,238100000,,22700000,,3800000,13300000,,11100000,,,,,,,40700000,-76200000,600000,-15600000,,-35500000,976000000,785000000,1761000000,,,4931,35800000,2010-12-31,single,,,20700000,
66756,0000066756-11-000048,10-Q,2011-04-29,2011-04-30,2011,Q1,2011-03-31,quarterly,ALE,ALLETE INC,2613400000,1003200000,,,,771000000,13000000,52700000,56100000,,,,,,,50800000,,8200000,37200000,,10700000,34700000,,,,,,69100000,-51500000,600000,-16200000,,17600000,1003200000,784000000,1787200000,,,4931,35900000,2011-03-31,single,,,22300000,
66756,0000066756-11-000112,10-Q,2011-08-05,2011-08-06,2011,Q2,2011-06-30,quarterly,ALE,ALLETE INC,2645500000,1029000000,,,,770700000,12900000,79400000,61300000,,,,,219900000,,26100000,20700000,3800000,17000000,,11000000,35100000,,,,,,60900000,-40100000,500000,-15200000,,20800000,1029000000,783600000,1812600000,31700000,,4931,36500000,2011-06-30,single,,,22100000,
66756,0000066756-11-000126,10-Q,2011-11-02,2011-11-03,2011,Q3,2011-09-30,quarterly,ALE,ALLETE INC,2754400000,1051400000,,,,844400000,12800000,135100000,69100000,,,,,226900000,,38900000,33200000,12700000,20500000,,10900000,35700000,,,,,,55100000,-65200000,600000,-15500000,,-10100000,1051400000,857200000,1908600000,44100000,,4931,36800000,2011-09-30,single,,,22700000,
66756,0000066756-12-000026,10-K,2012-02-15,2012-02-16,2011,FY,2011-12-31,annual,ALE,ALLETE INC,2876000000,1079300000,,,,857900000,5400000,101100000,69100000,,,,,928200000,,150000000,,35600000,93800000,,43600000,35400000,,,,,,241700000,-239200000,1600000,-62100000,,2500000,1079300000,863300000,1942600000,,,4931,37500000,2011-12-31,single,,,90400000,
66756,0000066756-12-000026,10-K,2012-02-15,2012-02-16,2011,FY,2011-12-31,quarterly,ALE,ALLETE INC,2876000000,1079300000,,,,857900000,5400000,101100000,69100000,,,,,239200000,,34200000,,10900000,19100000,,11000000,,,,,,,56600000,-82400000,-100000,-15200000,,-25800000,1079300000,863300000,1942600000,,,4931,37500000,2011-12-31,single,,,23300000,
66756,0000066756-12-000062,10-Q,2012-05-02,2012-05-03,2012,Q1,2012-03-31,quarterly,ALE,ALLETE INC,2906600000,1113800000,,,,856500000,5500000,118200000,72200000,,,,,240000000,,38400000,32700000,8300000,24400000,,11000000,36900000,,,,,,68500000,-53900000,700000,-17700000,,14600000,1113800000,862000000,1975800000,43700000,,4931,38100000,2012-03-31,single,,,24600000,
