cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization
1341235,0001193125-14-233411,10-Q,2014-06-11,2014-06-12,2014,Q1,2014-03-31,quarterly,ALDX,"ALDEYRA THERAPEUTICS, INC.",2890566,-39645435,,,,972418,232640,2145621,,,,,,,,-1244924,,,401773,444278,113221,443826,3,,,,,-1063892,,365686,,,,-39645435,1205058,-38440377,,,2834,327365,2014-03-31,class_sum,,,,
1341235,0001193125-14-300661,10-Q,2014-08-07,2014-08-08,2014,Q2,2014-06-30,quarterly,ALDX,"ALDEYRA THERAPEUTICS, INC.",11805329,9814977,,,,815825,407120,11535788,,,0,,,,,-1646487,,,-1135145,663908,56246,3769360,0,,,,,-894454,,748421,,,,9814977,1222945,11037922,,,2834,5565415,2014-06-30,class_sum,,,,
1341235,0001193125-14-408602,10-Q,2014-11-12,2014-11-13,2014,Q3,2014-09-30,quarterly,ALDX,"ALDEYRA THERAPEUTICS, INC.",10350517,8263558,,,,1240828,,10142137,,,,,,,,-1968135,,,-2009206,1195668,41071,5565413,0,,,,,-1210769,,457788,,,,8263558,1240828,9504386,,,2834,5565415,2014-09-30,single,,,,
1341235,0001193125-15-101703,10-K,2015-03-23,2015-03-24,2014,FY,2014-12-31,annual,ALDX,"ALDEYRA THERAPEUTICS, INC.",8787103,6284058,,,,1175481,77546,8527304,,,,,,,,-7270590,,,-5187259,3707544,244174,3850612,3,,,,,-4775994,-14062,2037073,,,-4790056,6284058,1253027,7537085,,,2834,5565415,2014-12-31,class_sum,,,1069,
1341235,0001193125-15-101703,10-K,2015-03-23,2015-03-24,2014,FY,2014-12-31,quarterly,ALDX,"ALDEYRA THERAPEUTICS, INC.",8787103,6284058,,,,1175481,77546,8527304,,,,,,,,-2411044,,,-2444679,1403690,33635,,0,,,,,-1606879,-7955,465178,,,-1614834,6284058,1253027,7537085,,,2834,5565415,2014-12-31,class_sum,,,730,
1341235,0001193125-15-187962,10-Q,2015-05-14,2015-05-15,2015,Q1,2015-03-31,quarterly,ALDX,"ALDEYRA THERAPEUTICS, INC.",15931353,13826670,,,,1068515,193866,15721097,,,,,,,,-2108535,,,-2136559,1136434,28024,6667519,,,,,,-1843864,-1441,640073,,,-1845305,13826670,1262381,15089051,,,2834,6890021,2015-03-31,single,,,1252,
1341235,0001193125-15-290681,10-Q,2015-08-14,2015-08-15,2015,Q2,2015-06-30,quarterly,ALDX,"ALDEYRA THERAPEUTICS, INC.",33877502,31524781,,,,961549,310185,33569784,,,,,,,,-2203976,,,-2232186,1249097,28210,8397713,,,,,,-1601826,-30435,463588,,,-1632261,31524781,1271734,32796515,,,2834,9712521,2015-06-30,single,,,2750,
1341235,0001193125-15-376648,10-Q,2015-11-13,2015-11-14,2015,Q3,2015-09-30,quarterly,ALDX,"ALDEYRA THERAPEUTICS, INC.",31350399,28695363,,,,1281088,,30618365,,,,,,,,-3337606,,,-3365687,2076410,28081,9712521,,,,,,-2882938,-54243,536269,,,-2937181,28695363,1281088,29976451,,,2834,9712521,2015-09-30,single,,,6647,
1341235,0001193125-16-523952,10-K,2016-03-30,2016-03-31,2015,FY,2015-12-31,annual,ALDX,"ALDEYRA THERAPEUTICS, INC.",28204764,24878319,,,,1211310,77546,14648866,,,,,,,,-11989107,,,-12090287,7574398,112306,8633897,11126,,,,,-9311753,-86119,2187102,,,-9397872,24878319,1288856,26167175,,,2834,9712521,2015-12-31,single,,,18778,
1341235,0001193125-16-523952,10-K,2016-03-30,2016-03-31,2015,FY,2015-12-31,quarterly,ALDX,"ALDEYRA THERAPEUTICS, INC.",28204764,24878319,,,,1211310,77546,14648866,,,,,,,,-4338990,,,-4355856,3112457,27992,,,,,,,-2983125,0,547172,,,-2983125,24878319,1288856,26167175,,,2834,9712521,2015-12-31,single,,,8129,
1341235,0001193125-16-582737,10-Q,2016-05-09,2016-05-10,2016,Q1,2016-03-31,quarterly,ALDX,"ALDEYRA THERAPEUTICS, INC.",23436766,20527027,,,,1101968,193866,10148524,,,,,,,,-4967036,,,-4967352,3511477,25035,9712521,24719,,,,,-4481358,-9234,609108,,,-4490592,20527027,1295834,21822861,,,2834,9712521,2016-03-31,single,,,8102,
1341235,0001193125-16-677524,10-Q,2016-08-10,2016-08-11,2016,Q2,2016-06-30,quarterly,ALDX,"ALDEYRA THERAPEUTICS, INC.",32883548,29517724,,,,992625,310185,17607522,,,,,,,,-4296750,,,-4302616,2834523,27817,10622411,21951,,,,,-3253124,-2576,673579,,,-3255700,29517724,1302810,30820534,,,2834,12472521,2016-06-30,single,,,9015,
1341235,0001193125-16-767770,10-Q,2016-11-14,2016-11-15,2016,Q3,2016-09-30,quarterly,ALDX,"ALDEYRA THERAPEUTICS, INC.",29191477,25671538,,,,883282,426505,14568508,,,,,,,,-4776445,,,-4775307,3379711,26654,12474609,27792,,,,,-3503568,0,877027,,,-3503568,25671538,1309787,26981325,,,2834,12568563,2016-09-30,single,,,9337,
1341235,0001193125-17-104228,10-K,2017-03-30,2017-03-31,2016,FY,2016-12-31,annual,ALDX,"ALDEYRA THERAPEUTICS, INC.",25187679,21649817,,,,1238624,77546,12015061,,,,,,,,-18695978,,,-18699450,13175670,105509,11352230,102037,,,,,-15147512,-11810,2759753,,,-15159322,21649817,1316170,22965987,,,2834,12576325,2016-12-31,single,,,35792,
1341235,0001193125-17-104228,10-K,2017-03-30,2017-03-31,2016,FY,2016-12-31,quarterly,ALDX,"ALDEYRA THERAPEUTICS, INC.",25187679,21649817,,,,1238624,77546,12015061,,,,,,,,-4653001,,,-4651429,3447176,26002,,27574,,,,,-3909462,0,600039,,,-3909462,21649817,1316170,22965987,,,2834,12576325,2016-12-31,single,,,9338,
1341235,0001193125-17-170649,10-Q,2017-05-15,2017-05-16,2017,Q1,2017-03-31,quarterly,ALDX,"ALDEYRA THERAPEUTICS, INC.",31531617,27995007,,,,1127500,193866,19302850,,,,,,,,-5095901,,,-5091121,3369023,26837,13797312,31617,,,,,-4186843,-11592,858096,,,-4198435,27995007,1321366,29316373,,,2834,15131880,2017-03-31,single,,,9660,
1341235,0001193125-17-249864,10-Q,2017-08-07,2017-08-08,2017,Q2,2017-06-30,quarterly,ALDX,"ALDEYRA THERAPEUTICS, INC.",26467944,23339796,,,,1016377,310185,14609742,,,,,,,,-5330681,,,-5308760,3848889,26463,15136399,48384,,,,,-5311898,0,605234,,,-5311898,23339796,1326562,24666358,,,2834,15150176,2017-06-30,single,,,10303,
1341235,0001193125-17-338853,10-Q,2017-11-09,2017-11-10,2017,Q3,2017-09-30,quarterly,ALDX,"ALDEYRA THERAPEUTICS, INC.",49229420,45904937,,,,905253,426505,33103849,,,,,,,,-5015272,,,-4986199,3539368,27578,15581426,56651,,,,,-4705604,0,659339,,,-4705604,45904937,1331758,47236695,,,2834,19117676,2017-09-30,single,,,9964,
1341235,0001193125-18-102077,10-K,2018-03-29,2018-03-30,2017,FY,2017-12-31,annual,ALDX,"ALDEYRA THERAPEUTICS, INC.",44174958,39601019,,,,1220192,116319,20023337,,,,,,,,-22488388,,,-22340589,16302568,113453,15921884,261252,,,,,-19222862,-24759,2714841,,,-19247621,39601019,1336511,40937530,,,2834,19137639,2017-12-31,single,,,37849,
1341235,0001193125-18-102077,10-K,2018-03-29,2018-03-30,2017,FY,2017-12-31,quarterly,ALDX,"ALDEYRA THERAPEUTICS, INC.",44174958,39601019,,,,1220192,116319,20023337,,,,,,,,-7046535,,,-6954510,5545289,32575,,124600,,,,,-5018517,-13167,592172,,,-5031684,39601019,1336511,40937530,,,2834,19137639,2017-12-31,single,,,7922,
1341235,0001193125-18-164070,10-Q,2018-05-15,2018-05-16,2018,Q1,2018-03-31,quarterly,ALDX,"ALDEYRA THERAPEUTICS, INC.",40775901,36001204,,,,1107741,232639,20963541,,,,,,,,-8491409,,,-8397063,6600106,28044,19366790,122390,,,,,-7954593,-139006,868415,,,-8093599,36001204,1340380,37341584,,,2834,19664921,2018-03-31,single,,,11406,
1341235,0001193125-18-244346,10-Q,2018-08-09,2018-08-10,2018,Q2,2018-06-30,quarterly,ALDX,"ALDEYRA THERAPEUTICS, INC.",43286042,36980597,,,,995291,348958,24605674,,,,,,,,-9166033,,,-9050435,6792974,26358,19761352,141956,,,,,-6245691,-61757,984784,,,-6307448,36980597,1344249,38324846,,,2834,20842198,2018-06-30,single,,,17876,
