cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization
1097896,0001161697-11-000842,10-Q/A,2011-09-13,2011-09-14,2011,Q2,2011-06-30,quarterly,TNSX,TRANSAX INTERNATIONAL LTD,51923,-790273,,,,,,51236,,,,,,,,,,,8809877,,,,,,,51069,,,,,,,,-790273,,,,,7372,96078960,2011-06-30,single,,,82,
1097896,0001161697-11-001017,10-Q,2011-11-14,2011-11-15,2011,Q3,2011-09-30,quarterly,TNSX,TRANSAX INTERNATIONAL LTD,39547,-845301,,,,,,38942,,,,,,,,,,,-55028,,,,,,,49582,0,-12294,,,,,,-845301,,,,,7372,96078960,2011-09-30,single,,,82,
1097896,0001448788-12-000103,10-K,2012-04-13,2012-04-14,2011,FY,2011-12-31,annual,TNSX,TRANSAX INTERNATIONAL LTD,3794061,1752378,13558,,13558,,,246720,699,,,,,24587471,2737430,1640189,,-34486,1609661,,,,289,,,1097241,8822,,,,,,,1738820,,,,1649011,3944,,,,,,,
1097896,0001448788-12-000103,10-K,2012-04-13,2012-04-14,2011,FY,2011-12-31,quarterly,TNSX,TRANSAX INTERNATIONAL LTD,3794061,1752378,13558,,13558,,,246720,699,,,,,,,,,,-6967286,,,,,,,902084,-56917,,,,,,,1738820,,,,,3944,,,,,,,
1097896,0001448788-12-000138,10-Q,2012-05-15,2012-05-16,2012,Q1,2012-03-31,quarterly,TNSX,TRANSAX INTERNATIONAL LTD,5311968,2104556,12876,,12876,,,176260,522661,,,,,6254995,681572,214065,,,228388,,,96078960,134,,,467507,9480,-114384,,,,,,2091680,,,,223545,3944,,,,,,,
1097896,0001448788-12-000215,10-Q,2012-08-20,2012-08-21,2012,Q2,2012-06-30,quarterly,TNSX,TRANSAX INTERNATIONAL LTD,7814541,2623855,12115,,12115,,,653988,1414189,,,,,9940295,816077,501336,,,518490,,,96078960,,-345,,314741,13542,90213,,,,,,2611740,,,,514878,3944,,,,,,,
1097896,0001448788-12-000240,10-K/A,2012-08-31,2012-09-01,2011,FY,2011-12-31,annual,TNSX,TRANSAX INTERNATIONAL LTD,3794061,1752378,13558,,13558,,,246720,699,,,,,15785510,2190104,1640189,,-34486,1609661,,,,289,,,549915,8822,588619,,,,,,1738820,,,,1649011,3944,,,,,,,
1097896,0001448788-12-000240,10-K/A,2012-08-31,2012-09-01,2011,FY,2011-12-31,quarterly,TNSX,TRANSAX INTERNATIONAL LTD,3794061,1752378,13558,,13558,,,246720,699,,,,,,,,,,-6967286,,,,,,,354758,-56917,1044331,,,,,,1738820,,,,,3944,,,,,,,
1097896,0001448788-12-000243,10-Q/A,2012-08-31,2012-09-01,2012,Q1,2012-03-31,quarterly,TNSX,TRANSAX INTERNATIONAL LTD,5311968,2104556,12876,,12876,,,176260,522661,,,,,4752085,521022,214065,,,228388,,,96078960,134,,,306957,9480,-484558,,,,,,2091680,,,,223545,3944,,,,,,,
1097896,0001448788-12-000245,10-Q/A,2012-08-31,2012-09-01,2012,Q2,2012-06-30,quarterly,TNSX,TRANSAX INTERNATIONAL LTD,7814541,2623855,12115,,12115,,,653988,1414189,,,,,5960742,806047,501336,,,518490,,,96078960,,-345,,304711,13542,460387,,,,,,2611740,,,,514878,3944,,,,,,,
1097896,0001448788-12-000289,10-Q,2012-11-13,2012-11-14,2012,Q3,2012-09-30,quarterly,TNSX,TRANSAX INTERNATIONAL LTD,8053471,3560846,11329,,11329,,,33915,587175,,,,,8608084,1282796,938249,,-1075,942150,,,96078960,,-172,,344547,18763,-651875,1310,,,,-650565,3549517,,,,957012,3944,,,,,,,
1097896,0001448788-13-000081,10-K/A,2013-05-06,2013-05-07,2011,FY,2011-12-31,annual,BIGG,"BIG TREE GROUP, INC.",3794061,1055333,13558,,13558,,,246720,699,,,,,15785510,2190104,1640189,,-34486,1609661,,,,289,,,549915,8822,588619,,,,,,1041775,,,,1649011,3944,,,,,,,
1097896,0001448788-13-000081,10-K/A,2013-05-06,2013-05-07,2011,FY,2011-12-31,quarterly,BIGG,"BIG TREE GROUP, INC.",3794061,1055333,13558,,13558,,,246720,699,,,,,,,,,,-6967286,,,,,,,354758,-56917,1044331,,,,,,1041775,,,,,3944,,,,,,,
1097896,0001448788-13-000090,10-K,2013-05-14,2013-05-15,2012,FY,2012-12-31,annual,BIGG,"BIG TREE GROUP, INC.",8650814,2605764,10592,,10592,,,22167,1327342,,,,,33888635,3527026,1708150,,-33105,1595039,,,10060288,,-30677,,1818876,61852,,,208000,,,,2595172,,,,1770002,3944,,,,,,,
1097896,0001448788-13-000090,10-K,2013-05-14,2013-05-15,2012,FY,2012-12-31,quarterly,BIGG,"BIG TREE GROUP, INC.",8650814,2605764,10592,,10592,,,22167,1327342,,,,,14567724,917161,54501,,-32030,-93988,,,,,-30294,,862660,20067,,,,,,,2595172,,,,74568,3944,,,,,,,
1097896,0001448788-13-000120,10-Q,2013-05-21,2013-05-22,2013,Q1,2013-03-31,quarterly,BIGG,"BIG TREE GROUP, INC.",8134502,167644,9877,,9877,,,7205,1008616,,,,,7447701,694650,148056,,,65381,,,10345179,,-63733,,546594,19760,1716616,,94501,,,,157767,,,,167816,3944,,,,,,,
1097896,0001448788-13-000123,10-Q/A,2013-06-14,2013-06-15,2012,Q1,2012-03-31,quarterly,BIGG,"BIG TREE GROUP, INC.",5311968,1312439,12876,,12876,,,176260,522661,,,,,4752085,521022,214065,,,228388,,,96078960,134,,,306957,9480,-647734,,,,,,1299563,,,,223545,3944,,,,,,,
1097896,0001448788-13-000126,10-Q/A,2013-06-14,2013-06-15,2012,Q2,2012-06-30,quarterly,BIGG,"BIG TREE GROUP, INC.",7814541,1831324,12115,,12115,,,653988,1414189,,,,,5960742,806047,501336,,,518490,,,96078960,,-345,,304711,13542,623563,,,,,,1819209,,,,514878,3944,,,,,,,
1097896,0001448788-13-000128,10-Q/A,2013-06-14,2013-06-15,2012,Q3,2012-09-30,quarterly,BIGG,"BIG TREE GROUP, INC.",8053471,2769581,11329,,11329,,,33915,587175,,,,,8608084,1282796,938249,,-1075,942150,,,96078960,,-172,,344547,18763,-651875,1310,,,,-650565,2758252,,,,957012,3944,,,,,,,
1097896,0001448788-13-000165,10-Q,2013-08-14,2013-08-15,2013,Q2,2013-06-30,quarterly,BIGG,"BIG TREE GROUP, INC.",13351392,1556322,9241,,9241,,,30974,1919869,,,,,11863274,889136,435802,,,333473,,,10350192,,-65743,,453334,19846,-1196011,,0,,,,1547081,,,,455648,3944,,,,,,,
1097896,0001213900-13-006760,10-Q,2013-11-20,2013-11-21,2013,Q3,2013-09-30,quarterly,FIL,"BIG TREE GROUP, INC.",12750012,2614812,8507,,8507,,,126069,2484452,,,,,16392299,1172794,702109,,,591794,,,10350192,,-66168,,470685,20023,105000,,0,,,,2606305,,,,722132,7372,10350192,2013-09-30,single,,,,
1097896,0001448788-14-000041,10-K,2014-05-14,2014-05-15,2013,FY,2013-12-31,annual,BIGG,"BIG TREE GROUP, INC.",11374845,698075,7751,,,,,220585,134699,,,,,39727002,4213311,1602859,,-338352,510074,,225361,11153187,,-501762,,2610452,79566,802494,,94501,,,,690324,,,,1682425,3944,,,,,,,
