cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization
1722964,0001558370-18-009242,10-Q,2018-11-13,2018-11-14,2018,Q3,2018-09-30,quarterly,YMAB,"Y-MABS THERAPEUTICS, INC.",166394000,155028000,,,,,,163292000,,,,,,,,-11415000,,,-11426000,8731000,,27330579,,,,11415000,,,,,,,,155028000,,,,,2834,,,,,,,
1722964,0001558370-19-002375,10-K,2019-03-22,2019-03-23,2018,FY,2018-12-31,annual,YMAB,"Y-MABS THERAPEUTICS, INC.",151924000,140527000,,,,,,147840000,,,,,,,,-43230000,,,-43274000,34269000,,28772384,,,,43230000,29000,-41229000,-234000,1966000,,,-41463000,140527000,,,,-43201000,2834,,,,,,,
1722964,0001558370-19-002375,10-K,2019-03-22,2019-03-23,2018,FY,2018-12-31,quarterly,YMAB,"Y-MABS THERAPEUTICS, INC.",151924000,140527000,,,,,,147840000,,,,,,,,-14078000,,,-14060000,11041000,,,,,,14078000,14000,-13577000,-57000,495000,,,-13634000,140527000,,,,-14064000,2834,,,,,,,
1722964,0001544784-19-000003,10-Q,2019-05-10,2019-05-11,2019,Q1,2019-03-31,quarterly,YMAB,"Y-MABS THERAPEUTICS, INC.",139997000,125513000,,,,,,134245000,,2650000,,,,,,-16253000,,,-15934000,12511000,,34193666,,,,16253000,19000,-13483000,-126000,864000,,,-13609000,125513000,,,,-16234000,2834,34193666,2019-03-31,single,,,,
1722964,0001558370-19-008167,10-Q,2019-08-14,2019-08-15,2019,Q2,2019-06-30,quarterly,YMAB,"Y-MABS THERAPEUTICS, INC.",126040000,108382000,,,,,,120163000,,2482000,,,,,,-18634000,,,-18036000,14494000,,34193666,,,,18634000,20000,-14040000,-75000,971000,,,-14115000,108382000,,,,-18614000,2834,34193666,2019-06-30,single,,,,
1722964,0001558370-19-010935,10-Q,2019-11-13,2019-11-14,2019,Q3,2019-09-30,quarterly,YMAB,"Y-MABS THERAPEUTICS, INC.",103684000,85939000,,,,,,98192000,,2337000,,,,,,-24359000,,,-23922000,19660000,,34371927,,,,24359000,48000,-21395000,-617000,1345000,,,-22012000,85939000,,,,-24311000,2834,,,,,,,
1722964,0001558370-20-002551,10-K,2020-03-12,2020-03-13,2019,FY,2019-12-31,annual,YMAB,"Y-MABS THERAPEUTICS, INC.",216366000,198903000,,,,,,207136000,,2230000,,,,,,-83004000,,,-81028000,63492000,,35183488,,,,83004000,166000,-73497000,-1965000,4657000,,,-75462000,198903000,,,,-82838000,2834,,,,,,,
1722964,0001558370-20-002551,10-K,2020-03-12,2020-03-13,2019,FY,2019-12-31,quarterly,YMAB,"Y-MABS THERAPEUTICS, INC.",216366000,198903000,,,,,,207136000,,2230000,,,,,,-23758000,,,-23136000,16827000,,,,,,23758000,79000,-24579000,-1147000,1477000,,,-25726000,198903000,,,,-23679000,2834,,,,,,,
1722964,0001558370-20-005750,10-Q,2020-05-07,2020-05-08,2020,Q1,2020-03-31,quarterly,YMAB,"Y-MABS THERAPEUTICS, INC.",194074000,175330000,,,,,,185774000,,2091000,,,,,,-26747000,,,-26179000,18622000,,39753583,,,,26747000,86000,-21756000,-26000,2211000,,,-21782000,175330000,,,,-26661000,2834,,,,,,,
1722964,0001558370-20-009646,10-Q,2020-08-06,2020-08-07,2020,Q2,2020-06-30,quarterly,YMAB,"Y-MABS THERAPEUTICS, INC.",167329000,146008000,,,,,,158059000,,1968000,,,,,,-40452000,,,-40393000,30059000,,39972174,,,,40452000,100000,-27635000,-2000,2454000,,,-27637000,146008000,,,,-40352000,2834,,,,,,,
