cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization,ticker_source,ticker_asof
1669400,0001640334-16-001220,10-Q,2016-06-16,2016-06-17,2016,Q1,2016-04-30,quarterly,,ARMEAU BRANDS INC.,7437,-60882,,,,,,7437,,,,,,,,,,,-13201,,,7500000,,,,13201,,-7578,,,,,,-60882,,,,,5180,7500000,2016-04-30,single,,,,,,
1669400,0001640334-16-002179,10-Q,2016-12-06,2016-12-07,2016,Q3,2016-10-31,quarterly,,ARMEAU BRANDS INC.,15228,-47697,,,,,,15228,,,,,,,,,,,-17889,,,9365217,,,,17889,,,,,,,,-47697,,,,,5180,9450000,2016-10-31,single,,,,,,
1669400,0001640334-17-000790,10-K,2017-04-25,2017-04-26,2016,FY,2017-01-31,annual,,ARMEAU BRANDS INC.,12634,-52395,,,,,,12634,,,,,,,,,,,-43714,,,8459016,,,,43714,,-41381,,,,,,-52395,,,,,5180,9450000,2017-01-31,single,,,,,,
1669400,0001640334-17-000790,10-K,2017-04-25,2017-04-26,2016,FY,2017-01-31,quarterly,,ARMEAU BRANDS INC.,12634,-52395,,,,,,12634,,,,,,,,,,,-4698,,,,,,,4698,,-2594,,,,,,-52395,,,,,5180,9450000,2017-01-31,single,,,,,,
1669400,0001615774-17-003078,10-Q,2017-06-09,2017-06-10,2017,Q1,2017-04-30,quarterly,ARUU,ARMEAU BRANDS INC.,3749,-65993,,,,,,3749,,,,,,,,,,,-13598,,,9450000,,,,13598,,-8885,,,,,,-65993,,,,,5180,9450000,2017-04-30,single,,,,,instance,2017-06-09
1669400,0001615774-17-005288,10-Q,2017-09-22,2017-09-23,2017,Q2,2017-07-31,quarterly,ARUU,ARMEAU BRANDS INC.,738,639,,,,,,738,,,,,,,,,,,-13955,,,9450000,,,,13955,,-3011,,,,,,639,,,,,5180,9450000,2017-07-31,single,,,,,instance,2017-09-22
1669400,0001615774-17-007271,10-Q,2017-12-11,2017-12-12,2017,Q3,2017-09-30,quarterly,SSWH,"SANSAL WELLNESS HOLDINGS, INC.",6147924,4080210,,,,255283,395416,95255,1587271,,,,,255444,138718,-140725,-413367,,-413367,,,58567253,,,,279443,,-1315726,,198476,,,,4080210,650699,4730909,,,5180,60540000,2017-09-30,single,,,,,instance,2017-12-11
1669400,0001615774-18-002828,10-K,2018-04-23,2018-04-24,2017,FY,2017-12-31,annual,SSWH,"SANSAL WELLNESS HOLDINGS, INC.",5210740,3108287,,,,99966,551191,27803,1428758,,,,,1114674,191414,-1332894,-2454008,,-2454008,,,58677212,,,,1524308,,-1872823,-447066,194196,-41428,,-2319889,3108287,651157,3759444,,,5180,59895000,2017-12-31,single,,,232720,,instance,2018-04-23
1669400,0001615774-18-002828,10-K,2018-04-23,2018-04-24,2017,FY,2017-12-31,quarterly,SSWH,"SANSAL WELLNESS HOLDINGS, INC.",5210740,3108287,,,,99966,551191,27803,1428758,,,,,358925,-197007,-650678,-1480289,,-1480289,,,,,,,453671,,-545201,-73179,-4280,,,-618380,3108287,651157,3759444,,,5180,59895000,2017-12-31,single,,,83887,,instance,2018-04-23
1669400,0001615774-18-004213,10-Q,2018-05-22,2018-05-23,2018,Q1,2018-03-31,quarterly,SSWH,"SANSAL WELLNESS HOLDINGS, INC.",5170412,2908106,,,,99901,548078,,1485234,,,,,331416,133413,-367532,-353295,,-353295,,,60060978,,,,500945,,-135934,,71014,,,,2908106,647979,3556085,,,5180,60169000,2018-03-31,single,,,63262,,instance,2018-05-22
