cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization,ticker_source,ticker_asof
1230634,0001230634-11-000015,10-Q,2011-08-15,2011-08-16,2011,Q2,2011-06-30,quarterly,VFIII,VESTIN FUND III LLC,3809000,,,,,,,232000,,,,,,6000,,-18000,,,-67000,,1000,,,,,24000,,,,,,,,,,,,,6531,,,,,,,,instance,2011-08-15
1230634,0001230634-12-000002,10-K,2012-03-16,2012-03-17,2011,FY,2011-12-31,annual,VFIII,VESTIN FUND III LLC,3275000,,,,,,,101000,,,,,,25000,,-404000,,,-675000,,4000,,,,219000,429000,,8000,,,,,,,,,,,6531,,,,,,,,instance,2012-03-16
1230634,0001230634-12-000002,10-K,2012-03-16,2012-03-17,2011,FY,2011-12-31,quarterly,VFIII,VESTIN FUND III LLC,3275000,,,,,,,101000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6531,,,,,,,,instance,2012-03-16
1230634,0001230634-12-000004,10-Q,2012-05-15,2012-05-16,2012,Q1,2012-03-31,quarterly,VFIII,VESTIN FUND III LLC,3187000,,,,,,,45000,,,,,,19000,,-100000,,,-114000,,,,,,46000,119000,,-56000,,,,,,,,,,,6531,,,,,,,,instance,2012-05-15
1230634,0001230634-12-000013,10-Q/A,2012-09-13,2012-09-14,2012,Q2,2012-06-30,quarterly,VFIII,VESTIN FUND III LLC,2837000,,,,,,,334000,,,,,,19000,,-33000,,,79000,,,,,,0,52000,,-80000,,,,,,,,,,,6531,,,,,,,,instance,2012-09-13
1230634,0001230634-12-000014,10-Q,2012-11-14,2012-11-15,2012,Q3,2012-09-30,quarterly,VFIII,VESTIN FUND III LLC,2845000,,,,,,,365000,,,,,,4000,,-40000,,,19000,,,,,,0,44000,,-12000,,,,,,,,,,,6531,,,,,,,,instance,2012-11-14
1230634,0001230634-13-000008,10-K/A,2013-03-29,2013-03-30,2012,FY,2012-12-31,annual,VFIII,VESTIN FUND III LLC,2687000,,,,,,,354000,,,,,,45000,,-213000,,,-282000,,,,,,46000,258000,,-159000,,,,,,,,,,,6531,,,,,,,,instance,2013-03-29
1230634,0001230634-13-000008,10-K/A,2013-03-29,2013-03-30,2012,FY,2012-12-31,quarterly,VFIII,VESTIN FUND III LLC,2687000,,,,,,,354000,,,,,,2000,,-40000,,,-266000,,,,,,0,42000,,-11000,,,,,,,,,,,6531,,,,,,,,instance,2013-03-29
1230634,0001230634-13-000012,10-Q,2013-05-15,2013-05-16,2013,Q1,2013-03-31,quarterly,VFIII,VESTIN FUND III LLC,2595000,,,,,,,231000,,,,,,2000,,-21000,,,-2000,,,,,,,23000,,-125000,,,,,,,,,,,6531,,,,,,,,instance,2013-05-15
1230634,0001230634-13-000016,10-Q,2013-08-19,2013-08-20,2013,Q2,2013-06-30,quarterly,VFIII,VESTIN FUND III LLC,2543000,,,,,,,316000,,,,,,0,,-57000,,,-44000,,,,,,,57000,,-67000,,,,,,,,,,,6531,,,,,,,,instance,2013-08-19
1230634,0001230634-13-000018,10-Q,2013-11-14,2013-11-15,2013,Q3,2013-09-30,quarterly,VFIII,VESTIN FUND III LLC,2964000,,,,,,,288000,,,,,,431000,,404000,,,,,,,,,,27000,,-31000,,,,,,,,,,,6531,,,,,,,,instance,2013-11-14
1230634,0001230634-14-000004,10-K,2014-03-31,2014-04-01,2013,FY,2013-12-31,annual,VFIII,VESTIN FUND III LLC,3147000,,,,,,,409000,,,,,,553000,,413000,,,564000,,,,,,,140000,,-209000,,,,,,,,,,,6531,,,,,,,,instance,2014-03-31
1230634,0001230634-14-000004,10-K,2014-03-31,2014-04-01,2013,FY,2013-12-31,quarterly,VFIII,VESTIN FUND III LLC,3147000,,,,,,,409000,,,,,,120000,,88000,,,,,,,,,,32000,,14000,,,,,,,,,,,6531,,,,,,,,instance,2014-03-31
1230634,0001230634-14-000006,10-Q,2014-05-14,2014-05-15,2014,Q1,2014-03-31,quarterly,VFIII,VESTIN FUND III LLC,2854000,,,,,,,162000,,,,,,,,-32000,,,,,,2024424,,,,32000,,50000,,,,,,,,,,,6531,,,,,,,,instance,2014-05-14
1230634,0001230634-14-000010,10-Q,2014-08-13,2014-08-14,2014,Q2,2014-06-30,quarterly,VFIII,VESTIN FUND III LLC,2538000,1598000,,,,,,160000,,,,,318000,,,-23000,,,-8000,,,2024424,,,,23000,,31000,,,,,,1598000,,,,,6531,,,,,,,,instance,2014-08-13
1230634,0001230634-14-000014,10-Q,2014-11-13,2014-11-14,2014,Q3,2014-09-30,quarterly,VFIII,VESTIN FUND III LLC,1738000,1048000,,,,,,480000,,,,,308000,10000,,-17000,,,534000,,,2024424,,,,27000,,116000,,,,,,1048000,,,,,6531,,,,,,,,instance,2014-11-13
1230634,0001230634-15-000003,10-K,2015-03-31,2015-04-01,2014,FY,2014-12-31,annual,VFIII,VESTIN FUND III LLC,1754000,1064000,,,,,,485000,,,,,308000,13000,,-109000,,,558000,,,,,,,122000,,140000,,,,,,1064000,,,,,6531,,,,,,,,instance,2015-03-31
1230634,0001230634-15-000003,10-K,2015-03-31,2015-04-01,2014,FY,2014-12-31,quarterly,VFIII,VESTIN FUND III LLC,1754000,1064000,,,,,,485000,,,,,308000,3000,,-37000,,,16000,,,,,,,40000,,-57000,,,,,,1064000,,,,,6531,,,,,,,,instance,2015-03-31
1230634,0001230634-15-000005,10-Q,2015-05-12,2015-05-13,2015,Q1,2015-03-31,quarterly,VFIII,VESTIN FUND III LLC,1993000,,,,,,,724000,,,,,,4000,,-25000,,,41000,,,,,,,29000,,29000,,,,,,,,,,,6531,,,,,,,,instance,2015-05-12
1230634,0001327603-15-000013,10-Q,2015-08-14,2015-08-15,2015,Q2,2015-06-30,quarterly,VFIII,VESTIN FUND III LLC,1398000,,,,,,,382000,,,,,,3000,,-25000,,,59000,,,,,,,28000,,50000,,,,,,,,,,,6531,,,,,,,,instance,2015-08-14
1230634,0001328300-15-000014,10-Q,2015-11-16,2015-11-17,2015,Q3,2015-09-30,quarterly,VFIII,VESTIN FUND III LLC,1405000,,,,,,,476000,,,,,,0,,-29000,,,4000,,,,,,,29000,,-13000,,,,,,,,,,,6531,,,,,,,,instance,2015-11-16
1230634,0001327603-16-000030,10-K,2016-03-30,2016-03-31,2015,FY,2015-12-31,annual,VFIII,VESTIN FUND III LLC,1081000,490000,,,,,,198000,,,,,291000,14000,,-101000,,,151000,,,,,,,115000,,101000,,,,,,490000,,,,,6531,,,,,,,,carried,2015-11-16
1230634,0001327603-16-000030,10-K,2016-03-30,2016-03-31,2015,FY,2015-12-31,quarterly,VFIII,VESTIN FUND III LLC,1081000,490000,,,,,,198000,,,,,291000,7000,,-23000,,,47000,,,,,,,30000,,35000,,,,,,490000,,,,,6531,,,,,,,,carried,2015-11-16
1230634,0001327603-16-000034,10-Q,2016-05-16,2016-05-17,2016,Q1,2016-03-31,quarterly,VFIII,VESTIN FUND III LLC,1078000,,,,,,,438000,,,,,287000,4000,,-21000,,,,,,,,,,25000,,-13000,,,,,,,,,,,6531,,,,,,,,carried,2015-11-16
