cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization
1586454,0001193125-14-196291,10-Q,2014-05-13,2014-05-14,2014,Q1,2014-03-31,quarterly,PRIME,PRIME MERIDIAN HOLDING CO,214521000,19178000,,,,,,37664000,,,0,187472000,125191000,,,,387000,131000,256000,,172000,,1887000,1715000,29000,,95000,700000,-88000,,,,612000,19178000,,,559000,,6022,1691621,2014-03-31,single,,,,
1586454,0001193125-14-307955,10-Q,2014-08-13,2014-08-14,2014,Q2,2014-06-30,quarterly,PRIME,PRIME MERIDIAN HOLDING CO,206277000,20226000,,,,,,22990000,,,0,181840000,131537000,,,,-167000,-76000,-91000,,164000,,1940000,1776000,562000,,99000,-1054000,-27000,,,,-1081000,20226000,,,-3000,,6022,1785511,2014-06-30,single,,,,
1586454,0001193125-14-410794,10-Q,2014-11-13,2014-11-14,2014,Q3,2014-09-30,quarterly,PRIME,PRIME MERIDIAN HOLDING CO,204465000,20932000,,,,,,8047000,,,0,179273000,143736000,,,,455000,160000,295000,,161000,,2078000,1917000,206000,,103000,854000,-55000,1000,,,799000,20932000,,,616000,,6022,1821405,2014-09-30,single,,,,
1586454,0001193125-15-106251,10-K,2015-03-26,2015-03-27,2014,FY,2014-12-31,annual,PRIME,PRIME MERIDIAN HOLDING CO,210358000,22867000,,,,,,7555000,,,0,183971000,151869000,,,,1520000,514000,1006000,,661000,,8116000,7455000,747000,,400000,414000,-206000,2000,,,208000,22867000,,,2181000,,6022,1941617,2014-12-31,single,,,,
1586454,0001193125-15-106251,10-K,2015-03-26,2015-03-27,2014,FY,2014-12-31,quarterly,PRIME,PRIME MERIDIAN HOLDING CO,210358000,22867000,,,,,,7555000,,,0,183971000,151869000,,,,845000,299000,546000,,164000,,2211000,2047000,-50000,,103000,-86000,-36000,1000,,,-122000,22867000,,,1009000,,6022,1941617,2014-12-31,single,,,,
1586454,0001193125-15-183735,10-Q,2015-05-12,2015-05-13,2015,Q1,2015-03-31,quarterly,PRIME,PRIME MERIDIAN HOLDING CO,220467000,23556000,,,,,,17353000,,,0,192811000,153647000,,,,693000,244000,449000,,168000,,2182000,2014000,18000,,102000,2462000,-217000,,,,2245000,23556000,,,861000,,6022,1943534,2015-03-31,single,,,,
1586454,0001193125-15-287537,10-Q,2015-08-12,2015-08-13,2015,Q2,2015-06-30,quarterly,PRIME,PRIME MERIDIAN HOLDING CO,229290000,23709000,,,,,,7665000,,,0,199253000,171575000,,,,582000,206000,376000,,174000,,2284000,2110000,191000,,110000,-1073000,-59000,,,,-1132000,23709000,,,756000,,6022,1944691,2015-06-30,single,,,,
1586454,0001193125-15-375370,10-Q,2015-11-12,2015-11-13,2015,Q3,2015-09-30,quarterly,PMHG,PRIME MERIDIAN HOLDING CO,244736000,24331000,,,,,,17980000,,,0,214373000,177471000,,,,591000,213000,378000,,183000,,2358000,2175000,124000,,112000,387000,-548000,11000,,,-161000,24331000,,,774000,,6022,1945472,2015-09-30,single,,,,
1586454,0001193125-16-513324,10-K,2016-03-22,2016-03-23,2015,FY,2015-12-31,annual,PMHG,PRIME MERIDIAN HOLDING CO,244044000,24933000,,,,,,8429000,,,0,217573000,187076000,,,,2548000,844000,1704000,,717000,,9289000,8572000,433000,,446000,2060000,-1105000,15000,,,955000,24933000,,,3265000,,6022,1975329,2015-12-31,single,,,,
1586454,0001193125-16-513324,10-K,2016-03-22,2016-03-23,2015,FY,2015-12-31,quarterly,PMHG,PRIME MERIDIAN HOLDING CO,244044000,24933000,,,,,,8429000,,,0,217573000,187076000,,,,682000,181000,501000,,192000,,2465000,2273000,100000,,122000,284000,-281000,3000,,,3000,24933000,,,874000,,6022,1975329,2015-12-31,single,,,,
