cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization
754813,0001144204-11-046670,10-Q,2011-08-15,2011-08-16,2011,Q2,2011-06-30,quarterly,HEWA,"HEALTHWAREHOUSE.COM, INC.",2731553,124734,652065,,652065,,,111887,,,,,,2519721,1115529,-1001207,,,-1100094,,100522,,1635,,,,,,,,,,,-527331,,,,,5912,10604354,2011-06-30,single,,,,
754813,0001117768-12-000244,10-K,2012-06-22,2012-06-23,2011,FY,2011-12-31,annual,HEWA,"HEALTHWAREHOUSE.COM, INC.",2674140,-2856928,602541,,602541,,,40,553897,,,,,10363293,4517768,-4728663,,,-5712199,,1021112,,4166,,,,248398,-2799580,-452322,948923,,-3419715,-3251902,-3459469,,,,-4480265,5912,10104618,2011-12-31,single,,,,
754813,0001117768-12-000244,10-K,2012-06-22,2012-06-23,2011,FY,2011-12-31,quarterly,HEWA,"HEALTHWAREHOUSE.COM, INC.",2674140,-2856928,602541,,602541,,,40,553897,,,,,,,,,,,,,,,,,,,,,,,,,-3459469,,,,,5912,10104618,2011-12-31,single,,,,
754813,0001117768-12-000373,10-Q,2012-09-05,2012-09-06,2012,Q1,2012-03-31,quarterly,HEWA,"HEALTHWAREHOUSE.COM, INC.",2458614,-3937017,531557,,531557,,1556354,3,,,,,,3153607,1448960,-1235518,,,-1550312,,317342,,2548,,,,111851,-177395,,259409,,,,-4468574,1556354,-2380663,,-1123667,5912,10197476,2012-03-31,single,,,,
754813,0001117768-12-000556,10-Q,2012-12-31,2013-01-01,2012,Q2,2012-06-30,quarterly,HEWA,"HEALTHWAREHOUSE.COM, INC.",2245038,-5330991,496890,,496890,,1689448,179,,,,,,2997326,1481718,-1342640,,,-1602670,,261240,,,,,,67796,-404553,,290221,,,,-5827881,1689448,-3641543,,-1274844,5912,11710277,2012-06-30,single,,,,
754813,0001117768-13-000202,10-Q,2013-04-22,2013-04-23,2012,Q3,2012-09-30,quarterly,HEWA,"HEALTHWAREHOUSE.COM, INC.",1693019,-6836498,197776,,197776,,1822543,3308,,,,,,2634181,1244853,-1318873,,,-1606204,,288631,,,,,,71070,-249955,,268955,,,,-7034274,1822543,-5013955,,-1247803,5912,11765834,2012-09-30,single,,,,
754813,0001117768-13-000413,10-K/A,2013-08-19,2013-08-20,2012,FY,2012-12-31,annual,HEWA,"HEALTHWAREHOUSE.COM, INC.",2155752,-7793436,,,,,1955637,,,,,,,11081429,5167452,-4490369,,,-5574775,,1095881,,,,,9657821,353045,-947911,,556148,,,,-7793436,1955637,-5837799,,-4137324,5912,11851185,2012-12-31,single,,,,
754813,0001117768-13-000413,10-K/A,2013-08-19,2013-08-20,2012,FY,2012-12-31,quarterly,HEWA,"HEALTHWAREHOUSE.COM, INC.",2155752,-7793436,,,,,1955637,,,,,,,2296315,991921,-593338,,,-815589,,228668,,,,,,102328,-116008,,-262437,,,,-7793436,1955637,-5837799,,-491010,5912,11851185,2012-12-31,single,,,,
754813,0001117768-13-000519,10-Q,2013-10-22,2013-10-23,2013,Q1,2013-03-31,quarterly,HEWA,"HEALTHWAREHOUSE.COM, INC.",1838135,-3489190,,,,,40000,382353,,,,,,2409916,1174760,-1214343,,,-4078366,,71123,,,,,,35846,-457373,,330021,,,,-3489190,40000,-3449190,,-1178497,5912,22995944,2013-03-31,single,,,,
754813,0001117768-13-000520,10-Q,2013-10-22,2013-10-23,2013,Q2,2013-06-30,quarterly,HEWA,"HEALTHWAREHOUSE.COM, INC.",1448537,-3605319,,,,,40000,808,,,,,,2674761,1335641,-210805,,,-268987,,58182,,,,,,35847,-468160,,23386,,,,-3605319,40000,-3565319,,-174958,5912,25920907,2013-06-30,single,,,,
754813,0001117768-13-000630,10-Q,2013-11-27,2013-11-28,2013,Q3,2013-09-30,quarterly,HEWA,"HEALTHWAREHOUSE.COM, INC.",1520685,-4454651,,,,,301500,53980,,,,,,2399256,1202953,-963796,,,-1021129,,57333,,,,,,43181,44295,,122689,,,,-4454651,301500,-4153151,,-920615,5912,26529091,2013-09-30,single,,,,
754813,0001117768-14-000324,10-K,2014-04-15,2014-04-16,2013,FY,2013-12-31,annual,HEWA,"HEALTHWAREHOUSE.COM, INC.",1419812,-4365107,,,,,,67744,,,,,,10233112,5121375,-2433579,,,-5489892,,263413,,,,,7554954,158029,-1024781,,558286,,,,-4365107,,,,-2275550,5912,26529091,2013-12-31,single,,,,
754813,0001117768-14-000324,10-K,2014-04-15,2014-04-16,2013,FY,2013-12-31,quarterly,HEWA,"HEALTHWAREHOUSE.COM, INC.",1419812,-4365107,,,,,,67744,,,,,,2749179,1408021,-44635,,,-121410,,76775,,,,,,43155,-143543,,82190,,,,-4365107,,,,-1480,5912,26529091,2013-12-31,single,,,,
754813,0001117768-14-000444,10-Q,2014-05-16,2014-05-17,2014,Q1,2014-03-31,quarterly,HEWA,"HEALTHWAREHOUSE.COM, INC.",1122990,-4191549,,,,,487170,59800,,,,,,1716964,985556,-232105,,,-305641,,73536,,,,,,41621,-59918,,162763,,,,-4191549,487170,-3704379,,-190484,5912,26550380,2014-03-31,single,,,,
754813,0001117768-14-000678,10-Q,2014-08-19,2014-08-20,2014,Q2,2014-06-30,quarterly,HEWA,"HEALTHWAREHOUSE.COM, INC.",1025630,-4480224,,,,,586436,43783,,,,,,1462454,871560,-279425,,,-365042,,85617,,,,,,42266,-19258,,105500,,,,-4480224,586436,-3893788,,-237159,5912,26550380,2014-06-30,single,,,,
754813,0001117768-14-000862,10-Q,2014-11-14,2014-11-15,2014,Q3,2014-09-30,quarterly,HEWA,"HEALTHWAREHOUSE.COM, INC.",2195986,-3642306,,,,,646701,505058,,,,,,1474986,874146,-443629,,,-530257,,86628,,,,,,43324,-47925,,234145,,,,-3642306,646701,-2995605,,-400305,5912,35237050,2014-09-30,single,,,,
754813,0001117768-15-000196,10-K,2015-03-30,2015-03-31,2014,FY,2014-12-31,annual,HEWA,"HEALTHWAREHOUSE.COM, INC.",1660258,-3629481,,,,,791633,506019,,,,,,6129660,3637278,-1733449,,,-1783279,,331741,,,,,,172167,-875769,,830518,,,,-3629481,791633,-2837848,,-1561282,5912,37570383,2014-12-31,single,,,,
754813,0001117768-15-000196,10-K,2015-03-30,2015-03-31,2014,FY,2014-12-31,quarterly,HEWA,"HEALTHWAREHOUSE.COM, INC.",1660258,-3629481,,,,,791633,506019,,,,,,1475256,906016,-778290,,,-582339,,85960,,,,,,44956,-748668,,328110,,,,-3629481,791633,-2837848,,-733334,5912,37570383,2014-12-31,single,,,,
754813,0001117768-15-000364,10-Q,2015-05-11,2015-05-12,2015,Q1,2015-03-31,quarterly,HEWA,"HEALTHWAREHOUSE.COM, INC.",1390552,-3488864,,,,,804850,265848,,,,,,1612677,981514,-126036,,,-200788,,74752,,,,,,45661,-208308,,,,,,-3488864,804850,-2684014,,-80375,5912,37570383,2015-03-31,single,,,,
754813,0001117768-15-000606,10-Q,2015-08-10,2015-08-11,2015,Q2,2015-06-30,quarterly,HEWA,"HEALTHWAREHOUSE.COM, INC.",1263094,-3528942,,,,,830100,223239,,,,,,1870840,1252449,-34476,,,-79681,,45205,,,,,,46313,-79735,,,,,,-3528942,830100,-2698842,,11837,5912,37570383,2015-06-30,single,,,,
754813,0001117768-15-000794,10-Q,2015-11-13,2015-11-14,2015,Q3,2015-09-30,quarterly,HEWA,"HEALTHWAREHOUSE.COM, INC.",1069239,-3711962,,,,,848467,25242,,,,,,1689457,1085304,-126097,,,-162604,,36507,,,,,,46183,-119782,,,,,,-3711962,848467,-2863495,,-79914,5912,37570383,2015-09-30,single,,,,
754813,0001117768-16-001010,10-K,2016-03-25,2016-03-26,2015,FY,2015-12-31,annual,HEWA,"HEALTHWAREHOUSE.COM, INC.",966107,-3883190,,,,,991089,11217,,,,,,7018137,4471745,-529909,,,-626682,,208147,,,,,,184320,-548281,,320366,,,,-3883190,991089,-2892101,,-345589,5912,37665162,2015-12-31,single,,,,
754813,0001117768-16-001010,10-K,2016-03-25,2016-03-26,2015,FY,2015-12-31,quarterly,HEWA,"HEALTHWAREHOUSE.COM, INC.",966107,-3883190,,,,,991089,11217,,,,,,1845163,1152478,-243300,,,-183609,,51683,,,,,,46163,-140456,,,,,,-3883190,991089,-2892101,,-197137,5912,37665162,2015-12-31,single,,,,
754813,0001117768-16-001146,10-Q,2016-05-12,2016-05-13,2016,Q1,2016-03-31,quarterly,HEWA,"HEALTHWAREHOUSE.COM, INC.",979841,-3811914,,,,,1087944,24866,,,,,,2347798,1455978,-227738,,,-253657,,25919,,,,,,45509,-100637,,,,,,-3811914,1087944,-2723970,,-182229,5912,37665162,2016-03-31,single,,,,
754813,0001117768-16-001348,10-Q,2016-08-08,2016-08-09,2016,Q2,2016-06-30,quarterly,HEWA,"HEALTHWAREHOUSE.COM, INC.",919135,-3939631,,,,,1093111,2199,,,,,,2403974,1545138,-54377,,,-79461,,27529,,,,,,42868,36565,,,,,,-3939631,1093111,-2846520,,-11509,5912,37693404,2016-06-30,single,,,,
754813,0001117768-16-001529,10-Q,2016-11-08,2016-11-09,2016,Q3,2016-09-30,quarterly,HEWA,"HEALTHWAREHOUSE.COM, INC.",918566,-4238484,,,,,1298278,3950,,,,,,2716982,1788640,-939600,,,-978141,,38541,,,,,,36771,-163539,,,,,,-4238484,1298278,-2940206,,-902829,5912,42582613,2016-09-30,single,,,,
754813,0001117768-17-000232,10-K,2017-03-21,2017-03-22,2016,FY,2016-12-31,annual,HEWA,"HEALTHWAREHOUSE.COM, INC.",975165,-4270644,,,,,1300000,3828,209415,,,,,10384893,6737460,-1289176,,,-1408203,,119027,,,,,,149553,-116830,,327202,,,,-4270644,1300000,-2970644,,-1139623,5912,42582613,2016-12-31,single,,,,
