cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda
1070524,0001070524-11-000033,10-Q,2011-11-14,2011-11-15,2012,Q1,2011-09-30,quarterly,GCBC,GREENE COUNTY BANCORP INC,556385000,49509000,,,,,,,,,0,491994000,306970000,,,,2281000,772000,,,1006000,4190151,6205000,5199000,,,,1803000,-43000,19000,-322000,,1760000,49509000,,,3287000,
1070524,0001070524-12-000009,10-Q,2012-02-14,2012-02-15,2012,Q2,2011-12-31,quarterly,GCBC,GREENE COUNTY BANCORP INC,559583000,50621000,,,,,,,,,0,493969000,311834000,,,,2241000,746000,,,935000,4190211,6158000,5223000,,,,2415000,-10000,0,-323000,,2405000,50621000,,,3176000,
1070524,0001070524-12-000015,10-Q,2012-05-14,2012-05-15,2012,Q3,2012-03-31,quarterly,GCBC,GREENE COUNTY BANCORP INC,578680000,51768000,,,,,,,,,0,514597000,312122000,,,,2077000,594000,,,837000,4197430,5999000,5162000,,,,2603000,-200000,0,-325000,,2403000,51768000,,,2914000,
1070524,0001070524-12-000027,10-K,2012-09-28,2012-09-29,2012,FY,2012-06-30,annual,GCBC,GREENE COUNTY BANCORP INC,590656000,52664000,,,,,,,,,0,511937000,326751000,,,,8510000,2680000,,,3583000,4197060,24341000,20758000,,,,10349000,-327000,19000,-1297000,,10022000,52664000,,,12093000,
1070524,0001070524-12-000027,10-K,2012-09-28,2012-09-29,2012,FY,2012-06-30,quarterly,GCBC,GREENE COUNTY BANCORP INC,590656000,52664000,,,,,,,,,0,511937000,326751000,,,,1911000,568000,,,805000,,5979000,5174000,,,,3528000,-74000,0,-327000,,3454000,52664000,,,2716000,
1070524,0001070524-12-000039,10-Q,2012-11-09,2012-11-10,2013,Q1,2012-09-30,quarterly,GCBC,GREENE COUNTY BANCORP INC,600932000,53869000,,,,,,,,,0,536143000,336012000,,,,2554000,790000,,,739000,4221451,6131000,5392000,,,,1735000,-45000,,-732000,,1690000,53869000,,,3293000,
1070524,0001070524-13-000008,10-Q,2013-02-14,2013-02-15,2013,Q2,2012-12-31,quarterly,GCBC,GREENE COUNTY BANCORP INC,624548000,54627000,,,,,,,,,0,545690000,347547000,,,,2379000,710000,,,737000,4225746,6107000,5370000,,,,3721000,-42000,,-737000,,3679000,54627000,,,3116000,
1070524,0001070524-13-000018,10-Q,2013-05-10,2013-05-11,2013,Q3,2013-03-31,quarterly,GCBC,GREENE COUNTY BANCORP INC,650177000,55835000,,,,,,,,,,586718000,350095000,,,,2168000,631000,1537000,,681000,4227166,5985000,5304000,331000,,,276000,-78000,,-329000,,198000,55835000,,,2849000,
1070524,0001070524-13-000027,10-K,2013-09-30,2013-10-01,2013,FY,2013-06-30,annual,GCBC,GREENE COUNTY BANCORP INC,633605000,56108000,,,,,,,,,,558439000,359426000,,,,9043000,2672000,6371000,,2817000,4223499,24060000,21243000,1746000,,,10335000,-187000,,-2128000,,10148000,56108000,,,11860000,
1070524,0001070524-13-000027,10-K,2013-09-30,2013-10-01,2013,FY,2013-06-30,quarterly,GCBC,GREENE COUNTY BANCORP INC,633605000,56108000,,,,,,,,,,558439000,359426000,,,,1942000,541000,1401000,,660000,,5837000,5177000,430000,,,4603000,-22000,,-330000,,4581000,56108000,,,2602000,
1070524,0001140361-13-041208,10-Q,2013-11-08,2013-11-09,2014,Q1,2013-09-30,quarterly,GCBC,GREENE COUNTY BANCORP INC,650466000,57012000,,,,,,,,,0,580482000,374138000,,,,2473000,719000,1754000,,578000,4234845,5826000,5248000,313000,,,2967000,-70000,,-332000,,2897000,57012000,,,3051000,
1070524,0001140361-14-007334,10-Q,2014-02-14,2014-02-15,2014,Q2,2013-12-31,quarterly,GCBC,GREENE COUNTY BANCORP INC,652694000,58408000,,,,,,,,,0,549435000,387083000,,,,2426000,701000,1725000,,582000,4240216,5951000,5369000,508000,,,3696000,-276000,,-336000,,3420000,58408000,,,3008000,
1070524,0001140361-14-020630,10-Q,2014-05-14,2014-05-15,2014,Q3,2014-03-31,quarterly,GCBC,GREENE COUNTY BANCORP INC,700473000,59796000,,,,,,,,,0,621238000,392480000,,,,2039000,543000,1496000,,600000,4243398,5954000,5354000,288000,,,499000,-37000,,-333000,,462000,59796000,,,2639000,
1070524,0001140361-14-036535,10-K,2014-09-26,2014-09-27,2014,FY,2014-06-30,annual,GCBC,GREENE COUNTY BANCORP INC,674161000,61200000,,,,,,,,,0,589574000,399309000,,,,9065000,2537000,6528000,,2387000,4241256,23788000,21401000,1500000,,,11385000,-575000,,-1335000,,10810000,61200000,,,11452000,
1070524,0001140361-14-036535,10-K,2014-09-26,2014-09-27,2014,FY,2014-06-30,quarterly,GCBC,GREENE COUNTY BANCORP INC,674161000,61200000,,,,,,,,,0,589574000,399309000,,,,2127000,574000,1553000,,627000,,6057000,5430000,391000,,,4223000,-192000,,-334000,,4031000,61200000,,,2754000,
1070524,0001140361-14-041716,10-Q,2014-11-14,2014-11-15,2015,Q1,2014-09-30,quarterly,GCBC,GREENE COUNTY BANCORP INC,699036000,62799000,,,,,,,,,0,611308000,406694000,,,,2460000,685000,1775000,,562000,4245325,6241000,5679000,411000,,,2167000,-180000,,-344000,,1987000,62799000,,,3022000,
1070524,0001140361-15-006124,10-Q,2015-02-13,2015-02-14,2015,Q2,2014-12-31,quarterly,GCBC,GREENE COUNTY BANCORP INC,712422000,64464000,,,,,,,,,0,583181000,422716000,,,,2483000,672000,1811000,,563000,4248175,6407000,5844000,305000,,,3216000,-128000,,-349000,,3088000,64464000,,,3046000,
