cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda
1527728,0001144204-11-067012,10-Q,2011-11-25,2011-11-26,2012,Q2,2011-09-30,quarterly,,PUTNAM HILLS CORP.,20892,2082,,,,,,12492,,,,,,,,-14153,-14153,,-14153,,,,,,,,,,,,,,,2082,,,,
1527728,0001144204-12-010190,10-Q,2012-02-21,2012-02-22,2011,Q3,2011-12-31,quarterly,,PUTNAM HILLS CORP.,13342,-9269,,,,,,123,,,,,,,,-11351,-11351,,-11351,,,,,,,,,,,,,,,-9269,,,,
1527728,0001213900-12-003853,10-K,2012-07-17,2012-07-18,2011,FY,2012-03-31,annual,,PUTNAM HILLS CORP.,13555,-13680,,,,,,336,,,0,,,0,,,-29945,0,-29945,,,,,,,,,-24945,,,,,,-13680,,,,
1527728,0001213900-12-003853,10-K,2012-07-17,2012-07-18,2011,FY,2012-03-31,quarterly,,PUTNAM HILLS CORP.,13555,-13680,,,,,,336,,,0,,,,,,-4411,,-4411,,,,,,,,,-4787,,,,,,-13680,,,,
1527728,0001213900-12-004781,10-Q,2012-08-20,2012-08-21,2012,Q1,2012-06-30,quarterly,PMHS,PUTNAM HILLS CORP.,13555,-24680,,,,,,336,,,,,,,,,-11000,,-11000,,,,,,,,,-11000,,,,,,-24680,,,,
1527728,0001213900-12-006142,10-Q,2012-11-14,2012-11-15,2012,Q2,2012-09-30,quarterly,PMHS,PUTNAM HILLS CORP.,15515,-31745,,,,,,2296,,,,,,,,,-7065,,-7065,,25,,,,,,,-7040,,,,,,-31745,,,-7040,
1527728,0001213900-13-000693,10-Q,2013-02-14,2013-02-15,2012,Q3,2012-12-31,quarterly,PMHS,PUTNAM HILLS CORP.,13377,-41564,,,,,,158,,,,,,,,,-9819,,-9819,,181,,,,,,,-9638,,,,,,-41564,,,-9638,
1527728,0001213900-13-003650,10-K,2013-07-16,2013-07-17,2012,FY,2013-03-31,annual,PMHS,PUTNAM HILLS CORP.,19963,-51269,,,,,,6744,,,,,,,,,-37589,,-37589,,497,,,,,,,-30092,,,,,,-51269,,,-37092,
1527728,0001213900-13-003650,10-K,2013-07-16,2013-07-17,2012,FY,2013-03-31,quarterly,PMHS,PUTNAM HILLS CORP.,19963,-51269,,,,,,6744,,,,,,,,,-9705,,-9705,,291,,,,,,,-2414,,,,,,-51269,,,-9414,
1527728,0001213900-13-004405,10-Q,2013-08-15,2013-08-16,2013,Q1,2013-06-30,quarterly,PMHS,PUTNAM HILLS CORP.,13438,-54181,,,,,,219,,,,,,,,,-2912,,-2912,,387,,,,,,,-7025,,,,,,-54181,,,-2525,
1527728,0001213900-13-006603,10-Q,2013-11-15,2013-11-16,2013,Q2,2013-09-30,quarterly,PMHS,PUTNAM HILLS CORP.,13219,-70587,,,,,,,,,,,,,,,-16396,,-16396,,445,,,,,,,-9701,,,,,,-70587,,,-15951,
1527728,0001213900-14-000766,10-Q,2014-02-11,2014-02-12,2013,Q3,2013-12-31,quarterly,PMHS,PUTNAM HILLS CORP.,22,-79232,,,,,,22,,,,,,,,,-8645,,-8645,,548,,,,,,,-16847,,,,,,-79232,,,-8097,
1527728,0001213900-14-003243,10-Q,2014-05-14,2014-05-15,2014,Q1,2014-03-31,quarterly,PMHS,"DANDRIT BIOTECH USA, INC.",911466,-2347609,233766,,233766,,,54472,,,,,,,-17739,-412106,-426054,,-426054,,13999,,,,,394367,6794,-437746,41498,,,,-396248,-2581375,,,-412055,-405312
1527728,0001213900-14-005860,10-Q,2014-08-14,2014-08-15,2014,Q2,2014-06-30,quarterly,PMHS,"DANDRIT BIOTECH USA, INC.",718283,-2630830,220498,,220498,,,181024,,,,,,,-64266,-568102,-602449,-132997,-469452,,34762,,,,,503836,2962,-204230,,,,,,-2851328,,,-567687,-565140
1527728,0001213900-14-008037,10-Q,2014-11-13,2014-11-14,2014,Q3,2014-09-30,quarterly,PMHS,"DANDRIT BIOTECH USA, INC.",2551972,-2381313,199153,,199153,,,597744,,,,,,,-143495,-513740,-533135,2108,-535243,,19732,,,,,370245,4726,-460992,,,,,,-2580466,,,-513403,-509014
1527728,0001213900-15-002253,10-K,2015-03-31,2015-04-01,2014,FY,2014-12-31,annual,PMHS,"DANDRIT BIOTECH USA, INC.",5239909,3482245,186414,,186414,,,3008831,,,,,,,-295661,-2429226,-2548422,-177539,-2370883,,84550,,,,,2133565,18981,-2034175,,,,,,3295831,,,-2463872,-2410245
1527728,0001213900-15-002253,10-K,2015-03-31,2015-04-01,2014,FY,2014-12-31,quarterly,PMHS,"DANDRIT BIOTECH USA, INC.",5239909,3482245,186414,,186414,,,3008831,,,,,,,-70161,-935278,-999781,-46650,-953131,,29054,,,,,865117,4499,-931207,,,,,,3295831,,,-970727,-930779
1527728,0001213900-15-003597,10-Q,2015-05-13,2015-05-14,2015,Q1,2015-03-31,quarterly,PMHS,"DANDRIT BIOTECH USA, INC.",3643443,2671475,161062,,161062,,,3434935,,,,,,,-44622,-865484,-1253345,,-1253345,151813,1540,,,,,820862,4055,-2043787,,,,,,2510413,,,-1251805,-861429
1527728,0001213900-15-007370,10-KT,2015-09-30,2015-10-01,2015,FY,2015-06-30,annual,DDRT,"DANDRIT BIOTECH USA, INC.",2072877,1077140,164046,,164046,,,421145,,,,,,,,,,,,,,,,,,,,,,,,,,913094,,,,
1527728,0001213900-15-007370,10-KT,2015-09-30,2015-10-01,2015,FY,2015-06-30,quarterly,DDRT,"DANDRIT BIOTECH USA, INC.",2072877,1077140,164046,,164046,,,421145,,,,,,,,,,,,,,,,,,,,,,,,,,913094,,,,
1527728,0001213900-15-008587,10-Q,2015-11-13,2015-11-14,2016,Q1,2015-09-30,quarterly,DDRT,"DANDRIT BIOTECH USA, INC.",1731045,717022,160294,,160294,,,1048120,,,,,,,,-341395,-374215,-23913,-350302,101759,,,,,,341395,3937,-416036,,,,,,556728,,,,-337458
1527728,0001213900-16-010810,10-Q,2016-02-12,2016-02-13,2016,Q2,2015-12-31,quarterly,DDRT,"DANDRIT BIOTECH USA, INC.",1335686,441772,140415,,140415,,,531260,,,,,,42525,37281,-594940,-761879,-340103,-421776,277648,,,,,,632221,15991,-666835,,,,,,301357,,,,-578949
1527728,0001213900-16-013290,10-Q,2016-05-13,2016-05-14,2016,Q3,2016-03-31,quarterly,DDRT,"DANDRIT BIOTECH USA, INC.",980515,-63391,142757,,142757,,,151222,,,,,,0,0,-513604,-241371,-33808,-207563,235927,,,,,,513604,3642,-79151,,,,,,-206148,,,,-509962
1527728,0001213900-16-017105,10-K,2016-09-28,2016-09-29,2016,FY,2016-06-30,annual,DDRT,"DANDRIT BIOTECH USA, INC.",870831,-637398,135743,,135743,,,23368,,,,,,,37494,-2120930,-2198026,-462787,-1735239,804188,2364,,,,,2158424,27395,-1472289,,,,,,-773141,,,-2195662,-2093535
1527728,0001213900-16-017105,10-K,2016-09-28,2016-09-29,2016,FY,2016-06-30,quarterly,DDRT,"DANDRIT BIOTECH USA, INC.",870831,-637398,135743,,135743,,,23368,,,,,,,213,-670991,-820561,-64963,-755598,188854,,,,,,671204,3824,-310267,,,,,,-773141,,,,-667167
1527728,0001213900-16-018520,10-Q,2016-11-14,2016-11-15,2017,Q1,2016-09-30,quarterly,DDRT,"DANDRIT BIOTECH USA, INC.",944684,-797985,132503,,132503,,,31675,,,,,,,,-852291,-833688,-40507,-793181,17104,1017,,,,,852291,3749,-326496,,,,,,-930488,,,-832671,-848542
1527728,0001213900-17-001385,10-Q,2017-02-14,2017-02-15,2017,Q2,2016-12-31,quarterly,DDRT,"DANDRIT BIOTECH USA, INC.",430965,-1284152,121885,,121885,,,117605,,,,,,,,-548785,-931419,-12815,-918604,13787,2196,,,,,548785,3622,-324343,,,,,,-1406037,,,-929223,-545163
1527728,0001213900-17-005228,10-Q,2017-05-15,2017-05-16,2017,Q3,2017-03-31,quarterly,DDRT,"DANDRIT BIOTECH USA, INC.",382285,-1606096,120046,,120046,,,33699,,,,,,,,-351030,-260249,-14078,-246171,16290,2217,,,,,351030,3498,-27669,,,,,,-1726142,,,-258032,-347532
1527728,0001213900-17-010130,10-K,2017-09-29,2017-09-30,2017,FY,2017-06-30,annual,DDRT,"DANDRIT BIOTECH USA, INC.",4522152,1532734,124393,,124393,,,3941712,,,,,,,,-2650427,-2457707,-64877,-2392830,62763,,,,,,2650427,14528,-1177478,,,,,,1408341,,,,-2635899
1527728,0001213900-17-010130,10-K,2017-09-29,2017-09-30,2017,FY,2017-06-30,quarterly,DDRT,"DANDRIT BIOTECH USA, INC.",4522152,1532734,124393,,124393,,,3941712,,,,,,,,-898321,-432351,2523,-434874,15582,,,,,,898321,3659,-498970,,,,,,1408341,,,,-894662
