cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization
319815,0001193125-11-213892,10-Q,2011-08-08,2011-08-09,2011,Q2,2011-06-30,quarterly,MXWL,MAXWELL TECHNOLOGIES INC,156014000,105223000,28861000,27423000,1438000,2504000,3685000,29791000,26911000,,,,,38463000,15476000,-1619000,-1644000,-427000,-1217000,5297000,,,,-25000,,17095000,,,,,,,,76362000,6189000,111412000,,,3690,27955000,2011-06-30,single,,,,51000
319815,0001193125-11-299377,10-Q,2011-11-07,2011-11-08,2011,Q3,2011-09-30,quarterly,MXWL,MAXWELL TECHNOLOGIES INC,154189000,103283000,26851000,25592000,1259000,2292000,3409000,30988000,27965000,,,,,41096000,16549000,1247000,1220000,922000,298000,5707000,,28161000,,-27000,,15302000,1291000,5872000,-3703000,734000,,-33000,2169000,76432000,5701000,108984000,,2538000,3690,28123000,2011-09-30,single,,,1240000,51000
319815,0001193125-12-065333,10-K,2012-02-16,2012-02-17,2011,FY,2011-12-31,annual,MXWL,MAXWELL TECHNOLOGIES INC,156936000,103331000,25998000,24887000,1111000,68000,5431000,29289000,27232000,,,,,157311000,62057000,1783000,2705000,1856000,849000,22330000,,28161000,,-109000,,60274000,7003000,-5101000,-14466000,2582000,,-154000,-19567000,77333000,5499000,108830000,,8786000,3690,28174000,2011-12-31,single,,,6800000,203000
319815,0001193125-12-065333,10-K,2012-02-16,2012-02-17,2011,FY,2011-12-31,quarterly,MXWL,MAXWELL TECHNOLOGIES INC,156936000,103331000,25998000,24887000,1111000,68000,5431000,29289000,27232000,,,,,42493000,16148000,2228000,2207000,635000,1572000,5354000,,,,-21000,,13920000,2515000,1989000,-3472000,142000,,0,-1483000,77333000,5499000,108830000,,4743000,3690,28174000,2011-12-31,single,,,2465000,50000
319815,0001193125-12-186082,10-Q,2012-04-26,2012-04-27,2012,Q1,2012-03-31,quarterly,MXWL,MAXWELL TECHNOLOGIES INC,173050000,118945000,26715000,25730000,985000,3541000,7155000,30628000,30606000,,,,,39230000,16137000,1255000,1218000,714000,504000,5596000,,28559000,,-26000,,14882000,1819000,-11807000,-4057000,1286000,,-286000,-15864000,92230000,10696000,129641000,,3074000,3690,29127000,2012-03-31,single,,,1768000,51000
319815,0001193125-12-331861,10-Q,2012-08-02,2012-08-03,2012,Q2,2012-06-30,quarterly,MXWL,MAXWELL TECHNOLOGIES INC,169869000,119122000,25475000,24621000,854000,3389000,6870000,22310000,30217000,,,,,40856000,16980000,3448000,3377000,719000,2658000,5294000,,28780000,,,,13532000,1829000,-2227000,-4231000,770000,,-33000,-6458000,93647000,10259000,129381000,,5277000,3690,29136000,2012-06-30,single,,,1626000,203000
319815,0001193125-12-441503,10-Q,2012-10-30,2012-10-31,2012,Q3,2012-09-30,quarterly,MXWL,MAXWELL TECHNOLOGIES INC,176234000,126147000,25584000,24826000,758000,2960000,6909000,20073000,31930000,,,,,43907000,18373000,5945000,5873000,470000,5403000,5084000,,28748000,,,,12428000,1807000,2441000,-4833000,505000,,0,-2392000,100563000,9869000,136016000,,7752000,3690,28174000,2012-09-30,single,,,1710000,97000
319815,0000319815-13-000053,10-K,2013-08-01,2013-08-02,2012,FY,2012-12-31,annual,MXWL,MAXWELL TECHNOLOGIES INC,176472000,124933000,26085000,25416000,669000,83000,9452000,28739000,41620000,,,,,159258000,65052000,9696000,9523000,2349000,7174000,21700000,,28709000,,,,55356000,7492000,-1146000,-15200000,3088000,,,-16346000,98848000,9535000,134468000,,17188000,3690,29162000,2012-12-31,single,,,7051000,441000
319815,0000319815-13-000053,10-K,2013-08-01,2013-08-02,2012,FY,2012-12-31,quarterly,MXWL,MAXWELL TECHNOLOGIES INC,176472000,124933000,26085000,25416000,669000,83000,9452000,28739000,41620000,,,,,44503000,17229000,-952000,-945000,446000,2867000,5726000,,,,,,14514000,2037000,10447000,-2079000,527000,,,8368000,98848000,9535000,134468000,,1085000,3690,29162000,2012-12-31,single,,,1947000,90000
319815,0000319815-13-000054,10-Q,2013-08-01,2013-08-02,2013,Q1,2013-03-31,quarterly,MXWL,MAXWELL TECHNOLOGIES INC,180842000,123093000,25178000,24603000,575000,85000,8973000,34124000,42336000,,,,,47748000,18230000,705000,646000,924000,-278000,6023000,,28825000,,,,17525000,2209000,8966000,-2026000,957000,,-20000,6940000,97915000,9058000,132151000,,2914000,3690,29562000,2013-03-31,single,,,2118000,91000
319815,0000319815-13-000055,10-Q,2013-08-01,2013-08-02,2013,Q2,2013-06-30,quarterly,MXWL,MAXWELL TECHNOLOGIES INC,188824000,127908000,25194000,24710000,484000,75000,8573000,34571000,39435000,,,,,55610000,21576000,4210000,4154000,749000,3405000,5378000,,28860000,,,,17366000,2201000,9512000,-4501000,947000,,-24000,5011000,102714000,8648000,136556000,,6411000,3690,29535000,2013-06-30,single,,,2110000,91000
319815,0000319815-13-000061,10-Q/A,2013-08-14,2013-08-15,2012,Q3,2012-09-30,quarterly,MXWL,MAXWELL TECHNOLOGIES INC,174039000,119603000,25584000,24826000,758000,25000,9844000,20073000,43802000,,,,,42713000,18142000,5716000,5644000,416000,5228000,5084000,,28748000,,,,12426000,1807000,2441000,-4833000,505000,,0,-2392000,94019000,9869000,129472000,,7523000,3690,29183000,2012-09-30,single,,,1710000,97000
319815,0000319815-13-000082,10-Q/A,2013-10-25,2013-10-26,2013,Q3,2013-09-30,quarterly,MXWL,MAXWELL TECHNOLOGIES INC,192371000,138500000,26098000,25678000,420000,86000,8253000,37047000,42576000,,,,,51197000,21113000,6208000,6156000,129000,6027000,5450000,,28940000,,,,14905000,2355000,6237000,-5189000,718000,,-3000,1048000,112402000,8339000,146839000,,8563000,3690,29641000,2013-09-30,single,,,2290000,65000
319815,0000319815-14-000008,10-K,2014-02-20,2014-02-21,2013,FY,2013-12-31,annual,MXWL,MAXWELL TECHNOLOGIES INC,190087000,140210000,26347000,25978000,369000,100000,7914000,30647000,44736000,,,,,193534000,75293000,8556000,8492000,2152000,6340000,22542000,,28903000,,,,66737000,9179000,19891000,-16850000,3980000,,,3041000,113863000,8014000,148224000,,17735000,3690,29563000,2013-12-31,single,,,8880000,299000
319815,0000319815-14-000008,10-K,2014-02-20,2014-02-21,2013,FY,2013-12-31,quarterly,MXWL,MAXWELL TECHNOLOGIES INC,190087000,140210000,26347000,25978000,369000,100000,7914000,30647000,44736000,,,,,38979000,14374000,-2567000,-2464000,350000,-2814000,5691000,,,,,,16941000,2414000,-4824000,-5134000,1358000,,,-9958000,113863000,8014000,148224000,,-153000,3690,29563000,2013-12-31,single,,,2362000,52000
319815,0000319815-14-000026,10-Q,2014-05-01,2014-05-02,2014,Q1,2014-03-31,quarterly,MXWL,MAXWELL TECHNOLOGIES INC,199402000,142792000,26519000,26201000,318000,83000,10540000,31585000,45003000,,,,,46001000,17870000,760000,716000,397000,319000,6171000,,29216000,,,,17110000,2665000,258000,-1985000,755000,,0,-1727000,116273000,10623000,153415000,,3425000,3690,29930000,2014-03-31,single,,,2614000,51000
319815,0000319815-14-000056,10-Q,2014-07-31,2014-08-01,2014,Q2,2014-06-30,quarterly,MXWL,MAXWELL TECHNOLOGIES INC,199145000,143090000,26408000,26140000,268000,65000,10106000,30748000,44973000,,,,,46074000,16600000,-567000,-600000,581000,-1181000,6223000,,29206000,,,,17167000,2879000,-885000,-891000,1166000,,0,-1776000,116682000,10171000,153261000,,2312000,3690,29897000,2014-06-30,single,,,2828000,51000
319815,0000319815-14-000072,10-Q,2014-10-23,2014-10-24,2014,Q3,2014-09-30,quarterly,MXWL,MAXWELL TECHNOLOGIES INC,193156000,134018000,24462000,24462000,,44000,9280000,30798000,52009000,,,,,41593000,15470000,-2276000,-2330000,962000,-3292000,6923000,,29284000,,,,17746000,2876000,6878000,-2319000,1013000,,0,4559000,109556000,9324000,143342000,,600000,3690,29838000,2014-09-30,single,,,2825000,51000
319815,0000319815-15-000008,10-K,2015-02-12,2015-02-13,2014,FY,2014-12-31,annual,MXWL,MAXWELL TECHNOLOGIES INC,186600000,126953000,23599000,23599000,,20000,15549000,24732000,44856000,,,,,186586000,68440000,-1737000,-1926000,4346000,-6272000,26320000,,29216000,,,,70177000,11362000,-6163000,-6975000,3967000,,,-13138000,103354000,15569000,142522000,,9625000,3690,29846000,2014-12-31,single,,,11159000,203000
319815,0000319815-15-000008,10-K,2015-02-12,2015-02-13,2014,FY,2014-12-31,quarterly,MXWL,MAXWELL TECHNOLOGIES INC,186600000,126953000,23599000,23599000,,20000,15549000,24732000,44856000,,,,,52918000,18500000,346000,288000,2406000,-2118000,7003000,,,,,,18154000,2942000,-12414000,-1780000,1035000,,,-14194000,103354000,15569000,142522000,,3288000,3690,29846000,2014-12-31,single,,,2892000,50000
319815,0000319815-15-000036,10-Q,2015-04-23,2015-04-24,2015,Q1,2015-03-31,quarterly,MXWL,MAXWELL TECHNOLOGIES INC,171020000,121582000,24068000,24068000,,12000,15245000,23101000,43238000,,,,,34670000,10386000,-8900000,-8994000,347000,-9341000,7918000,,29445000,,,,19286000,2875000,-777000,-1275000,839000,,,-2052000,97514000,15257000,136839000,,-6025000,3690,29947000,2015-03-31,single,,,2824000,51000
319815,0000319815-15-000077,10-Q,2015-08-06,2015-08-07,2015,Q2,2015-06-30,quarterly,MXWL,MAXWELL TECHNOLOGIES INC,170582000,125762000,24915000,24915000,,5000,5937000,25031000,41147000,,,,,37796000,12153000,-6259000,-6421000,2955000,-9376000,5930000,,30323000,,,,18412000,3053000,1901000,-942000,1011000,,,959000,100847000,5942000,131704000,,-3206000,3690,31738000,2015-06-30,single,,,3002000,51000
319815,0000319815-15-000084,10-Q,2015-10-29,2015-10-30,2015,Q3,2015-09-30,quarterly,MXWL,MAXWELL TECHNOLOGIES INC,171857000,123019000,24049000,24049000,,59000,47000,24813000,40841000,,,,,45076000,14256000,-651000,-584000,865000,-1449000,5781000,,31529000,,,,14907000,2858000,7406000,-562000,1056000,,,6844000,98970000,106000,123125000,,2207000,3690,31792000,2015-09-30,single,,,2807000,51000
