cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda
1745931,0001493152-18-016425,10-Q,2018-11-19,2018-11-20,2018,Q1,2018-09-30,quarterly,JSBL,JS BEAUTY LAND NETWORK TECHNOLOGY INC,149194,-79975,,,,,,126596,6553,,,,,,,-54635,-54559,,-54093,,,,,,,54635,,,,,,,,-79975,,,,
1745931,0001493152-19-003953,10-K,2019-03-27,2019-03-28,2018,FY,2018-12-31,annual,JSBL,JS BEAUTY LAND NETWORK TECHNOLOGY INC,154795,570,,,,,,130747,6261,,,,,,,,,,,,,,,,,,,,,,,,,570,,,,
1745931,0001493152-19-003953,10-K,2019-03-27,2019-03-28,2018,FY,2018-12-31,quarterly,JSBL,JS BEAUTY LAND NETWORK TECHNOLOGY INC,154795,570,,,,,,130747,6261,,,,,,,,,,,,,,,,,,,,,,,,,570,,,,
1745931,0001493152-19-007691,10-Q/A,2019-05-17,2019-05-18,2019,Q1,2019-03-31,quarterly,JSBL,JS BEAUTY LAND NETWORK TECHNOLOGY INC,152016,-55338,,,,,,135470,5425,,,,,3186,2183,-57839,-58898,,-58610,,1151,,,,,60022,,1783,,,,,,-55338,,,-57747,
1745931,0001493152-19-013377,10-Q/A,2019-08-26,2019-08-27,2019,Q2,2019-06-30,quarterly,JSBL,JS BEAUTY LAND NETWORK TECHNOLOGY INC,926164,674926,,,,,,142422,59902,,,,,10655,7629,-49027,-50155,,-49965,,1286,,,,,56656,,-779555,,,,,,674926,,,-48869,
1745931,0001493152-19-017753,10-Q,2019-11-15,2019-11-16,2019,Q3,2019-09-30,quarterly,JSBL,JS BEAUTY LAND NETWORK TECHNOLOGY INC,844763,627513,,,,,,80926,50288,,,,,26577,18919,-16029,-17173,,-17049,,1224,,,,,34948,,-49056,,,,,,627513,,,-15949,
1745931,0001493152-20-012000,10-K,2020-06-29,2020-06-30,2019,FY,2019-12-31,annual,JSBL,JS BEAUTY LAND NETWORK TECHNOLOGY INC,606407,257888,277004,,277004,,,121198,89029,,,,,115323,51984,-495567,-500037,,-495695,,4881,,,,,547551,,-587432,,,,,,-19116,,,-495156,
1745931,0001493152-20-012000,10-K,2020-06-29,2020-06-30,2019,FY,2019-12-31,quarterly,JSBL,JS BEAUTY LAND NETWORK TECHNOLOGY INC,606407,257888,277004,,277004,,,121198,89029,,,,,74905,23253,-372672,-373811,,-370071,,1220,,,,,395925,,239396,,,,,,-19116,,,-372591,
1745931,0001493152-20-014882,10-Q/A,2020-08-06,2020-08-07,2020,Q1,2020-03-31,quarterly,JSBL,JS BEAUTY LAND NETWORK TECHNOLOGY INC,611376,313210,272107,,272107,,,104017,65737,39194,,,,50877,28705,-16331,,,-17756,,1494,,,,,45036,821,-19152,,,,,,41103,,,,-15510
1745931,0001493152-20-016187,10-Q,2020-08-18,2020-08-19,2020,Q2,2020-06-30,quarterly,JSBL,JS BEAUTY LAND NETWORK TECHNOLOGY INC,762263,370369,272235,,272235,,,287560,65834,22446,,,,177979,109581,55214,,,53017,,1472,,,,,54367,1041,80873,,,,,,98134,,,,56255
1745931,0001493152-20-022903,10-Q,2020-12-03,2020-12-04,2020,Q3,2020-09-30,quarterly,JSBL,JS BEAUTY LAND NETWORK TECHNOLOGY INC,1118819,688214,282780,,282780,,,510834,41828,139258,,,,80838,27491,-52322,,,-53164,,1508,,,,,79813,1071,-25566,,,,,,405434,,,,-51251
1745931,0001493152-21-015416,10-K,2021-06-28,2021-06-29,2020,FY,2020-12-31,annual,JSBL,JS BEAUTY LAND NETWORK TECHNOLOGY INC,890490,385950,,,,,,721529,,59459,,,,461154,271975,-341356,,,-344090,,6041,,,,,613331,19089,123848,,,,,,385950,,,,-322267
1745931,0001493152-21-015416,10-K,2021-06-28,2021-06-29,2020,FY,2020-12-31,quarterly,JSBL,JS BEAUTY LAND NETWORK TECHNOLOGY INC,890490,385950,,,,,,721529,,59459,,,,151460,106198,-327917,,,-326187,,1567,,,,,434115,16156,87693,,,,,,385950,,,,-311761
1745931,0001493152-21-018328,10-Q,2021-08-02,2021-08-03,2021,Q1,2021-03-31,quarterly,JSBL,JS BEAUTY LAND NETWORK TECHNOLOGY INC,810869,412747,,,,,,645222,,41696,,,,,,-71488,,,-72097,,1607,,,,,71488,619,-98141,,,,,,412747,,,,-70869
1745931,0001493152-21-022875,10-Q,2021-09-16,2021-09-17,2021,Q2,2021-06-30,quarterly,,JS BEAUTY LAND NETWORK TECHNOLOGY INC,1075771,423535,,,,,,943636,,24321,,,,16090,3358,-43830,,,-44769,,1613,,,,,47188,621,-27573,,,,,,423535,,,,-43209
1745931,0001493152-21-028491,10-Q,2021-11-15,2021-11-16,2021,Q3,2021-09-30,quarterly,,JS BEAUTY LAND NETWORK TECHNOLOGY INC,2245160,845670,,,,,,2127752,,6129,,,,95441,83853,35334,,,34333,,1610,,,,,48519,619,27314,,,,,,845670,,,,35953
