cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization
1030469,0000950123-11-074172,10-Q,2011-08-08,2011-08-09,2011,Q2,2011-06-30,quarterly,OFG,ORIENTAL FINANCIAL GROUP INC,7082547000,724357000,,,,,,281029000,,,68000000,2385231000,1707249000,,,,25076000,-1391000,26467000,,39490000,,82202000,42712000,,,,,,,,,,724357000,,,64566000,,6022,44009380,2011-06-30,single,,31812000,,
1030469,0001193125-11-299959,10-Q,2011-11-07,2011-11-08,2011,Q3,2011-09-30,quarterly,OFG,ORIENTAL FINANCIAL GROUP INC,7023288000,727916000,,,,,,517336000,,,68000000,2378365000,1683878000,,,,17368000,580000,16788000,,39211000,,71662000,32451000,1864000,,,5122000,-510000,319000,-2202000,0,4612000,727916000,,,56579000,,6022,44014791,2011-09-30,single,,46619000,,36000
1030469,0001193125-12-106683,10-K,2012-03-09,2012-03-10,2011,FY,2011-12-31,annual,OFG,ORIENTAL FINANCIAL GROUP INC,6693666000,695555000,,,,,,605477000,,,68000000,2395267000,1669953000,,,,35316000,866000,34450000,,156586000,,297028000,140442000,13813000,,,-34291000,-3385000,1310000,-9154000,-58775000,-37676000,695555000,,,191902000,,6022,41244533,2011-12-31,single,,39920000,,143000
1030469,0001193125-12-106683,10-K,2012-03-09,2012-03-10,2011,FY,2011-12-31,quarterly,OFG,ORIENTAL FINANCIAL GROUP INC,6693666000,695555000,,,,,,605477000,,,68000000,2395267000,1669953000,,,,-16681000,-4795000,-11886000,,37138000,,65256000,28118000,3800000,,,11688000,-401000,309000,-2477000,-29533000,11287000,695555000,,,20457000,,6022,41244533,2011-12-31,single,,39920000,,36000
1030469,0001193125-12-211735,10-Q,2012-05-04,2012-05-05,2012,Q1,2012-03-31,quarterly,OFG,ORIENTAL FINANCIAL GROUP INC,6461355000,689290000,,,,,,453997000,,,68000000,2274567000,1656491000,,,,12590000,1937000,10653000,,31057000,,69919000,38862000,10157000,,,6148000,-431000,366000,-2442000,-7022000,5717000,689290000,,,43647000,,6022,40689650,2012-03-31,single,,43564000,,36000
1030469,0001030469-12-000010,10-Q/A,2012-08-06,2012-08-07,2012,Q2,2012-06-30,quarterly,OFG,ORIENTAL FINANCIAL GROUP INC,6375648000,692202000,,,,,,464579000,,,68000000,2222942000,,,,,16015000,1057000,14958000,,27712000,,60788000,33076000,5267000,,,259000,-794000,421000,-2444000,0,-535000,692202000,0,692202000,43727000,,6022,40730831,2012-06-30,single,0,,,39000
1030469,0001030469-12-000016,10-Q/A,2012-11-09,2012-11-10,2012,Q3,2012-09-30,quarterly,OFG,ORIENTAL FINANCIAL GROUP INC,6051205000,771687000,,,,,,515495000,,,,2214367000,,,,,19655000,1894000,17761000,,25483000,,65686000,40203000,3821000,,,6243000,-232000,372000,-2445000,0,6011000,771687000,0,771687000,45138000,,6022,40745946,2012-09-30,single,0,,,32000
1030469,0001030469-13-000015,10-K,2013-03-15,2013-03-16,2012,FY,2012-12-31,annual,OFG,ORIENTAL FINANCIAL GROUP INC,9193368000,863606000,64021000,64021000,,,,868695000,,,,5689559000,,,,,27856000,3301000,24555000,,105471000,,,155309000,23681000,,,50240000,-1927000,1552000,-10066000,-7022000,48313000,799585000,0,863606000,133327000,,6022,45580281,2012-12-31,single,0,,,230000
1030469,0001030469-13-000015,10-K,2013-03-15,2013-03-16,2012,FY,2012-12-31,quarterly,OFG,ORIENTAL FINANCIAL GROUP INC,9193368000,863606000,64021000,64021000,,,,868695000,,,,5689559000,,,,,-20403000,-1587000,-18816000,,21220000,,,43167000,4436000,,,37590000,-470000,393000,-2735000,0,37120000,799585000,0,863606000,817000,,6022,45580281,2012-12-31,single,0,,,123000
1030469,0001030469-13-000029,10-Q,2013-05-10,2013-05-11,2013,FY,2013-03-31,quarterly,OFG,OFG BANCORP,8702551000,870242000,64021000,64021000,,,,561446000,,,,5563514000,,,,,28318000,7126000,21192000,,21046000,,,92582000,8588000,,,21415000,-1711000,437000,-2737000,0,19704000,806221000,,,49364000,,6022,45621199,2013-03-31,single,,,,644000
1030469,0001030469-13-000036,10-Q,2013-08-09,2013-08-10,2013,Q2,2013-06-30,quarterly,OFG,OFG BANCORP,8435934000,870924000,76383000,76383000,,,,748313000,,,,5665038000,4543299000,,,,5605000,-31934000,37539000,,20439000,52968000,125808000,105369000,38738000,,,,,,,,,794541000,,,26044000,,6022,45640105,2013-06-30,single,,,,
1030469,0001030469-13-000046,10-Q,2013-11-12,2013-11-13,2013,Q3,2013-09-30,quarterly,OFG,OFG BANCORP,8380225000,879726000,86069000,86069000,,,,657520000,,,,5610437000,4720174000,,,,26206000,6585000,19621000,,22010000,53322000,120642000,98632000,12974000,,,67524000,-510000,472000,-2740000,0,67014000,793657000,,,48216000,,6022,45660522,2013-09-30,single,,,,644000
1030469,0001030469-14-000009,10-K,2014-03-03,2014-03-04,2013,FY,2013-12-31,annual,OFG,OFG BANCORP,8158015000,884913000,86069000,86069000,,,,703468000,,,,5383265000,4615929000,,,,89737000,-8709000,98446000,,83960000,53033000,493632000,409672000,72894000,,,173816000,-9120000,1823000,-10789000,0,164696000,798844000,,,173697000,,6022,45676922,2013-12-31,single,,,,2577000
1030469,0001030469-14-000009,10-K,2014-03-03,2014-03-04,2013,FY,2013-12-31,quarterly,OFG,OFG BANCORP,8158015000,884913000,86069000,86069000,,,,703468000,,,,5383265000,4615929000,,,,29608000,9514000,20094000,,21387000,,133555000,112168000,12594000,,,47351000,-2373000,463000,-2570000,0,44978000,798844000,,,50995000,,6022,45676922,2013-12-31,single,,,,645000
1030469,0001030469-14-000019,10-Q,2014-05-09,2014-05-10,2014,Q1,2014-03-31,quarterly,OFG,OFG BANCORP,7855638000,896491000,86069000,86069000,,,,624636000,,,,5300992000,4635394000,,,,35532000,11785000,23747000,,19676000,52598000,123074000,103398000,11691000,,,40644000,-2532000,439000,-3657000,-10393000,38112000,810422000,,,55208000,,6022,45003924,2014-03-31,single,,,,542000
1030469,0001030469-14-000036,10-Q,2014-08-08,2014-08-09,2014,Q2,2014-06-30,quarterly,OFG,OFG BANCORP,7710145000,925202000,86069000,86069000,,,,596485000,,,,5141233000,4586904000,,,,31922000,10613000,21309000,,19822000,52352000,125900000,106078000,14815000,,,54209000,-1568000,507000,-3612000,0,52641000,839133000,,,51744000,,6022,45022823,2014-06-30,single,,,,543000
1030469,0001030469-14-000048,10-Q,2014-11-07,2014-11-08,2014,Q3,2014-09-30,quarterly,OFG,OFG BANCORP,7673339000,929998000,86069000,86069000,,,,671239000,,,,5069175000,4528452000,,,,27530000,7998000,19532000,,18430000,52362000,120301000,101871000,17257000,,,65723000,-2526000,302000,-3604000,-1000,63197000,843929000,,,45960000,,6022,45059988,2014-09-30,single,,,,542000
1030469,0001030469-15-000010,10-K,2015-02-26,2015-02-27,2014,FY,2014-12-31,annual,OFG,OFG BANCORP,7449109000,942197000,86069000,86069000,,,,573427000,,,,4924406000,4513196000,,,,122433000,37252000,85181000,,76782000,52326000,485257000,408475000,60640000,,,175000000,-7909000,1036000,-14479000,-16948000,167091000,856128000,,,199215000,,6022,44613615,2014-12-31,single,,,,2169000
1030469,0001030469-15-000010,10-K,2015-02-26,2015-02-27,2014,FY,2014-12-31,quarterly,OFG,OFG BANCORP,7449109000,942197000,86069000,86069000,,,,573427000,,,,4924406000,4513196000,,,,27449000,6856000,20593000,,18854000,,115982000,97128000,16877000,,,14424000,-1283000,-212000,-3606000,-6554000,13141000,856128000,,,46303000,,6022,44613615,2014-12-31,single,,,,542000
1030469,0001030469-15-000022,10-Q,2015-05-08,2015-05-09,2015,Q1,2015-03-31,quarterly,OFG,OFG BANCORP,7364156000,936379000,86069000,86069000,,,,678902000,,,,4894233000,4443308000,,,,-2009000,979000,-2988000,,17366000,51977000,107001000,89635000,42193000,,,34165000,-864000,347000,-4464000,0,33301000,850310000,,,15357000,,6022,44664693,2015-03-31,single,,,,476000
1030469,0001030469-15-000038,10-Q,2015-08-10,2015-08-11,2015,Q2,2015-06-30,quarterly,OFG,OFG BANCORP,7398325000,911599000,86069000,86069000,,,,553535000,,,,4749684000,4396665000,,,,-2340000,769000,-3109000,,17121000,51774000,99413000,82292000,15539000,,,12342000,-974000,447000,-4468000,-4238000,11368000,825530000,,,14781000,,6022,44367909,2015-06-30,single,,,,477000
1030469,0001030469-15-000049,10-Q,2015-11-06,2015-11-07,2015,Q3,2015-09-30,quarterly,OFG,OFG BANCORP,7203822000,907888000,86069000,86069000,,,,526196000,,,,4717074000,4449473000,,,,5131000,562000,4569000,,17424000,51146000,107247000,89823000,51579000,,,20306000,-1564000,419000,-4441000,-4712000,18742000,821819000,,,22555000,,6022,43867909,2015-09-30,single,,,,476000
1030469,0001030469-16-000067,10-K,2016-03-15,2016-03-16,2015,FY,2015-12-31,annual,OFG,OFG BANCORP,7099149000,897077000,86069000,86069000,,,,536709000,,,,4716859000,4420599000,,,,-20058000,-17554000,-2504000,,69196000,51455000,406568000,337372000,161501000,,,97082000,-5283000,1637000,-17761000,-8950000,91799000,811008000,,,49138000,,6022,43867909,2015-12-31,single,,,,1906000
1030469,0001030469-16-000067,10-K,2016-03-15,2016-03-16,2015,FY,2015-12-31,quarterly,OFG,OFG BANCORP,7099149000,897077000,86069000,86069000,,,,536709000,,,,4716859000,4420599000,,,,-20840000,-19864000,-976000,,17285000,,92907000,75622000,52190000,,,30269000,-1881000,424000,-4388000,0,28388000,811008000,,,-3555000,,6022,43867909,2015-12-31,single,,,,477000
1030469,0001030469-16-000074,10-Q,2016-05-06,2016-05-07,2016,Q1,2016-03-31,quarterly,OFG,OFG BANCORP,6874572000,903801000,86069000,86069000,,,,677849000,,,,4779693000,4342964000,,,,19832000,5661000,14171000,,16331000,51064000,91306000,74975000,13789000,,,23478000,-1922000,364000,-2633000,,21556000,817732000,,,36163000,,6022,43913719,2016-03-31,single,,,,419000
1030469,0001030469-16-000085,10-Q,2016-08-05,2016-08-06,2016,Q2,2016-06-30,quarterly,OFG,OFG BANCORP,6712596000,915890000,86069000,86069000,,,,517048000,,,,4644054000,4355408000,,,,20197000,5858000,14339000,,14596000,51095000,87908000,73312000,14445000,,,7777000,-1155000,334000,-2639000,,6622000,829821000,,,34793000,,6022,43913719,2016-06-30,single,,,,420000
1030469,0001030469-16-000094,10-Q,2016-11-04,2016-11-05,2016,Q3,2016-09-30,quarterly,OFG,OFG BANCORP,6592113000,924934000,86069000,86069000,,,,509265000,,,,4754771000,4149466000,,,,18747000,3627000,15120000,,13657000,51111000,90584000,76927000,23469000,,,15557000,-727000,316000,-2634000,0,14830000,838865000,,,32404000,,6022,43913719,2016-09-30,single,,,,419000
1030469,0001030469-17-000011,10-K,2017-03-10,2017-03-11,2016,FY,2016-12-31,annual,OFG,OFG BANCORP,6501824000,920411000,86069000,86069000,,,,510439000,,,,4664487000,4135193000,,,,85180000,25994000,59186000,,57165000,51088000,356592000,299427000,65076000,,,78512000,-5297000,1270000,-10141000,0,73215000,834342000,,,142345000,,6022,43914844,2016-12-31,single,,,,1677000
1030469,0001030469-17-000011,10-K,2017-03-10,2017-03-11,2016,FY,2016-12-31,quarterly,OFG,OFG BANCORP,6501824000,920411000,86069000,86069000,,,,510439000,,,,4664487000,4135193000,,,,26404000,10848000,15556000,,12581000,,86794000,74213000,13373000,,,31700000,-1493000,256000,-2235000,0,30207000,834342000,,,38985000,,6022,43914844,2016-12-31,single,,,,419000
1030469,0001030469-17-000020,10-Q,2017-05-05,2017-05-06,2017,Q1,2017-03-31,quarterly,OFG,OFG BANCORP,6414607000,931429000,86069000,86069000,,,,480271000,,,,4717828000,4073871000,,,,24354000,9204000,15150000,,11560000,51131000,86178000,74618000,17654000,,,24999000,-1489000,218000,-3037000,,23510000,845360000,,,35914000,,6022,43947442,2017-03-31,single,,,,369000
1030469,0001030469-17-000028,10-Q,2017-08-04,2017-08-05,2017,Q2,2017-06-30,quarterly,OFG,OFG BANCORP,6235826000,938969000,86069000,86069000,,,,477308000,,,,4582686000,4044175000,,,,21097000,3993000,17104000,,10377000,51100000,85940000,75563000,26536000,,,-19364000,-2171000,297000,-2637000,,-21535000,852900000,,,31474000,,6022,43947442,2017-06-30,single,,,,368000
1030469,0001030469-17-000036,10-Q,2017-11-08,2017-11-09,2017,Q3,2017-09-30,quarterly,OFG,OFG BANCORP,6288217000,937630000,86069000,86069000,,,,720726000,,,,4826404000,3952458000,,,,3879000,560000,3319000,,9877000,51102000,90355000,80478000,44042000,,,100420000,-611000,296000,-2238000,,99809000,851561000,,,13756000,,6022,43947442,2017-09-30,single,,,,368000
1030469,0001030469-18-000021,10-K,2018-03-13,2018-03-14,2017,FY,2017-12-31,annual,OFG,OFG BANCORP,6189053000,945107000,86069000,86069000,,,,485203000,,,,4799482000,4044057000,,,,68089000,15443000,52646000,,41475000,51096000,345647000,304172000,113139000,,,151440000,-6469000,1109000,-10553000,0,144971000,859038000,,,109564000,,6022,43947442,2017-12-31,single,,,,1473000
1030469,0001030469-18-000021,10-K,2018-03-13,2018-03-14,2017,FY,2017-12-31,quarterly,OFG,OFG BANCORP,6189053000,945107000,86069000,86069000,,,,485203000,,,,4799482000,4044057000,,,,18759000,1686000,17073000,,9661000,,83174000,73513000,24907000,,,45385000,-2198000,298000,-2641000,,43187000,859038000,,,28420000,,6022,43947442,2017-12-31,single,,,,368000
1030469,0001030469-18-000027,10-Q,2018-05-04,2018-05-05,2018,Q1,2018-03-31,quarterly,OFG,OFG BANCORP,6247121000,946849000,86069000,86069000,,,,362358000,,,,4833428000,4122924000,,,,24927000,8010000,16917000,,9176000,51121000,83170000,73994000,15460000,,,35401000,-1580000,291000,-2638000,,33821000,860780000,,,34103000,,6022,43968342,2018-03-31,single,,,,330000
1030469,0001030469-18-000046,10-Q,2018-08-03,2018-08-04,2018,Q2,2018-06-30,quarterly,OFG,OFG BANCORP,6501562000,957819000,86069000,86069000,,,,375335000,,,,4880201000,4305651000,,,,29244000,9595000,19649000,,10418000,51226000,88006000,77588000,14747000,,,13060000,-2017000,344000,-2639000,,11043000,871750000,,,39662000,,6022,43893195,2018-06-30,single,,,,329000
1030469,0001030469-18-000060,10-Q,2018-11-02,2018-11-03,2018,Q3,2018-09-30,quarterly,OFG,OFG BANCORP,6656674000,969886000,86069000,86069000,,,,543750000,,,,5088993000,4344001000,,,,35355000,12255000,23100000,,11860000,51464000,94137000,82277000,14601000,,,25166000,-4510000,343000,-2641000,,20656000,883817000,,,47215000,,6022,44005741,2018-09-30,single,,,,330000
1030469,0001562762-19-000078,10-K,2019-03-08,2019-03-09,2018,FY,2018-12-31,annual,OFG,OFG BANCORP,6583352000,999877000,86069000,86069000,,,,447033000,,,,4908115000,4421226000,,,,132800000,48390000,84410000,,44525000,51349000,360419000,315894000,56108000,,,133355000,-11491000,1401000,-12796000,,121864000,913808000,,,177325000,,6022,51293924,2018-12-31,single,,,,1319000
1030469,0001562762-19-000078,10-K,2019-03-08,2019-03-09,2018,FY,2018-12-31,quarterly,OFG,OFG BANCORP,6583352000,999877000,86069000,86069000,,,,447033000,,,,4908115000,4421226000,,,,43274000,18530000,24744000,,13071000,,95106000,82035000,11300000,,,59728000,-3384000,423000,-4878000,,56344000,913808000,,,56345000,,6022,51293924,2018-12-31,single,,,,330000
