cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda
1559270,0001559270-13-000010,10-Q,2013-05-09,2013-05-10,2013,Q1,2013-03-31,quarterly,STRZA,"STARZ, LLC",1498199000,,131760000,131760000,,987177000,4718000,17874000,,,,,,399317000,,104860000,93147000,34944000,57865000,,10228000,,,,,,,66753000,-663000,7254000,,,66090000,,991895000,,103375000,
1559270,0001559270-13-000015,10-Q,2013-08-02,2013-08-03,2013,Q2,2013-06-30,quarterly,STRZA,"STARZ, LLC",1555144000,,131760000,131760000,,1007818000,4792000,30854000,,,,,,517421000,,116096000,104257000,38222000,63887000,,11331000,,,,,,,74321000,-2462000,9058000,,,71859000,,1012610000,,115588000,
1559270,0001559270-13-000020,10-Q,2013-11-06,2013-11-07,2013,Q3,2013-09-30,quarterly,STRZA,"STARZ, LLC",1493305000,,131760000,131760000,,1058939000,4867000,30642000,,,,,,446053000,,100756000,89296000,36210000,52244000,,11655000,,,,,,,48941000,-3040000,8815000,,,45901000,,1063806000,,100951000,
1559270,0001559270-14-000002,10-K,2014-02-21,2014-02-22,2013,FY,2013-12-31,annual,STRZA,"STARZ, LLC",1449998000,,131760000,131760000,,1054542000,4943000,25747000,,,,,,1777522000,,425221000,389180000,139380000,247339000,,44994000,,,,,,,312895000,-14833000,34296000,,,298062000,,1059485000,,434174000,
1559270,0001559270-14-000002,10-K,2014-02-21,2014-02-22,2013,FY,2013-12-31,quarterly,STRZA,"STARZ, LLC",1449998000,,131760000,131760000,,1054542000,4943000,25747000,,,,,,414731000,,103509000,102480000,30004000,73343000,,11780000,,,,,,,122880000,-8668000,9169000,,,114212000,,1059485000,,114260000,
1559270,0001559270-14-000009,10-Q,2014-05-01,2014-05-02,2014,Q1,2014-03-31,quarterly,STRZA,"STARZ, LLC",1559900000,,131800000,131800000,,1073100000,5000000,17900000,,,,,,420000000,,113500000,102500000,35700000,64900000,,11500000,,,,,,,41300000,-1300000,7800000,,,40000000,,1078100000,,114000000,
1559270,0001559270-14-000019,10-Q,2014-07-31,2014-08-01,2014,Q2,2014-06-30,quarterly,STRZA,"STARZ, LLC",1484600000,,131800000,131800000,,1110200000,5100000,12900000,,,,,,410100000,,104800000,104000000,35000000,70100000,,11800000,,,,,,,18700000,-1900000,7500000,,,16800000,,1115300000,,115800000,
1559270,0001559270-14-000034,10-Q,2014-10-30,2014-10-31,2014,Q3,2014-09-30,quarterly,STRZA,"STARZ, LLC",1499900000,,131800000,131800000,,1185700000,5200000,45600000,,,,,,408200000,,97300000,84400000,28600000,56300000,,11400000,,,,,,,47200000,-2700000,7600000,,,44500000,,1190900000,,95800000,
1559270,0001559270-15-000005,10-K,2015-02-25,2015-02-26,2014,FY,2014-12-31,annual,STRZA,"STARZ, LLC",1573200000,,131800000,131800000,,1174200000,5300000,13400000,,,,,,1663900000,,451700000,409800000,140800000,271300000,,46500000,,,,,,,206500000,-11200000,30600000,,,195300000,,1179500000,,456300000,
1559270,0001559270-15-000005,10-K,2015-02-25,2015-02-26,2014,FY,2014-12-31,quarterly,STRZA,"STARZ, LLC",1573200000,,131800000,131800000,,1174200000,5300000,13400000,,,,,,425600000,,136100000,118900000,41500000,80000000,,11800000,,,,,,,99300000,-5300000,7700000,,,94000000,,1179500000,,130700000,
1559270,0001559270-15-000014,10-Q,2015-04-30,2015-05-01,2015,Q1,2015-03-31,quarterly,STRZA,"STARZ, LLC",1687500000,,131800000,131800000,,1187700000,5300000,10100000,,,,,,450700000,,142500000,129100000,43000000,84600000,,11200000,,,,,,,-5800000,-2200000,8300000,,,-8000000,,1193000000,,140300000,
1559270,0001559270-15-000026,10-Q,2015-07-29,2015-07-30,2015,Q2,2015-06-30,quarterly,STRZA,"STARZ, LLC",1682700000,,131800000,131800000,,1245200000,5400000,20300000,,,,,,417700000,,110500000,97100000,34100000,63400000,,11300000,,,,,,,-20200000,-3600000,8100000,,,-23800000,,1250600000,,108400000,
1559270,0001559270-15-000037,10-Q,2015-10-29,2015-10-30,2015,Q3,2015-09-30,quarterly,STRZA,"STARZ, LLC",1616500000,,131800000,131800000,,1162700000,5500000,17000000,,,,,,404100000,,101800000,85800000,26300000,60200000,,11500000,,,,,,,114500000,-3600000,8100000,,,110900000,,1168200000,,97300000,
1559270,0001559270-16-000051,10-K,2016-02-25,2016-02-26,2015,FY,2015-12-31,annual,STRZA,"STARZ, LLC",1564200000,,131800000,131800000,,1032200000,5600000,10700000,,,,,,1700100000,,409700000,348000000,111500000,236100000,,46000000,,,,,,,250600000,-17200000,32900000,,,233400000,,1037800000,,394000000,
1559270,0001559270-16-000051,10-K,2016-02-25,2016-02-26,2015,FY,2015-12-31,quarterly,STRZA,"STARZ, LLC",1564200000,,131800000,131800000,,1032200000,5600000,10700000,,,,,,427600000,,54900000,36000000,8100000,27900000,,12000000,,,,,,,162100000,-7800000,8400000,,,154300000,,1037800000,,48000000,
1559270,0001559270-16-000061,10-Q,2016-04-28,2016-04-29,2016,Q1,2016-03-31,quarterly,STRZ,"STARZ, LLC",1655500000,,131800000,131800000,,1114400000,5700000,9800000,,,,,,431900000,,114100000,102600000,35600000,67000000,,11900000,,,,,,,5400000,-2200000,8300000,,,3200000,,1120100000,,114500000,
1559270,0001559270-16-000072,10-Q,2016-08-02,2016-08-03,2016,Q2,2016-06-30,quarterly,STRZ,"STARZ, LLC",1640500000,,131800000,131800000,,1074500000,5800000,12900000,,,,,,402600000,,105400000,87200000,32800000,54400000,,11500000,,,,,,,95600000,-5600000,7300000,,,90000000,,1080300000,,98700000,
1559270,0001559270-16-000082,10-Q,2016-11-08,2016-11-09,2016,Q3,2016-09-30,quarterly,STRZ,"STARZ, LLC",1575600000,,131800000,131800000,,989700000,5900000,14000000,,,,,,407800000,,74000000,58600000,24300000,34300000,,11700000,,,,,,,95700000,-6100000,8100000,,,89600000,,995600000,,70300000,
