cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization,ticker_source,ticker_asof
896747,0001144204-11-047239,10-Q,2011-08-15,2011-08-16,2011,Q2,2011-06-30,quarterly,ABMC,AMERICAN BIO MEDICA CORP,5889000,2381000,,,,1419000,119000,22000,3221000,,,,,,1151000,175000,124000,1000,123000,57000,50000,21827564,,,,976000,,,,,,,,2381000,1538000,3919000,174000,,2834,21744768,2011-06-30,single,,,,,instance,2011-08-15
896747,0001144204-11-063803,10-Q,2011-11-14,2011-11-15,2011,Q3,2011-09-30,quarterly,ABMC,AMERICAN BIO MEDICA CORP,5892000,2372000,,,,639000,879000,22000,3176000,,,,,,966000,26000,-23000,5000,-28000,61000,49000,,,,,940000,,160000,-80000,20000,,,80000,2372000,1518000,3890000,26000,,2834,21744768,2011-09-30,single,,,71000,,instance,2011-11-14
896747,0001144204-12-021826,10-K,2012-04-16,2012-04-17,2011,FY,2011-12-31,annual,ABMC,AMERICAN BIO MEDICA CORP,5636000,2370000,,,,608000,872000,93000,3239000,,,,,,3876000,-146000,-335000,10000,-345000,223000,198000,,0,,,,,449000,-173000,58000,,,276000,2370000,1480000,3850000,-137000,,2834,21744768,2011-12-31,single,,,277000,,instance,2012-04-16
896747,0001144204-12-021826,10-K,2012-04-16,2012-04-17,2011,FY,2011-12-31,quarterly,ABMC,AMERICAN BIO MEDICA CORP,5636000,2370000,,,,608000,872000,93000,3239000,,,,,,997000,27000,-11000,4000,-15000,53000,48000,,,,,,,258000,-32000,13000,,,226000,2370000,1480000,3850000,37000,,2834,21744768,2011-12-31,single,,,69000,,instance,2012-04-16
896747,0001144204-12-029457,10-Q,2012-05-15,2012-05-16,2012,Q1,2012-03-31,quarterly,ABMC,AMERICAN BIO MEDICA CORP,5694000,2171000,20000,,20000,0,1453000,6000,3313000,,0,,,,962000,-169000,-211000,-5000,-206000,52000,46000,,4000,,,1131000,,-155000,-1000,6000,,,-156000,2151000,1453000,3624000,-165000,,2834,21744768,2012-03-31,single,,,30000,,instance,2012-05-15
896747,0001144204-12-050326,10-Q/A,2012-09-10,2012-09-11,2012,Q2,2012-06-30,quarterly,ABMC,AMERICAN BIO MEDICA CORP,5940000,2110000,,,,0,1420000,15000,3390000,,,,,,1042000,-30000,-74000,3000,-77000,55000,45000,21744768,,,,1072000,,193000,-7000,17000,,,186000,2110000,1420000,3530000,-29000,,2834,21744768,2012-06-30,single,,,31000,,instance,2012-09-10
896747,0001144204-12-062085,10-Q,2012-11-14,2012-11-15,2012,Q3,2012-09-30,quarterly,ABMC,AMERICAN BIO MEDICA CORP,5720000,1916000,,,,0,1435000,0,3079000,,0,,,,891000,-229000,-264000,0,-264000,54000,38000,21833003,,,,1120000,,-163000,-4000,70000,,,-167000,1916000,1435000,3351000,-226000,,2834,21833003,2012-09-30,single,,,30000,,instance,2012-11-14
896747,0001144204-13-018226,10-K,2013-03-28,2013-03-29,2012,FY,2012-12-31,annual,ABMC,AMERICAN BIO MEDICA CORP,4779000,1364000,,,,0,1404000,89000,2571000,,,,,,3344000,-929000,-1113000,-2000,-1111000,207000,194000,21833003,,,,,,236000,-11000,104000,,,225000,1364000,1404000,2768000,-919000,,2834,21833003,2012-12-31,single,,,123000,,instance,2013-03-28
896747,0001144204-13-018226,10-K,2013-03-28,2013-03-29,2012,FY,2012-12-31,quarterly,ABMC,AMERICAN BIO MEDICA CORP,4779000,1364000,,,,0,1404000,89000,2571000,,,,,,448000,-502000,-565000,0,-565000,45000,65000,,,,,,,361000,1000,11000,,,362000,1364000,1404000,2768000,-500000,,2834,21833003,2012-12-31,single,,,32000,,instance,2013-03-28
896747,0001144204-13-028682,10-Q,2013-05-14,2013-05-15,2013,Q1,2013-03-31,quarterly,ABMC,AMERICAN BIO MEDICA CORP,5158000,1262000,,,,,1348000,1000,2478000,,0,,,,786000,-362000,-423000,1000,-424000,63000,63000,22166336,,,,1148000,,-743000,-11000,36000,,,-754000,1262000,1348000,2610000,-360000,,2834,22166336,2013-03-31,single,,,29000,,instance,2013-05-14
896747,0001144204-13-045726,10-Q,2013-08-14,2013-08-15,2013,Q2,2013-06-30,quarterly,ABMC,AMERICAN BIO MEDICA CORP,5266000,993000,,,,,1318000,55000,2481000,,,,,,969000,-211000,-293000,1000,-294000,115000,82000,22166336,,,,1180000,,-269000,-46000,25000,,,-315000,993000,1318000,2311000,-211000,,2834,22166336,2013-06-30,single,,,30000,,instance,2013-08-14
896747,0001144204-13-062964,10-Q,2013-11-19,2013-11-20,2013,Q3,2013-09-30,quarterly,ABMC,AMERICAN BIO MEDICA CORP,4525000,796000,,,,,1288000,63000,2176000,,,,,,906000,-286000,-216000,-3000,-213000,315000,79000,22166336,,,,1192000,,507000,27000,18000,,,534000,796000,1288000,2084000,-137000,,2834,22166336,2013-09-30,single,,,28000,,instance,2013-11-19
896747,0001144204-14-019165,10-K,2014-03-31,2014-04-01,2013,FY,2013-12-31,annual,ABMC,AMERICAN BIO MEDICA CORP,4966000,1338000,,,,,1226000,646000,2071000,,,,,,3572000,-1131000,-786000,2000,-788000,645000,310000,22270636,,,,,,9000,-14000,257000,,,-5000,1338000,1226000,2564000,-476000,,2834,22959822,2013-12-31,single,,,116000,,instance,2014-03-31
