cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization,ticker_source,ticker_asof
1842563,0001842563-22-000016,10-Q,2022-11-09,2022-11-10,2022,Q3,2022-09-30,quarterly,,"GO GO BUYERS, INC.",7856,-14822,,,,,,,,,,,,,,-2934,,,3384,,449,,,449,,2934,,,,,,,,-14822,,,,,7370,,,,,,,,,
1842563,0001842563-23-000006,10-K,2023-04-17,2023-04-18,2022,FY,2022-12-31,annual,,"GO GO BUYERS, INC.",58958,9041,,,,,,24565,,,,,,1052,,6330,,,-7514,,1184,,,1184,,7383,,25412,,,,,,9041,,,,,7370,4045069,2022-12-31,single,,,,,,
1842563,0001842563-23-000006,10-K,2023-04-17,2023-04-18,2022,FY,2022-12-31,quarterly,,"GO GO BUYERS, INC.",58958,9041,,,,,,24565,,,,,,,,13009,,,-15377,,0,,,0,,704,,17012,,,,,,9041,,,,,7370,4045069,2022-12-31,single,,,,,,
1842563,0001842563-23-000010,10-Q,2023-05-12,2023-05-13,2023,Q1,2023-03-31,quarterly,,"GO GO BUYERS, INC.",52567,-5668,,,,,,625,,,,,,1480,,-5991,,,-5991,,,,,,,7471,,8558,,,,,,-5668,,,,,7370,4161425,2023-03-31,single,,,,,,
1842563,0001842563-23-000014,10-Q,2023-08-14,2023-08-15,2023,Q2,2023-06-30,quarterly,,"GO GO BUYERS, INC.",56360,7961,,,,,,8741,,,,,,10194,,-2293,,,2293,,,,,,,7901,,-6616,,,,,,7961,,,,,7370,,,,,,4250,,,
1842563,0001842563-23-000019,10-Q,2023-11-09,2023-11-10,2023,Q3,2023-09-30,quarterly,,"GO GO BUYERS, INC.",50720,11062,42500,,42500,,,,,,,,,7910,,3101,,,-4295,,,,,,,4809,,8000,,,,,,-31438,,,,,7370,,,,,,4250,,,
1842563,0001842563-24-000015,10-K,2024-06-12,2024-06-13,2023,FY,2023-12-31,annual,,"GO GO BUYERS, INC.",113299,10187,74370,,74370,,,9900,,,,,,,,,-1472,,-1472,,,,,,,29791,,4709,,,,,,-64183,,,,,7370,4161425,2023-12-31,single,,,,,,
1842563,0001842563-24-000015,10-K,2024-06-12,2024-06-13,2023,FY,2023-12-31,quarterly,,"GO GO BUYERS, INC.",113299,10187,74370,,74370,,,9900,,,,,,,,,,,-875,,,,,,,9610,,-5233,,,,,,-64183,,,,,7370,4161425,2023-12-31,single,,,,,,
1842563,0001842563-24-000017,10-Q,2024-06-20,2024-06-21,2024,Q1,2024-03-31,quarterly,,"GO GO BUYERS, INC.",89719,-4322,67110,,67110,,,600,,,,,,,,,-14509,,-14509,,,,,,,17461,,-47613,,,,,,-71432,,,,,7370,4161425,2024-03-31,single,,,,,,
1842563,0001842563-24-000020,10-Q,2024-08-13,2024-08-14,2024,Q2,2024-06-30,quarterly,,"GO GO BUYERS, INC.",93070,-11770,59850,,59850,,,631,,,,,,,,,-7448,,-7448,,,,,,,25765,,31,,,,,,-71620,,,,,7370,4161425,2024-06-30,single,,,,,,
1842563,0001842563-24-000024,10-Q,2024-11-08,2024-11-09,2024,Q3,2024-09-30,quarterly,,"GO GO BUYERS, INC.",88751,-22587,64590,,64590,,,866,,,,,,,,,-10817,,-10817,,,,,,,25569,,12235,,,,,,-87177,,,,,7370,4161425,2024-09-30,single,,,,,,
1842563,0001842563-25-000009,10-K,2025-03-31,2025-04-01,2024,FY,2024-12-31,annual,,"GO GO BUYERS, INC.",56556,-44838,56330,,56330,,,226,,,,,,,,-55025,,,-55025,,,,,,,95748,,-42045,,,,,,-101168,,,,,7370,4161425,2024-12-31,single,,,,,,
1842563,0001842563-25-000009,10-K,2025-03-31,2025-04-01,2024,FY,2024-12-31,quarterly,,"GO GO BUYERS, INC.",56556,-44838,56330,,56330,,,226,,,,,,,,,,,-22251,,,,,,,26953,,-6698,,,,,,-101168,,,,,7370,4161425,2024-12-31,single,,,,,,
1842563,0001842563-25-000013,10-Q,2025-05-06,2025-05-07,2025,Q1,2025-03-31,quarterly,,"GO GO BUYERS, INC.",131195,-44816,84896,,84896,,,3031,,,,,,,,22,,,22,,,,,,,21242,8434,-26301,,,,,,-129712,,,,8456,7370,4161425,2025-03-31,single,,,,,,
1842563,0001842563-25-000017,10-Q,2025-08-13,2025-08-14,2025,Q2,2025-06-30,quarterly,,"GO GO BUYERS, INC.",140132,-68182,100676,,100676,,,7749,,,,,,,,-23366,,,-23366,,,,,,,40508,11520,28518,,,,,,-168858,,,,-11846,7370,4161425,2025-06-30,single,,,,,,
1842563,0001842563-25-000022,10-Q,2025-11-07,2025-11-08,2025,Q3,2025-09-30,quarterly,,"GO GO BUYERS, INC.",108357,107298,87058,,87058,,,29,,,,,,,,-20999,,,-20999,,,,,,,26317,13618,-35177,,,,,,20240,,,,-7381,7370,4161425,2025-09-30,single,,,,,,
1842563,0001842563-26-000006,10-K,2026-04-14,2026-04-15,2025,FY,2025-12-31,annual,,"GO GO BUYERS, INC.",84273,76273,73439,,73439,,,,,,,,,44782,,-75368,,,121111,,,,,,,120150,47191,163490,,,,,,2834,,,,-28177,7370,4161425,2025-12-31,single,,,,,,
1842563,0001842563-26-000006,10-K,2026-04-14,2026-04-15,2025,FY,2025-12-31,quarterly,,"GO GO BUYERS, INC.",84273,76273,73439,,73439,,,,,,,,,,,-31025,,,165454,,,,,,,32083,13619,196450,,,,,,2834,,,,-17406,7370,4161425,2025-12-31,single,,,,,,
1842563,0001842563-26-000010,10-Q,2026-05-18,2026-05-19,2026,Q1,2026-03-31,quarterly,,"GO GO BUYERS, INC.",62696,47007,59821,,59821,,,,,,,,,,,-29266,,,-29266,,,,,,,29266,13618,,,,,,,-12814,,,,-15648,7370,4161425,2026-03-31,single,,,,,,
